lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01000001,B1,1,1,1.0
E01000121,B1,1,1,1.0
E01000201,B1,1,1,1.0
E01000251,B1,1,1,1.0
E01000301,B1,1,1,1.0
E01000499,B1,1,1,1.0
E01000578,B1,1,1,1.0
E01000700,B1,2,2,1.0
E01000719,B1,1,1,1.0
E01000847,B1,1,1,1.0
E01001262,B1,1,1,1.0
E01001306,B1,1,1,1.0
E01001365,B1,1,1,1.0
E01001564,B1,1,1,1.0
E01002074,B1,1,1,1.0
E01002416,B1,1,1,1.0
E01002488,B1,1,1,1.0
E01002576,B1,1,1,1.0
E01003228,B1,1,1,1.0
E01003260,B1,1,1,1.0
E01003372,B1,1,1,1.0
E01003911,B1,1,1,1.0
E01004016,B1,1,1,1.0
E01004171,B1,1,1,1.0
E01004200,B1,1,1,1.0
E01004572,B1,1,1,1.0
E01004780,B1,1,1,1.0
E01004910,B1,1,1,1.0
E01004993,B1,1,1,1.0
E01005140,B1,1,1,1.0
E01006029,B1,1,1,1.0
E01006202,B1,1,1,1.0
E01006360,B1,1,1,1.0
E01007918,B1,1,1,1.0
E01008507,B1,1,1,1.0
E01008684,B1,1,1,1.0
E01008790,B1,1,1,1.0
E01009428,B1,1,1,1.0
E01009487,B1,1,1,1.0
E01009969,B1,1,1,1.0
E01010084,B1,1,1,1.0
E01010251,B1,1,1,1.0
E01010743,B1,1,1,1.0
E01012354,B1,1,1,1.0
E01012598,B1,1,1,1.0
E01013159,B1,1,1,1.0
E01015181,B1,1,1,1.0
E01015293,B1,1,1,1.0
E01015742,B1,1,1,1.0
E01016019,B1,1,1,1.0
E01016286,B1,1,1,1.0
E01016339,B1,1,1,1.0
E01016392,B1,1,1,1.0
E01016778,B1,1,1,1.0
E01017399,B1,1,1,1.0
E01017411,B1,1,1,1.0
E01017472,B1,1,1,1.0
E01017546,B1,1,1,1.0
E01017600,B1,1,1,1.0
E01017746,B1,1,1,1.0
E01018164,B1,1,1,1.0
E01018244,B1,1,1,1.0
E01018299,B1,1,1,1.0
E01019856,B1,1,1,1.0
E01020116,B1,1,1,1.0
E01020278,B1,1,1,1.0
E01020543,B1,1,1,1.0
E01020838,B1,1,1,1.0
E01021076,B1,1,1,1.0
E01021084,B1,1,1,1.0
E01021598,B1,1,1,1.0
E01021676,B1,1,1,1.0
E01022091,B1,2,1,2.0
E01022134,B1,1,1,1.0
E01022158,B1,1,1,1.0
E01022195,B1,1,1,1.0
E01022568,B1,1,1,1.0
E01022634,B1,1,1,1.0
E01022713,B1,1,1,1.0
E01022802,B1,1,1,1.0
E01023926,B1,1,1,1.0
E01024020,B1,1,1,1.0
E01024128,B1,1,1,1.0
E01024190,B1,1,1,1.0
E01024387,B1,1,1,1.0
E01024397,B1,1,1,1.0
E01024458,B1,1,1,1.0
E01024659,B1,1,1,1.0
E01024690,B1,1,1,1.0
E01025812,B1,1,1,1.0
E01026084,B1,1,1,1.0
E01026612,B1,1,1,1.0
E01026622,B1,1,1,1.0
E01026883,B1,1,1,1.0
E01026933,B1,1,1,1.0
E01028122,B1,1,1,1.0
E01028613,B1,1,1,1.0
E01028640,B1,1,1,1.0
E01028755,B1,1,1,1.0
E01029307,B1,1,1,1.0
E01029527,B1,1,1,1.0
E01029988,B1,1,1,1.0
E01030224,B1,1,1,1.0
E01030529,B1,1,1,1.0
E01030660,B1,1,1,1.0
E01030710,B1,1,1,1.0
E01030877,B1,1,1,1.0
E01031400,B1,1,1,1.0
E01032339,B1,1,1,1.0
E01032798,B1,2,1,2.0
E01033646,B1,1,1,1.0
S01006681,B1,1,1,1.0
S01006850,B1,1,1,1.0
S01006880,B1,1,1,1.0
S01008763,B1,1,1,1.0
S01008841,B1,1,1,1.0
