lsoa,SHEF_C_CODE,reports,unique_users,average_per_user
E01000658,C1,1,1,1.0
E01000666,C1,1,1,1.0
E01000667,C1,1,1,1.0
E01000668,C1,1,1,1.0
E01000675,C1,2,1,2.0
E01000676,C1,2,1,2.0
E01000680,C1,1,1,1.0
E01000692,C1,3,3,1.0
E01000697,C1,1,1,1.0
E01000706,C1,1,1,1.0
E01000707,C1,2,1,2.0
E01000708,C1,1,1,1.0
E01000719,C1,1,1,1.0
E01000720,C1,1,1,1.0
E01000722,C1,1,1,1.0
E01000723,C1,1,1,1.0
E01000725,C1,1,1,1.0
E01000728,C1,1,1,1.0
E01000730,C1,3,2,1.5
E01000737,C1,1,1,1.0
E01000746,C1,1,1,1.0
E01000747,C1,1,1,1.0
E01000754,C1,2,1,2.0
E01000759,C1,1,1,1.0
E01000764,C1,1,1,1.0
E01000788,C1,1,1,1.0
E01000790,C1,1,1,1.0
E01000794,C1,1,1,1.0
E01000800,C1,1,1,1.0
E01000805,C1,1,1,1.0
E01000812,C1,1,1,1.0
E01000822,C1,1,1,1.0
E01000823,C1,1,1,1.0
E01000827,C1,1,1,1.0
E01000832,C1,2,2,1.0
E01002056,C1,1,1,1.0
E01013805,C1,1,1,1.0
E01014051,C1,1,1,1.0
E01016269,C1,1,1,1.0
E01016274,C1,1,1,1.0
E01016281,C1,1,1,1.0
E01017192,C1,1,1,1.0
E01017239,C1,1,1,1.0
E01017290,C1,1,1,1.0
E01018278,C1,1,1,1.0
E01020020,C1,1,1,1.0
E01020222,C1,1,1,1.0
E01020912,C1,1,1,1.0
E01020932,C1,1,1,1.0
E01020933,C1,1,1,1.0
E01020938,C1,1,1,1.0
E01021026,C1,2,1,2.0
E01021057,C1,4,2,2.0
E01021068,C1,2,1,2.0
E01021079,C1,1,1,1.0
E01021080,C1,2,2,1.0
E01021085,C1,1,1,1.0
E01021101,C1,1,1,1.0
E01021114,C1,1,1,1.0
E01021115,C1,1,1,1.0
E01021133,C1,1,1,1.0
E01021138,C1,1,1,1.0
E01021147,C1,1,1,1.0
E01021151,C1,1,1,1.0
E01021156,C1,1,1,1.0
E01021160,C1,1,1,1.0
E01021165,C1,1,1,1.0
E01021166,C1,3,2,1.5
E01021170,C1,1,1,1.0
E01021172,C1,1,1,1.0
E01021173,C1,2,1,2.0
E01021174,C1,1,1,1.0
E01021181,C1,1,1,1.0
E01021186,C1,1,1,1.0
E01021187,C1,3,2,1.5
E01021188,C1,1,1,1.0
E01021190,C1,1,1,1.0
E01021195,C1,2,1,2.0
E01021196,C1,1,1,1.0
E01021197,C1,1,1,1.0
E01021199,C1,1,1,1.0
E01021206,C1,1,1,1.0
E01021218,C1,1,1,1.0
E01021228,C1,2,2,1.0
E01022378,C1,1,1,1.0
E01023502,C1,1,1,1.0
E01026350,C1,1,1,1.0
E01026517,C1,1,1,1.0
E01026653,C1,1,1,1.0
E01026925,C1,1,1,1.0
E01028477,C1,2,1,2.0
E01028535,C1,1,1,1.0
E01028545,C1,1,1,1.0
E01028548,C1,1,1,1.0
E01028604,C1,1,1,1.0
E01028620,C1,1,1,1.0
E01028623,C1,1,1,1.0
E01028725,C1,1,1,1.0
E01028729,C1,1,1,1.0
E01028754,C1,1,1,1.0
E01028756,C1,1,1,1.0
E01028764,C1,1,1,1.0
E01028790,C1,1,1,1.0
E01028795,C1,1,1,1.0
E01028800,C1,1,1,1.0
E01029883,C1,3,1,3.0
E01030108,C1,1,1,1.0
E01030115,C1,1,1,1.0
E01030201,C1,1,1,1.0
E01030208,C1,2,1,2.0
E01030219,C1,1,1,1.0
E01031010,C1,1,1,1.0
E01031021,C1,1,1,1.0
E01031023,C1,1,1,1.0
E01031024,C1,1,1,1.0
E01031028,C1,1,1,1.0
E01031039,C1,1,1,1.0
E01031063,C1,1,1,1.0
E01031077,C1,1,1,1.0
E01031085,C1,1,1,1.0
E01031089,C1,1,1,1.0
E01031134,C1,1,1,1.0
E01031140,C1,1,1,1.0
E01031141,C1,1,1,1.0
E01031147,C1,1,1,1.0
E01031149,C1,1,1,1.0
E01031155,C1,1,1,1.0
E01031159,C1,1,1,1.0
E01031160,C1,1,1,1.0
E01031163,C1,1,1,1.0
E01031164,C1,1,1,1.0
E01031183,C1,1,1,1.0
E01031184,C1,1,1,1.0
E01031187,C1,1,1,1.0
E01031199,C1,1,1,1.0
E01031213,C1,1,1,1.0
E01031217,C1,1,1,1.0
E01031224,C1,1,1,1.0
E01031227,C1,1,1,1.0
E01031232,C1,1,1,1.0
E01031238,C1,1,1,1.0
E01031239,C1,2,2,1.0
E01031244,C1,1,1,1.0
E01031246,C1,1,1,1.0
E01031247,C1,1,1,1.0
E01031248,C1,1,1,1.0
E01031252,C1,1,1,1.0
E01031254,C1,1,1,1.0
E01031268,C1,1,1,1.0
E01031271,C1,1,1,1.0
E01031272,C1,1,1,1.0
E01031274,C1,1,1,1.0
E01031277,C1,1,1,1.0
E01031278,C1,2,2,1.0
E01031282,C1,1,1,1.0
E01031307,C1,3,3,1.0
E01031310,C1,1,1,1.0
E01031317,C1,1,1,1.0
E01031319,C1,1,1,1.0
E01031332,C1,2,1,2.0
E01031334,C1,1,1,1.0
E01032563,C1,1,1,1.0
E01032568,C1,1,1,1.0
E01032588,C1,1,1,1.0
E01032891,C1,1,1,1.0
E01032892,C1,1,1,1.0
E01033253,C1,1,1,1.0
W01001953,C1,1,1,1.0
E01000118,C2,1,1,1.0
E01000131,C2,1,1,1.0
E01000172,C2,1,1,1.0
E01000175,C2,2,2,1.0
E01000179,C2,1,1,1.0
E01000186,C2,1,1,1.0
E01000205,C2,1,1,1.0
E01000212,C2,1,1,1.0
E01000238,C2,1,1,1.0
E01000242,C2,2,2,1.0
E01000260,C2,1,1,1.0
E01000280,C2,1,1,1.0
E01000288,C2,1,1,1.0
E01000306,C2,2,1,2.0
E01000307,C2,1,1,1.0
E01000314,C2,1,1,1.0
E01000645,C2,1,1,1.0
E01000649,C2,2,2,1.0
E01000650,C2,3,3,1.0
E01000651,C2,1,1,1.0
E01000652,C2,1,1,1.0
E01000654,C2,2,2,1.0
E01000657,C2,1,1,1.0
E01000659,C2,1,1,1.0
E01000662,C2,2,2,1.0
E01000663,C2,1,1,1.0
E01000669,C2,1,1,1.0
E01000671,C2,1,1,1.0
E01000673,C2,1,1,1.0
E01000675,C2,1,1,1.0
E01000677,C2,1,1,1.0
E01000680,C2,2,2,1.0
E01000681,C2,1,1,1.0
E01000682,C2,1,1,1.0
E01000683,C2,1,1,1.0
E01000685,C2,1,1,1.0
E01000686,C2,1,1,1.0
E01000688,C2,1,1,1.0
E01000689,C2,1,1,1.0
E01000691,C2,1,1,1.0
E01000692,C2,3,2,1.5
E01000694,C2,1,1,1.0
E01000695,C2,2,2,1.0
E01000696,C2,1,1,1.0
E01000702,C2,2,2,1.0
E01000703,C2,2,2,1.0
E01000706,C2,1,1,1.0
E01000708,C2,1,1,1.0
E01000714,C2,2,2,1.0
E01000716,C2,1,1,1.0
E01000721,C2,2,2,1.0
E01000722,C2,1,1,1.0
E01000726,C2,1,1,1.0
E01000733,C2,1,1,1.0
E01000736,C2,3,3,1.0
E01000738,C2,1,1,1.0
E01000740,C2,1,1,1.0
E01000744,C2,1,1,1.0
E01000748,C2,1,1,1.0
E01000749,C2,2,2,1.0
E01000750,C2,1,1,1.0
E01000753,C2,1,1,1.0
E01000754,C2,1,1,1.0
E01000757,C2,1,1,1.0
E01000758,C2,2,2,1.0
E01000759,C2,1,1,1.0
E01000760,C2,1,1,1.0
E01000762,C2,1,1,1.0
E01000763,C2,4,4,1.0
E01000765,C2,1,1,1.0
E01000768,C2,1,1,1.0
E01000773,C2,1,1,1.0
E01000774,C2,1,1,1.0
E01000778,C2,2,2,1.0
E01000781,C2,1,1,1.0
E01000788,C2,1,1,1.0
E01000790,C2,1,1,1.0
E01000791,C2,1,1,1.0
E01000792,C2,1,1,1.0
E01000793,C2,1,1,1.0
E01000795,C2,1,1,1.0
E01000797,C2,1,1,1.0
E01000799,C2,1,1,1.0
E01000805,C2,2,2,1.0
E01000807,C2,2,2,1.0
E01000808,C2,1,1,1.0
E01000811,C2,1,1,1.0
E01000812,C2,3,3,1.0
E01000813,C2,1,1,1.0
E01000815,C2,2,1,2.0
E01000818,C2,1,1,1.0
E01000822,C2,1,1,1.0
E01000824,C2,1,1,1.0
E01000828,C2,1,1,1.0
E01000835,C2,1,1,1.0
E01000836,C2,2,2,1.0
E01000837,C2,1,1,1.0
E01000915,C2,1,1,1.0
E01000947,C2,1,1,1.0
E01000963,C2,2,1,2.0
E01001197,C2,1,1,1.0
E01001244,C2,1,1,1.0
E01001470,C2,1,1,1.0
E01001614,C2,1,1,1.0
E01001671,C2,1,1,1.0
E01001705,C2,1,1,1.0
E01001718,C2,1,1,1.0
E01001824,C2,1,1,1.0
E01001987,C2,1,1,1.0
E01002031,C2,1,1,1.0
E01002051,C2,1,1,1.0
E01002159,C2,1,1,1.0
E01002160,C2,1,1,1.0
E01002161,C2,1,1,1.0
E01002265,C2,1,1,1.0
E01002268,C2,1,1,1.0
E01002386,C2,1,1,1.0
E01002441,C2,1,1,1.0
E01002733,C2,1,1,1.0
E01002739,C2,1,1,1.0
E01002792,C2,1,1,1.0
E01002925,C2,1,1,1.0
E01003001,C2,2,1,2.0
E01003086,C2,1,1,1.0
E01003151,C2,1,1,1.0
E01003200,C2,1,1,1.0
E01003484,C2,1,1,1.0
E01003946,C2,1,1,1.0
E01004037,C2,1,1,1.0
E01004222,C2,1,1,1.0
E01004397,C2,1,1,1.0
E01004435,C2,1,1,1.0
E01004497,C2,1,1,1.0
E01004557,C2,1,1,1.0
E01004714,C2,1,1,1.0
E01004785,C2,1,1,1.0
E01004955,C2,1,1,1.0
E01006413,C2,1,1,1.0
E01006513,C2,1,1,1.0
E01006829,C2,2,1,2.0
E01007190,C2,1,1,1.0
E01007318,C2,1,1,1.0
E01007534,C2,1,1,1.0
E01007554,C2,1,1,1.0
E01007627,C2,1,1,1.0
E01007824,C2,1,1,1.0
E01007959,C2,1,1,1.0
E01007982,C2,1,1,1.0
E01008063,C2,1,1,1.0
E01008078,C2,1,1,1.0
E01008335,C2,1,1,1.0
E01008529,C2,1,1,1.0
E01009119,C2,1,1,1.0
E01009447,C2,1,1,1.0
E01009561,C2,1,1,1.0
E01009988,C2,1,1,1.0
E01010048,C2,1,1,1.0
E01010086,C2,1,1,1.0
E01010122,C2,1,1,1.0
E01010729,C2,1,1,1.0
E01010733,C2,1,1,1.0
