period,LSOA,SHEF_C_CODE,report_count,user_count,average
2015-6,95BB15S1,C7,3,1,3.0
2015-6,95BB15S1,C8,1,1,1.0
2015-6,95BB15S2,C7,1,1,1.0
2015-6,95BB21S2,C7,1,1,1.0
2015-6,95GG12S2,C6,1,1,1.0
2015-6,95GG18S2,C7,1,1,1.0
2015-6,95JJ13S2,C7,1,1,1.0
2015-6,95PP10W1,C7,1,1,1.0
2015-6,95SS09S2,C3,1,1,1.0
2015-6,95SS11S2,C7,1,1,1.0
2015-6,95WW05S2,C3,1,1,1.0
2015-6,95XX06S1,C8,1,1,1.0
2015-6,95XX20S1,C2,1,1,1.0
2015-6,95XX20S1,C3,1,1,1.0
2015-6,E01000003,C3,1,1,1.0
2015-6,E01000007,C8,1,1,1.0
2015-6,E01000010,C7,1,1,1.0
2015-6,E01000012,C3,1,1,1.0
2015-6,E01000012,C7,1,1,1.0
2015-6,E01000023,C8,1,1,1.0
2015-6,E01000033,C8,1,1,1.0
2015-6,E01000040,C3,2,1,2.0
2015-6,E01000042,C3,1,1,1.0
2015-6,E01000045,C8,1,1,1.0
2015-6,E01000052,C3,1,1,1.0
2015-6,E01000052,C7,1,1,1.0
2015-6,E01000066,C3,1,1,1.0
2015-6,E01000070,C3,1,1,1.0
2015-6,E01000071,C5,1,1,1.0
2015-6,E01000072,C7,1,1,1.0
2015-6,E01000088,C3,1,1,1.0
2015-6,E01000095,C7,3,3,1.0
2015-6,E01000095,C8,1,1,1.0
2015-6,E01000102,C3,2,1,2.0
2015-6,E01000115,C7,2,1,2.0
2015-6,E01000117,C7,1,1,1.0
2015-6,E01000121,C3,1,1,1.0
2015-6,E01000123,C2,1,1,1.0
2015-6,E01000123,C3,1,1,1.0
2015-6,E01000123,C7,1,1,1.0
2015-6,E01000124,C3,1,1,1.0
2015-6,E01000125,C3,1,1,1.0
2015-6,E01000126,C3,1,1,1.0
2015-6,E01000128,C2,1,1,1.0
2015-6,E01000129,C3,1,1,1.0
2015-6,E01000129,C7,1,1,1.0
2015-6,E01000132,C3,2,2,1.0
2015-6,E01000133,C3,1,1,1.0
2015-6,E01000135,C3,1,1,1.0
2015-6,E01000136,C3,1,1,1.0
2015-6,E01000141,C3,3,2,1.5
2015-6,E01000142,C3,1,1,1.0
2015-6,E01000144,C7,1,1,1.0
2015-6,E01000146,C3,1,1,1.0
2015-6,E01000146,C7,3,2,1.5
2015-6,E01000150,C3,5,1,5.0
2015-6,E01000150,C7,1,1,1.0
2015-6,E01000151,C3,1,1,1.0
2015-6,E01000155,C3,1,1,1.0
2015-6,E01000155,C7,1,1,1.0
2015-6,E01000156,C3,2,2,1.0
2015-6,E01000158,C3,1,1,1.0
2015-6,E01000159,C8,1,1,1.0
2015-6,E01000160,C3,1,1,1.0
2015-6,E01000162,C7,2,2,1.0
2015-6,E01000165,C3,1,1,1.0
2015-6,E01000174,C7,1,1,1.0
2015-6,E01000178,C8,1,1,1.0
2015-6,E01000179,C7,1,1,1.0
2015-6,E01000180,C2,2,2,1.0
2015-6,E01000181,C7,1,1,1.0
2015-6,E01000182,C7,1,1,1.0
2015-6,E01000183,C7,1,1,1.0
2015-6,E01000184,C2,1,1,1.0
2015-6,E01000184,C3,1,1,1.0
2015-6,E01000184,C7,2,2,1.0
2015-6,E01000184,C8,1,1,1.0
2015-6,E01000187,C7,1,1,1.0
2015-6,E01000188,C7,1,1,1.0
2015-6,E01000191,C3,1,1,1.0
2015-6,E01000191,C7,1,1,1.0
2015-6,E01000194,C7,1,1,1.0
2015-6,E01000196,C7,1,1,1.0
2015-6,E01000197,C3,1,1,1.0
2015-6,E01000198,C7,1,1,1.0
2015-6,E01000199,C3,1,1,1.0
2015-6,E01000201,C7,1,1,1.0
2015-6,E01000206,C7,1,1,1.0
2015-6,E01000210,C3,2,2,1.0
2015-6,E01000211,C3,3,3,1.0
2015-6,E01000211,C7,1,1,1.0
2015-6,E01000217,C7,1,1,1.0
2015-6,E01000219,C3,1,1,1.0
2015-6,E01000221,C8,1,1,1.0
2015-6,E01000222,C3,3,1,3.0
2015-6,E01000222,C7,1,1,1.0
2015-6,E01000223,C3,10,3,3.3333333333333335
2015-6,E01000224,C2,1,1,1.0
2015-6,E01000224,C3,14,1,14.0
2015-6,E01000224,C4,1,1,1.0
2015-6,E01000224,C7,2,2,1.0
2015-6,E01000228,C7,1,1,1.0
2015-6,E01000229,C2,1,1,1.0
2015-6,E01000229,C3,1,1,1.0
2015-6,E01000230,C3,1,1,1.0
2015-6,E01000231,C7,3,3,1.0
2015-6,E01000237,C7,2,2,1.0
2015-6,E01000238,C3,1,1,1.0
2015-6,E01000242,C2,1,1,1.0
2015-6,E01000242,C3,1,1,1.0
2015-6,E01000242,C7,1,1,1.0
2015-6,E01000245,C3,1,1,1.0
2015-6,E01000245,C8,1,1,1.0
2015-6,E01000247,C7,1,1,1.0
2015-6,E01000249,C2,1,1,1.0
2015-6,E01000253,C3,1,1,1.0
2015-6,E01000253,C7,1,1,1.0
2015-6,E01000254,C3,1,1,1.0
2015-6,E01000254,C7,2,2,1.0
2015-6,E01000256,C7,2,2,1.0
2015-6,E01000258,C7,1,1,1.0
2015-6,E01000261,C7,3,2,1.5
2015-6,E01000263,C7,1,1,1.0
2015-6,E01000264,C3,1,1,1.0
2015-6,E01000264,C7,2,1,2.0
2015-6,E01000266,C3,1,1,1.0
2015-6,E01000268,C3,1,1,1.0
2015-6,E01000270,C2,1,1,1.0
2015-6,E01000271,C3,1,1,1.0
2015-6,E01000271,C7,1,1,1.0
2015-6,E01000271,C8,1,1,1.0
2015-6,E01000273,C3,1,1,1.0
2015-6,E01000273,C7,1,1,1.0
2015-6,E01000274,C3,2,2,1.0
2015-6,E01000278,C3,1,1,1.0
2015-6,E01000278,C7,1,1,1.0
2015-6,E01000280,C2,1,1,1.0
2015-6,E01000281,C3,1,1,1.0
2015-6,E01000281,C7,1,1,1.0
2015-6,E01000282,C7,2,2,1.0
2015-6,E01000286,C3,1,1,1.0
2015-6,E01000288,C7,2,2,1.0
2015-6,E01000290,C7,3,3,1.0
2015-6,E01000291,C7,1,1,1.0
2015-6,E01000292,C3,1,1,1.0
2015-6,E01000293,C3,1,1,1.0
2015-6,E01000294,C3,1,1,1.0
2015-6,E01000296,C2,1,1,1.0
2015-6,E01000296,C3,2,2,1.0
2015-6,E01000297,C7,1,1,1.0
2015-6,E01000298,C3,1,1,1.0
2015-6,E01000300,C3,1,1,1.0
2015-6,E01000303,C7,1,1,1.0
2015-6,E01000304,C3,2,1,2.0
2015-6,E01000304,C7,1,1,1.0
2015-6,E01000307,C7,1,1,1.0
2015-6,E01000308,C3,1,1,1.0
2015-6,E01000309,C3,1,1,1.0
2015-6,E01000313,C3,1,1,1.0
2015-6,E01000313,C8,1,1,1.0
2015-6,E01000317,C7,1,1,1.0
2015-6,E01000319,C3,3,1,3.0
2015-6,E01000321,C3,4,2,2.0
2015-6,E01000321,C7,1,1,1.0
2015-6,E01000322,C3,1,1,1.0
2015-6,E01000323,C7,1,1,1.0
2015-6,E01000329,C7,1,1,1.0
2015-6,E01000330,C7,2,1,2.0
2015-6,E01000331,C3,1,1,1.0
2015-6,E01000344,C8,1,1,1.0
2015-6,E01000360,C7,1,1,1.0
2015-6,E01000362,C7,3,1,3.0
2015-6,E01000364,C7,1,1,1.0
2015-6,E01000399,C4,1,1,1.0
2015-6,E01000405,C2,1,1,1.0
2015-6,E01000412,C4,1,1,1.0
2015-6,E01000414,C7,2,1,2.0
2015-6,E01000416,C3,3,1,3.0
2015-6,E01000422,C3,2,1,2.0
2015-6,E01000422,C7,2,1,2.0
2015-6,E01000428,C7,1,1,1.0
2015-6,E01000447,C7,4,1,4.0
2015-6,E01000449,C7,1,1,1.0
2015-6,E01000450,C7,2,1,2.0
2015-6,E01000453,C7,2,1,2.0
2015-6,E01000457,C7,1,1,1.0
2015-6,E01000461,C3,1,1,1.0
2015-6,E01000462,C7,2,1,2.0
2015-6,E01000466,C3,1,1,1.0
2015-6,E01000470,C3,1,1,1.0
2015-6,E01000472,C7,1,1,1.0
2015-6,E01000474,C7,1,1,1.0
2015-6,E01000475,C7,1,1,1.0
2015-6,E01000477,C7,1,1,1.0
2015-6,E01000483,C3,2,2,1.0
2015-6,E01000497,C3,1,1,1.0
2015-6,E01000499,C7,1,1,1.0
2015-6,E01000506,C7,1,1,1.0
2015-6,E01000511,C3,1,1,1.0
2015-6,E01000513,C7,1,1,1.0
2015-6,E01000521,C3,1,1,1.0
2015-6,E01000522,C3,1,1,1.0
2015-6,E01000524,C3,1,1,1.0
2015-6,E01000524,C7,1,1,1.0
2015-6,E01000536,C7,1,1,1.0
2015-6,E01000538,C7,1,1,1.0
2015-6,E01000546,C7,1,1,1.0
2015-6,E01000547,C7,1,1,1.0
2015-6,E01000548,C3,1,1,1.0
2015-6,E01000551,C3,3,1,3.0
2015-6,E01000563,C3,1,1,1.0
2015-6,E01000564,C3,1,1,1.0
2015-6,E01000568,C3,1,1,1.0
2015-6,E01000568,C7,3,2,1.5
