period,LSOA,SHEF_C_CODE,report_count,user_count,average
2017,,C3,2,2,1.0
2017,,C4,3,2,1.5
2017,,C5,2,2,1.0
2017,,C6,1,1,1.0
2017,,C7,18,16,1.125
2017,,C8,1,1,1.0
2017,95AA04W1,C7,1,1,1.0
2017,95AA09W1,C5,1,1,1.0
2017,95AA09W1,C8,1,1,1.0
2017,95AA17W1,C7,1,1,1.0
2017,95BB01S1,C7,2,2,1.0
2017,95BB01S2,C6,1,1,1.0
2017,95BB01S2,C7,2,2,1.0
2017,95BB02W1,C7,1,1,1.0
2017,95BB09S1,C7,1,1,1.0
2017,95BB12S1,C7,1,1,1.0
2017,95BB12S2,C7,1,1,1.0
2017,95BB13S1,C7,1,1,1.0
2017,95BB14S1,C7,1,1,1.0
2017,95BB14S2,C7,2,1,2.0
2017,95BB15S1,C7,3,1,3.0
2017,95BB15S1,C8,1,1,1.0
2017,95BB16S1,C7,2,2,1.0
2017,95BB16S2,C7,1,1,1.0
2017,95BB17S1,C7,1,1,1.0
2017,95BB19S3,C7,1,1,1.0
2017,95BB20S2,C5,1,1,1.0
2017,95BB20S2,C7,1,1,1.0
2017,95BB21S2,C7,8,3,2.6666666666666665
2017,95CC03W1,C7,1,1,1.0
2017,95CC08W1,C3,1,1,1.0
2017,95CC08W1,C7,1,1,1.0
2017,95CC09S2,C7,1,1,1.0
2017,95CC19W1,C7,2,1,2.0
2017,95DD02S1,C7,2,1,2.0
2017,95DD03W1,C7,1,1,1.0
2017,95EE05W1,C7,1,1,1.0
2017,95FF03W1,C5,2,1,2.0
2017,95FF03W1,C8,1,1,1.0
2017,95FF05W1,C7,1,1,1.0
2017,95FF13W1,C8,1,1,1.0
2017,95GG01S3,C7,1,1,1.0
2017,95GG03S3,C5,1,1,1.0
2017,95GG04S1,C7,1,1,1.0
2017,95GG05S3,C4,1,1,1.0
2017,95GG06S1,C7,1,1,1.0
2017,95GG06S3,C3,1,1,1.0
2017,95GG06S3,C6,1,1,1.0
2017,95GG09S1,C7,1,1,1.0
2017,95GG10S2,C8,1,1,1.0
2017,95GG11S2,C2,1,1,1.0
2017,95GG12S1,C7,2,2,1.0
2017,95GG12S2,C3,2,1,2.0
2017,95GG12S2,C8,1,1,1.0
2017,95GG12S4,C7,1,1,1.0
2017,95GG13S3,C5,1,1,1.0
2017,95GG14S1,C4,1,1,1.0
2017,95GG18S2,C7,2,1,2.0
2017,95GG21S1,C7,1,1,1.0
2017,95GG22S1,C3,1,1,1.0
2017,95GG22S2,C8,1,1,1.0
