period,LSOA,report_count,user_count,average
2018-6,E01000645,5,5,1.0
2018-6,E01000646,7,6,1.1666666666666667
2018-6,E01000647,1,1,1.0
2018-6,E01000648,4,4,1.0
2018-6,E01000649,2,2,1.0
2018-6,E01000650,3,3,1.0
2018-6,E01000651,10,6,1.6666666666666667
2018-6,E01000652,5,5,1.0
2018-6,E01000653,1,1,1.0
2018-6,E01000654,7,7,1.0
2018-6,E01000655,4,4,1.0
2018-6,E01000656,12,4,3.0
2018-6,E01000657,9,8,1.125
2018-6,E01000658,3,3,1.0
2018-6,E01000659,2,2,1.0
2018-6,E01000661,18,11,1.6363636363636365
2018-6,E01000662,6,5,1.2
2018-6,E01000663,11,10,1.1
2018-6,E01000664,7,6,1.1666666666666667
2018-6,E01000665,18,9,2.0
2018-6,E01000666,21,13,1.6153846153846154
2018-6,E01000667,12,9,1.3333333333333333
2018-6,E01000668,31,11,2.8181818181818183
2018-6,E01000669,7,6,1.1666666666666667
2018-6,E01000670,8,8,1.0
2018-6,E01000671,3,3,1.0
2018-6,E01000672,11,9,1.2222222222222223
2018-6,E01000673,5,5,1.0
2018-6,E01000674,6,5,1.2
2018-6,E01000675,14,6,2.3333333333333335
2018-6,E01000676,11,10,1.1
2018-6,E01000677,23,15,1.5333333333333334
2018-6,E01000678,3,3,1.0
2018-6,E01000679,2,2,1.0
2018-6,E01000680,16,14,1.1428571428571428
2018-6,E01000681,9,9,1.0
2018-6,E01000682,9,9,1.0
2018-6,E01000683,10,5,2.0
2018-6,E01000684,10,10,1.0
2018-6,E01000685,6,6,1.0
2018-6,E01000686,7,6,1.1666666666666667
2018-6,E01000687,9,8,1.125
2018-6,E01000688,3,3,1.0
2018-6,E01000689,3,3,1.0
2018-6,E01000690,3,3,1.0
2018-6,E01000691,9,8,1.125
2018-6,E01000692,6,5,1.2
2018-6,E01000693,8,8,1.0
2018-6,E01000694,17,13,1.3076923076923077
2018-6,E01000695,10,10,1.0
2018-6,E01000696,4,4,1.0
2018-6,E01000697,2,2,1.0
2018-6,E01000698,7,7,1.0
2018-6,E01000699,4,4,1.0
2018-6,E01000700,11,10,1.1
2018-6,E01000701,9,6,1.5
2018-6,E01000702,7,5,1.4
2018-6,E01000703,7,6,1.1666666666666667
2018-6,E01000704,11,9,1.2222222222222223
2018-6,E01000705,7,6,1.1666666666666667
2018-6,E01000706,6,5,1.2
2018-6,E01000707,5,5,1.0
2018-6,E01000708,8,8,1.0
2018-6,E01000709,3,3,1.0
2018-6,E01000710,14,13,1.0769230769230769
2018-6,E01000711,5,5,1.0
2018-6,E01000712,4,4,1.0
2018-6,E01000713,3,2,1.5
2018-6,E01000714,15,12,1.25
2018-6,E01000715,7,5,1.4
2018-6,E01000716,4,4,1.0
2018-6,E01000717,4,4,1.0
2018-6,E01000718,7,7,1.0
2018-6,E01000719,16,7,2.2857142857142856
2018-6,E01000720,12,8,1.5
2018-6,E01000721,3,3,1.0
2018-6,E01000722,6,6,1.0
2018-6,E01000723,4,4,1.0
2018-6,E01000724,7,4,1.75
2018-6,E01000725,15,8,1.875
2018-6,E01000726,10,5,2.0
2018-6,E01000727,9,9,1.0
2018-6,E01000728,9,8,1.125
2018-6,E01000729,10,7,1.4285714285714286
2018-6,E01000730,9,9,1.0
2018-6,E01000731,5,5,1.0
2018-6,E01000732,3,3,1.0
2018-6,E01000733,16,11,1.4545454545454546
2018-6,E01000734,2,2,1.0
2018-6,E01000735,7,6,1.1666666666666667
2018-6,E01000736,16,12,1.3333333333333333
2018-6,E01000737,9,9,1.0
2018-6,E01000738,8,6,1.3333333333333333
2018-6,E01000739,9,6,1.5
2018-6,E01000740,6,6,1.0
2018-6,E01000741,2,2,1.0
2018-6,E01000742,10,9,1.1111111111111112
2018-6,E01000743,11,6,1.8333333333333333
2018-6,E01000744,12,7,1.7142857142857142
2018-6,E01000745,5,4,1.25
2018-6,E01000746,11,9,1.2222222222222223
2018-6,E01000747,10,10,1.0
2018-6,E01000748,11,10,1.1
2018-6,E01000749,10,10,1.0
2018-6,E01000750,4,4,1.0
2018-6,E01000751,3,3,1.0
2018-6,E01000752,17,14,1.2142857142857142
2018-6,E01000753,17,14,1.2142857142857142
2018-6,E01000754,11,7,1.5714285714285714
2018-6,E01000755,6,6,1.0
2018-6,E01000756,12,11,1.0909090909090908
2018-6,E01000757,4,3,1.3333333333333333
2018-6,E01000758,8,8,1.0
2018-6,E01000759,12,9,1.3333333333333333
2018-6,E01000760,6,6,1.0
2018-6,E01000761,8,8,1.0
2018-6,E01000762,5,5,1.0
2018-6,E01000763,4,3,1.3333333333333333
2018-6,E01000764,13,12,1.0833333333333333
2018-6,E01000765,12,10,1.2
2018-6,E01000766,3,2,1.5
2018-6,E01000767,11,9,1.2222222222222223
2018-6,E01000768,8,8,1.0
2018-6,E01000769,9,8,1.125
2018-6,E01000770,9,9,1.0
2018-6,E01000771,18,15,1.2
2018-6,E01000772,5,4,1.25
2018-6,E01000773,6,5,1.2
2018-6,E01000774,11,7,1.5714285714285714
2018-6,E01000775,11,10,1.1
2018-6,E01000777,9,9,1.0
2018-6,E01000778,4,4,1.0
2018-6,E01000779,6,6,1.0
2018-6,E01000780,6,5,1.2
2018-6,E01000781,8,8,1.0
2018-6,E01000782,5,5,1.0
2018-6,E01000783,5,4,1.25
2018-6,E01000784,16,10,1.6
2018-6,E01000785,11,7,1.5714285714285714
2018-6,E01000786,4,2,2.0
2018-6,E01000787,9,8,1.125
2018-6,E01000788,14,10,1.4
2018-6,E01000789,2,2,1.0
2018-6,E01000790,17,14,1.2142857142857142
2018-6,E01000791,8,8,1.0
2018-6,E01000792,7,6,1.1666666666666667
2018-6,E01000793,5,4,1.25
2018-6,E01000794,6,6,1.0
2018-6,E01000795,4,4,1.0
2018-6,E01000796,2,2,1.0
2018-6,E01000797,8,7,1.1428571428571428
2018-6,E01000798,6,5,1.2
2018-6,E01000799,10,10,1.0
2018-6,E01000800,9,9,1.0
2018-6,E01000801,10,6,1.6666666666666667
2018-6,E01000802,3,3,1.0
2018-6,E01000803,8,6,1.3333333333333333
2018-6,E01000804,7,7,1.0
2018-6,E01000805,5,5,1.0
2018-6,E01000806,5,5,1.0
2018-6,E01000807,6,6,1.0
2018-6,E01000808,4,4,1.0
2018-6,E01000809,7,7,1.0
2018-6,E01000810,6,5,1.2
2018-6,E01000811,16,9,1.7777777777777777
2018-6,E01000812,11,8,1.375
2018-6,E01000813,11,8,1.375
2018-6,E01000814,9,8,1.125
2018-6,E01000815,2,2,1.0
2018-6,E01000816,4,4,1.0
2018-6,E01000818,3,3,1.0
2018-6,E01000819,13,12,1.0833333333333333
2018-6,E01000820,1,1,1.0
2018-6,E01000822,5,3,1.6666666666666667
2018-6,E01000823,8,7,1.1428571428571428
2018-6,E01000824,3,3,1.0
2018-6,E01000825,1,1,1.0
2018-6,E01000826,3,3,1.0
2018-6,E01000827,7,7,1.0
2018-6,E01000828,11,3,3.6666666666666665
2018-6,E01000829,6,5,1.2
2018-6,E01000830,8,6,1.3333333333333333
2018-6,E01000831,3,2,1.5
2018-6,E01000832,10,6,1.6666666666666667
2018-6,E01000833,5,5,1.0
2018-6,E01000834,3,3,1.0
2018-6,E01000835,5,5,1.0
2018-6,E01000836,13,5,2.6
2018-6,E01000837,4,3,1.3333333333333333
2018-6,E01000838,7,6,1.1666666666666667
2018-6,E01000839,4,4,1.0
2018-6,E01000840,5,5,1.0
2018-6,E01000841,15,14,1.0714285714285714
2018-6,E01001572,7,7,1.0
2018-6,E01001573,3,3,1.0
2018-6,E01001574,2,2,1.0
2018-6,E01001575,3,3,1.0
2018-6,E01001576,3,2,1.5
2018-6,E01001577,2,2,1.0
2018-6,E01001578,1,1,1.0
2018-6,E01001580,2,2,1.0
2018-6,E01001581,2,2,1.0
2018-6,E01001582,1,1,1.0
2018-6,E01001583,6,2,3.0
2018-6,E01001585,3,3,1.0
2018-6,E01001586,2,2,1.0
2018-6,E01001587,3,3,1.0
2018-6,E01001588,2,2,1.0
2018-6,E01001589,1,1,1.0
2018-6,E01001590,2,2,1.0
2018-6,E01001591,2,2,1.0
2018-6,E01001592,2,2,1.0
2018-6,E01001593,2,2,1.0
2018-6,E01001595,1,1,1.0
2018-6,E01001596,1,1,1.0
2018-6,E01001597,2,2,1.0
2018-6,E01001598,4,3,1.3333333333333333
2018-6,E01001599,3,3,1.0
2018-6,E01001600,2,2,1.0
2018-6,E01001601,3,3,1.0
2018-6,E01001603,3,3,1.0
2018-6,E01001604,5,5,1.0
2018-6,E01001605,3,3,1.0
2018-6,E01001606,1,1,1.0
2018-6,E01001607,1,1,1.0
2018-6,E01001608,1,1,1.0
2018-6,E01001609,3,3,1.0
2018-6,E01001610,2,2,1.0
2018-6,E01001613,2,2,1.0
2018-6,E01001614,5,5,1.0
2018-6,E01001615,7,5,1.4
2018-6,E01001617,1,1,1.0
2018-6,E01001618,3,2,1.5
2018-6,E01001619,3,3,1.0
2018-6,E01001620,4,4,1.0
2018-6,E01001623,5,5,1.0
2018-6,E01001625,6,4,1.5
2018-6,E01001629,3,3,1.0
2018-6,E01001632,4,4,1.0
2018-6,E01001633,3,1,3.0
2018-6,E01001634,1,1,1.0
2018-6,E01001635,12,5,2.4
2018-6,E01001636,10,5,2.0
2018-6,E01001637,6,4,1.5
2018-6,E01001640,2,2,1.0
2018-6,E01001641,4,4,1.0
2018-6,E01001642,4,4,1.0
2018-6,E01001644,4,3,1.3333333333333333
2018-6,E01001645,2,2,1.0
2018-6,E01001646,1,1,1.0
2018-6,E01001647,2,2,1.0
2018-6,E01001649,3,3,1.0
2018-6,E01001650,3,2,1.5
2018-6,E01001651,2,2,1.0
2018-6,E01001652,6,3,2.0
2018-6,E01001653,4,4,1.0
2018-6,E01001654,1,1,1.0
2018-6,E01001655,4,4,1.0
2018-6,E01001656,1,1,1.0
2018-6,E01001657,4,3,1.3333333333333333
2018-6,E01001658,3,3,1.0
2018-6,E01001659,2,2,1.0
2018-6,E01001660,2,2,1.0
2018-6,E01001661,6,5,1.2
2018-6,E01001662,9,8,1.125
2018-6,E01001664,3,3,1.0
2018-6,E01001665,8,4,2.0
2018-6,E01001666,3,3,1.0
2018-6,E01001667,4,4,1.0
2018-6,E01001668,3,3,1.0
2018-6,E01001669,5,4,1.25
2018-6,E01001671,1,1,1.0
2018-6,E01001672,3,2,1.5
2018-6,E01001673,4,2,2.0
2018-6,E01001674,2,1,2.0
2018-6,E01001675,2,2,1.0
2018-6,E01001676,2,2,1.0
2018-6,E01001677,4,4,1.0
2018-6,E01001679,3,3,1.0
2018-6,E01001680,2,2,1.0
2018-6,E01001681,4,4,1.0
2018-6,E01001682,9,7,1.2857142857142858
2018-6,E01001683,1,1,1.0
2018-6,E01001684,2,2,1.0
2018-6,E01001685,4,4,1.0
2018-6,E01001686,3,3,1.0
2018-6,E01001692,1,1,1.0
2018-6,E01001695,3,2,1.5
2018-6,E01001697,3,3,1.0
2018-6,E01001698,1,1,1.0
2018-6,E01001699,2,2,1.0
2018-6,E01001700,4,4,1.0
2018-6,E01001701,9,9,1.0
2018-6,E01001704,4,1,4.0
2018-6,E01001705,2,1,2.0
2018-6,E01001706,3,3,1.0
2018-6,E01001708,1,1,1.0
2018-6,E01001709,8,7,1.1428571428571428
2018-6,E01001710,1,1,1.0
2018-6,E01001712,3,1,3.0
2018-6,E01001713,1,1,1.0
2018-6,E01013787,4,4,1.0
2018-6,E01013788,2,2,1.0
2018-6,E01013789,2,1,2.0
2018-6,E01013792,1,1,1.0
2018-6,E01013793,1,1,1.0
2018-6,E01013794,1,1,1.0
2018-6,E01013800,1,1,1.0
2018-6,E01013801,3,2,1.5
2018-6,E01013802,1,1,1.0
2018-6,E01013803,5,5,1.0
2018-6,E01013805,2,1,2.0
2018-6,E01013806,1,1,1.0
2018-6,E01013809,1,1,1.0
2018-6,E01014370,19,17,1.1176470588235294
2018-6,E01014371,10,10,1.0
2018-6,E01014372,10,9,1.1111111111111112
2018-6,E01014373,3,3,1.0
2018-6,E01014374,2,2,1.0
2018-6,E01014375,16,14,1.1428571428571428
2018-6,E01014376,9,9,1.0
2018-6,E01014377,3,3,1.0
2018-6,E01014379,27,21,1.2857142857142858
2018-6,E01014380,8,6,1.3333333333333333
2018-6,E01014381,2,2,1.0
2018-6,E01014382,10,7,1.4285714285714286
2018-6,E01014383,3,3,1.0
2018-6,E01014384,3,2,1.5
2018-6,E01014385,5,5,1.0
2018-6,E01014386,3,3,1.0
2018-6,E01014387,5,5,1.0
2018-6,E01014388,2,2,1.0
2018-6,E01014389,1,1,1.0
2018-6,E01014390,3,3,1.0
2018-6,E01014391,9,8,1.125
2018-6,E01014392,11,11,1.0
2018-6,E01014393,6,6,1.0
2018-6,E01014394,3,3,1.0
2018-6,E01014395,6,4,1.5
2018-6,E01014396,5,4,1.25
2018-6,E01014397,2,2,1.0
2018-6,E01014398,5,4,1.25
2018-6,E01014399,2,2,1.0
2018-6,E01014400,8,8,1.0
2018-6,E01014401,3,3,1.0
2018-6,E01014402,7,6,1.1666666666666667
2018-6,E01014403,8,6,1.3333333333333333
2018-6,E01014404,3,3,1.0
2018-6,E01014405,9,7,1.2857142857142858
2018-6,E01014407,6,6,1.0
2018-6,E01014409,2,2,1.0
2018-6,E01014410,7,7,1.0
2018-6,E01014411,4,4,1.0
2018-6,E01014412,7,6,1.1666666666666667
2018-6,E01014413,6,6,1.0
2018-6,E01014414,8,7,1.1428571428571428
2018-6,E01014415,5,5,1.0
2018-6,E01014416,3,3,1.0
2018-6,E01014417,4,4,1.0
2018-6,E01014418,6,4,1.5
2018-6,E01014419,2,2,1.0
2018-6,E01014420,5,5,1.0
2018-6,E01014421,1,1,1.0
2018-6,E01014422,4,4,1.0
2018-6,E01014423,4,3,1.3333333333333333
2018-6,E01014424,4,3,1.3333333333333333
2018-6,E01014425,1,1,1.0
2018-6,E01014426,3,3,1.0
2018-6,E01014427,6,6,1.0
2018-6,E01014428,3,3,1.0
2018-6,E01014429,2,2,1.0
2018-6,E01014430,6,6,1.0
2018-6,E01014431,2,2,1.0
2018-6,E01014432,2,2,1.0
2018-6,E01014433,2,2,1.0
2018-6,E01014434,4,4,1.0
2018-6,E01014435,3,3,1.0
2018-6,E01014436,4,4,1.0
2018-6,E01014437,2,1,2.0
2018-6,E01014438,2,2,1.0
2018-6,E01014439,6,6,1.0
2018-6,E01014440,2,2,1.0
2018-6,E01014441,4,4,1.0
2018-6,E01014442,3,3,1.0
2018-6,E01014443,4,4,1.0
2018-6,E01014445,3,3,1.0
2018-6,E01014446,2,2,1.0
2018-6,E01014447,9,8,1.125
2018-6,E01014448,5,5,1.0
2018-6,E01014449,1,1,1.0
2018-6,E01014450,6,5,1.2
2018-6,E01014451,10,8,1.25
2018-6,E01014452,4,4,1.0
2018-6,E01014453,5,5,1.0
2018-6,E01014454,1,1,1.0
2018-6,E01014455,7,5,1.4
2018-6,E01014456,6,5,1.2
2018-6,E01014457,3,3,1.0
2018-6,E01014458,5,5,1.0
2018-6,E01014459,3,3,1.0
2018-6,E01014460,1,1,1.0
