lsoa,reports,unique_users,average_per_user
E01000115,3,3,1.0
E01000116,7,7,1.0
E01000117,8,5,1.6
E01000118,10,9,1.1111111111111112
E01000119,5,5,1.0
E01000120,16,15,1.0666666666666667
E01000121,2,2,1.0
E01000122,3,3,1.0
E01000123,11,8,1.375
E01000124,5,5,1.0
E01000125,9,9,1.0
E01000126,4,4,1.0
E01000127,3,3,1.0
E01000128,7,7,1.0
E01000129,10,9,1.1111111111111112
E01000130,4,4,1.0
E01000131,6,6,1.0
E01000132,1,1,1.0
E01000134,7,6,1.1666666666666667
E01000135,14,13,1.0769230769230769
E01000136,15,13,1.1538461538461537
E01000138,9,8,1.125
E01000139,10,10,1.0
E01000140,4,3,1.3333333333333333
E01000141,15,14,1.0714285714285714
E01000142,17,5,3.4
E01000144,15,8,1.875
E01000145,6,6,1.0
E01000146,19,16,1.1875
E01000147,8,7,1.1428571428571428
E01000148,3,3,1.0
E01000150,12,10,1.2
E01000151,1,1,1.0
E01000152,2,2,1.0
E01000153,2,2,1.0
E01000154,1,1,1.0
E01000155,7,5,1.4
E01000156,5,5,1.0
E01000157,4,4,1.0
E01000158,4,4,1.0
E01000159,10,8,1.25
E01000160,3,3,1.0
E01000161,4,4,1.0
E01000162,8,6,1.3333333333333333
E01000163,1,1,1.0
E01000164,16,13,1.2307692307692308
E01000165,6,5,1.2
E01000166,5,5,1.0
E01000167,4,4,1.0
E01000168,6,4,1.5
E01000169,14,11,1.2727272727272727
E01000170,16,15,1.0666666666666667
E01000171,6,6,1.0
E01000172,13,12,1.0833333333333333
E01000173,11,11,1.0
E01000174,13,10,1.3
E01000175,17,17,1.0
E01000176,5,5,1.0
E01000177,9,8,1.125
E01000178,7,5,1.4
E01000179,10,6,1.6666666666666667
E01000180,10,8,1.25
E01000181,10,9,1.1111111111111112
E01000182,7,6,1.1666666666666667
E01000183,11,11,1.0
E01000184,2,2,1.0
E01000185,5,4,1.25
E01000186,6,4,1.5
E01000187,3,3,1.0
E01000188,6,6,1.0
E01000189,1,1,1.0
E01000190,10,9,1.1111111111111112
E01000191,7,5,1.4
E01000192,15,12,1.25
E01000193,4,4,1.0
E01000194,5,5,1.0
E01000195,2,2,1.0
E01000196,10,10,1.0
E01000197,15,10,1.5
E01000198,10,9,1.1111111111111112
E01000199,9,8,1.125
E01000200,5,5,1.0
E01000201,4,4,1.0
E01000202,3,3,1.0
E01000203,18,14,1.2857142857142858
E01000204,15,12,1.25
E01000205,12,12,1.0
E01000206,10,10,1.0
E01000207,11,11,1.0
E01000208,9,7,1.2857142857142858
E01000209,6,5,1.2
E01000210,12,10,1.2
E01000211,5,5,1.0
E01000212,12,9,1.3333333333333333
E01000213,16,15,1.0666666666666667
E01000214,14,9,1.5555555555555556
E01000215,9,9,1.0
E01000216,4,4,1.0
E01000217,3,3,1.0
E01000218,3,3,1.0
E01000219,7,7,1.0
E01000220,5,4,1.25
E01000221,15,12,1.25
E01000222,4,4,1.0
E01000223,9,8,1.125
E01000224,5,4,1.25
E01000225,3,3,1.0
E01000226,6,6,1.0
E01000227,5,5,1.0
E01000228,23,17,1.3529411764705883
E01000229,15,9,1.6666666666666667
E01000230,14,11,1.2727272727272727
E01000231,7,7,1.0
E01000232,18,17,1.0588235294117647
E01000233,13,11,1.1818181818181819
E01000234,8,7,1.1428571428571428
E01000235,15,11,1.3636363636363635
E01000236,9,5,1.8
E01000237,10,9,1.1111111111111112
E01000238,18,9,2.0
E01000239,11,11,1.0
E01000240,5,5,1.0
E01000241,5,5,1.0
E01000242,8,6,1.3333333333333333
E01000243,8,7,1.1428571428571428
E01000244,5,5,1.0
E01000245,8,6,1.3333333333333333
E01000246,11,10,1.1
E01000247,6,5,1.2
E01000248,12,11,1.0909090909090908
E01000249,14,13,1.0769230769230769
E01000250,18,16,1.125
E01000251,6,6,1.0
E01000252,3,3,1.0
E01000253,26,17,1.5294117647058822
E01000254,5,4,1.25
E01000255,7,7,1.0
E01000256,13,7,1.8571428571428572
E01000257,10,10,1.0
E01000258,8,8,1.0
E01000259,16,13,1.2307692307692308
E01000260,16,14,1.1428571428571428
E01000261,10,7,1.4285714285714286
E01000262,13,9,1.4444444444444444
E01000263,13,12,1.0833333333333333
E01000264,14,14,1.0
E01000265,3,3,1.0
E01000266,5,5,1.0
E01000267,9,8,1.125
E01000268,12,10,1.2
E01000269,7,5,1.4
E01000270,8,8,1.0
E01000271,9,5,1.8
E01000272,10,9,1.1111111111111112
E01000273,6,6,1.0
E01000274,9,7,1.2857142857142858
E01000275,9,8,1.125
E01000276,4,4,1.0
E01000277,13,7,1.8571428571428572
E01000278,2,2,1.0
E01000279,10,10,1.0
E01000280,11,9,1.2222222222222223
E01000281,6,5,1.2
E01000282,8,7,1.1428571428571428
E01000283,6,6,1.0
E01000284,6,4,1.5
