lsoa,reports,unique_users,average_per_user
E01000645,11,10,1.1
E01000646,9,9,1.0
E01000647,5,4,1.25
E01000648,5,4,1.25
E01000649,7,7,1.0
E01000650,5,5,1.0
E01000651,8,7,1.1428571428571428
E01000652,2,2,1.0
E01000653,1,1,1.0
E01000654,5,4,1.25
E01000655,7,6,1.1666666666666667
E01000656,9,9,1.0
E01000657,7,5,1.4
E01000658,15,9,1.6666666666666667
E01000659,4,4,1.0
E01000661,3,3,1.0
E01000662,1,1,1.0
E01000663,4,4,1.0
E01000664,3,3,1.0
E01000665,11,10,1.1
E01000666,8,8,1.0
E01000667,8,8,1.0
E01000668,3,3,1.0
E01000669,5,4,1.25
E01000670,10,9,1.1111111111111112
E01000671,6,5,1.2
E01000672,3,3,1.0
E01000673,4,4,1.0
E01000674,2,2,1.0
E01000675,9,7,1.2857142857142858
E01000676,13,10,1.3
E01000677,15,9,1.6666666666666667
E01000678,5,5,1.0
E01000679,2,2,1.0
E01000680,17,15,1.1333333333333333
E01000681,5,5,1.0
E01000682,8,7,1.1428571428571428
E01000683,8,5,1.6
E01000684,3,3,1.0
E01000685,12,10,1.2
E01000686,6,5,1.2
E01000687,12,9,1.3333333333333333
E01000688,1,1,1.0
E01000689,7,6,1.1666666666666667
E01000690,5,5,1.0
E01000691,15,13,1.1538461538461537
E01000692,8,8,1.0
E01000693,10,8,1.25
E01000694,8,7,1.1428571428571428
E01000695,9,8,1.125
E01000696,13,11,1.1818181818181819
E01000697,5,5,1.0
E01000698,6,6,1.0
E01000699,6,5,1.2
E01000700,11,8,1.375
E01000701,2,2,1.0
E01000702,6,4,1.5
E01000703,8,7,1.1428571428571428
E01000704,6,6,1.0
E01000705,2,2,1.0
E01000706,10,10,1.0
E01000707,6,6,1.0
E01000708,3,3,1.0
E01000709,8,7,1.1428571428571428
E01000710,4,4,1.0
E01000711,4,4,1.0
E01000712,5,4,1.25
E01000713,7,7,1.0
E01000714,8,7,1.1428571428571428
E01000715,8,7,1.1428571428571428
E01000716,4,4,1.0
E01000717,5,5,1.0
E01000718,5,5,1.0
E01000719,15,11,1.3636363636363635
E01000720,29,24,1.2083333333333333
E01000721,2,2,1.0
E01000722,14,12,1.1666666666666667
E01000723,3,3,1.0
E01000724,8,8,1.0
E01000725,16,11,1.4545454545454546
E01000726,12,7,1.7142857142857142
E01000727,9,9,1.0
E01000728,6,6,1.0
E01000729,3,3,1.0
E01000730,24,8,3.0
E01000731,5,5,1.0
E01000732,2,2,1.0
E01000733,11,6,1.8333333333333333
E01000734,4,4,1.0
E01000735,2,1,2.0
E01000736,4,4,1.0
E01000737,2,2,1.0
E01000738,4,4,1.0
E01000739,6,1,6.0
E01000740,8,4,2.0
E01000741,6,3,2.0
E01000742,16,11,1.4545454545454546
E01000743,4,4,1.0
E01000744,5,5,1.0
E01000745,8,7,1.1428571428571428
E01000746,12,9,1.3333333333333333
E01000747,17,15,1.1333333333333333
E01000748,6,6,1.0
E01000749,16,13,1.2307692307692308
E01000750,1,1,1.0
E01000751,8,8,1.0
E01000752,9,7,1.2857142857142858
E01000753,12,8,1.5
E01000754,6,6,1.0
E01000755,8,8,1.0
E01000756,7,7,1.0
E01000757,6,5,1.2
E01000758,4,4,1.0
E01000759,12,10,1.2
E01000760,4,4,1.0
E01000761,2,2,1.0
E01000762,2,2,1.0
E01000763,1,1,1.0
E01000764,9,8,1.125
E01000765,7,6,1.1666666666666667
E01000766,7,6,1.1666666666666667
E01000767,8,8,1.0
E01000768,3,3,1.0
E01000769,2,2,1.0
E01000770,11,11,1.0
