period,LSOA,report_count,user_count,average
2017-6,E01000645,6,6,1.0
2017-6,E01000646,10,9,1.1111111111111112
2017-6,E01000647,4,4,1.0
2017-6,E01000648,6,6,1.0
2017-6,E01000649,1,1,1.0
2017-6,E01000650,3,3,1.0
2017-6,E01000651,8,8,1.0
2017-6,E01000652,8,7,1.1428571428571428
2017-6,E01000653,2,2,1.0
2017-6,E01000654,7,6,1.1666666666666667
2017-6,E01000655,5,4,1.25
2017-6,E01000656,3,3,1.0
2017-6,E01000657,1,1,1.0
2017-6,E01000658,2,2,1.0
2017-6,E01000659,5,5,1.0
2017-6,E01000661,11,7,1.5714285714285714
2017-6,E01000662,3,3,1.0
2017-6,E01000663,7,6,1.1666666666666667
2017-6,E01000664,13,9,1.4444444444444444
2017-6,E01000665,18,9,2.0
2017-6,E01000666,19,15,1.2666666666666666
2017-6,E01000667,6,4,1.5
2017-6,E01000668,16,8,2.0
2017-6,E01000669,6,5,1.2
2017-6,E01000670,5,5,1.0
2017-6,E01000671,4,3,1.3333333333333333
2017-6,E01000672,8,6,1.3333333333333333
2017-6,E01000673,6,5,1.2
2017-6,E01000674,6,6,1.0
2017-6,E01000675,20,17,1.1764705882352942
2017-6,E01000676,6,6,1.0
2017-6,E01000677,10,8,1.25
2017-6,E01000678,9,9,1.0
2017-6,E01000679,4,4,1.0
2017-6,E01000680,14,14,1.0
2017-6,E01000681,8,8,1.0
2017-6,E01000682,4,4,1.0
2017-6,E01000683,10,6,1.6666666666666667
2017-6,E01000684,4,3,1.3333333333333333
2017-6,E01000685,8,8,1.0
2017-6,E01000686,12,8,1.5
2017-6,E01000687,9,8,1.125
2017-6,E01000688,8,8,1.0
2017-6,E01000689,5,4,1.25
2017-6,E01000690,8,5,1.6
2017-6,E01000691,7,7,1.0
2017-6,E01000692,6,4,1.5
2017-6,E01000693,7,6,1.1666666666666667
2017-6,E01000694,10,10,1.0
2017-6,E01000695,6,6,1.0
2017-6,E01000696,6,6,1.0
2017-6,E01000697,7,4,1.75
2017-6,E01000698,5,4,1.25
2017-6,E01000699,7,5,1.4
2017-6,E01000700,9,8,1.125
2017-6,E01000701,9,6,1.5
2017-6,E01000703,11,9,1.2222222222222223
2017-6,E01000704,1,1,1.0
2017-6,E01000705,7,6,1.1666666666666667
2017-6,E01000706,7,6,1.1666666666666667
2017-6,E01000707,6,6,1.0
2017-6,E01000708,4,3,1.3333333333333333
2017-6,E01000709,7,6,1.1666666666666667
2017-6,E01000710,12,9,1.3333333333333333
2017-6,E01000711,2,2,1.0
2017-6,E01000712,4,4,1.0
2017-6,E01000713,5,5,1.0
2017-6,E01000714,14,13,1.0769230769230769
2017-6,E01000715,5,5,1.0
2017-6,E01000716,3,2,1.5
2017-6,E01000717,6,5,1.2
2017-6,E01000718,10,9,1.1111111111111112
2017-6,E01000719,10,6,1.6666666666666667
2017-6,E01000720,10,9,1.1111111111111112
2017-6,E01000721,6,5,1.2
2017-6,E01000722,6,4,1.5
2017-6,E01000723,4,4,1.0
2017-6,E01000724,4,3,1.3333333333333333
2017-6,E01000725,16,9,1.7777777777777777
2017-6,E01000726,10,4,2.5
2017-6,E01000727,4,4,1.0
2017-6,E01000728,13,9,1.4444444444444444
2017-6,E01000729,10,9,1.1111111111111112
2017-6,E01000730,6,6,1.0
2017-6,E01000731,4,4,1.0
2017-6,E01000732,2,2,1.0
2017-6,E01000733,14,8,1.75
2017-6,E01000735,8,7,1.1428571428571428
2017-6,E01000736,11,8,1.375
2017-6,E01000737,3,3,1.0
2017-6,E01000738,8,8,1.0
2017-6,E01000739,4,3,1.3333333333333333
2017-6,E01000740,4,4,1.0
2017-6,E01000741,1,1,1.0
2017-6,E01000742,9,9,1.0
2017-6,E01000743,11,10,1.1
2017-6,E01000744,8,4,2.0
2017-6,E01000745,8,6,1.3333333333333333
2017-6,E01000746,4,4,1.0
2017-6,E01000747,19,16,1.1875
2017-6,E01000748,9,9,1.0
2017-6,E01000749,9,8,1.125
2017-6,E01000750,1,1,1.0
2017-6,E01000751,6,6,1.0
2017-6,E01000752,12,10,1.2
2017-6,E01000753,16,13,1.2307692307692308
2017-6,E01000754,14,12,1.1666666666666667
2017-6,E01000755,7,7,1.0
2017-6,E01000756,7,6,1.1666666666666667
2017-6,E01000757,10,8,1.25
2017-6,E01000758,7,7,1.0
2017-6,E01000759,17,13,1.3076923076923077
2017-6,E01000760,6,6,1.0
2017-6,E01000761,5,3,1.6666666666666667
2017-6,E01000762,6,3,2.0
2017-6,E01000763,6,6,1.0
2017-6,E01000764,11,8,1.375
2017-6,E01000765,7,7,1.0
2017-6,E01000766,3,3,1.0
2017-6,E01000767,7,7,1.0
2017-6,E01000768,4,4,1.0
2017-6,E01000769,4,4,1.0
2017-6,E01000770,13,11,1.1818181818181819
2017-6,E01000771,9,8,1.125
2017-6,E01000772,3,3,1.0
2017-6,E01000773,2,2,1.0
