period,LSOA,report_count,user_count,average
2018,E01000645,90,69,1.3043478260869565
2018,E01000646,54,44,1.2272727272727273
2018,E01000647,47,36,1.3055555555555556
2018,E01000648,54,43,1.255813953488372
2018,E01000649,53,38,1.394736842105263
2018,E01000650,69,59,1.1694915254237288
2018,E01000651,57,41,1.3902439024390243
2018,E01000652,82,60,1.3666666666666667
2018,E01000653,37,32,1.15625
2018,E01000654,85,60,1.4166666666666667
2018,E01000655,39,25,1.56
2018,E01000656,160,59,2.711864406779661
2018,E01000657,86,51,1.6862745098039216
2018,E01000658,41,27,1.5185185185185186
2018,E01000659,37,29,1.2758620689655173
2018,E01000661,181,58,3.1206896551724137
2018,E01000662,65,40,1.625
2018,E01000663,83,53,1.5660377358490567
2018,E01000664,86,51,1.6862745098039216
2018,E01000665,159,64,2.484375
2018,E01000666,187,84,2.2261904761904763
2018,E01000667,79,51,1.5490196078431373
2018,E01000668,193,58,3.3275862068965516
2018,E01000669,90,30,3.0
2018,E01000670,96,70,1.3714285714285714
2018,E01000671,87,53,1.6415094339622642
2018,E01000672,64,45,1.4222222222222223
2018,E01000673,65,48,1.3541666666666667
2018,E01000674,68,40,1.7
2018,E01000675,180,84,2.142857142857143
2018,E01000676,117,68,1.7205882352941178
2018,E01000677,152,83,1.8313253012048192
2018,E01000678,66,53,1.2452830188679245
2018,E01000679,49,40,1.225
2018,E01000680,196,120,1.6333333333333333
2018,E01000681,64,47,1.3617021276595744
2018,E01000682,52,39,1.3333333333333333
2018,E01000683,88,49,1.7959183673469388
2018,E01000684,59,43,1.372093023255814
2018,E01000685,85,51,1.6666666666666667
2018,E01000686,88,62,1.4193548387096775
2018,E01000687,78,57,1.368421052631579
2018,E01000688,45,36,1.25
2018,E01000689,44,28,1.5714285714285714
2018,E01000690,48,27,1.7777777777777777
2018,E01000691,102,62,1.6451612903225807
2018,E01000692,114,58,1.9655172413793103
2018,E01000693,99,79,1.2531645569620253
2018,E01000694,109,82,1.329268292682927
2018,E01000695,54,48,1.125
2018,E01000696,115,79,1.4556962025316456
2018,E01000697,64,52,1.2307692307692308
2018,E01000698,68,50,1.36
2018,E01000699,86,45,1.9111111111111112
2018,E01000700,65,51,1.2745098039215685
2018,E01000701,68,37,1.837837837837838
2018,E01000702,49,31,1.5806451612903225
2018,E01000703,94,61,1.540983606557377
2018,E01000704,132,71,1.8591549295774648
2018,E01000705,64,42,1.5238095238095237
2018,E01000706,61,45,1.3555555555555556
2018,E01000707,55,49,1.1224489795918366
2018,E01000708,81,62,1.3064516129032258
2018,E01000709,67,52,1.2884615384615385
2018,E01000710,86,60,1.4333333333333333
2018,E01000711,55,37,1.4864864864864864
2018,E01000712,45,34,1.3235294117647058
2018,E01000713,55,38,1.4473684210526316
2018,E01000714,139,101,1.3762376237623761
2018,E01000715,58,41,1.4146341463414633
2018,E01000716,37,28,1.3214285714285714
2018,E01000717,49,40,1.225
2018,E01000718,68,51,1.3333333333333333
2018,E01000719,181,61,2.9672131147540983
2018,E01000720,237,115,2.0608695652173914
2018,E01000721,43,29,1.4827586206896552
2018,E01000722,97,64,1.515625
2018,E01000723,58,35,1.6571428571428573
2018,E01000724,84,36,2.3333333333333335
2018,E01000725,135,60,2.25
2018,E01000726,97,27,3.5925925925925926
2018,E01000727,85,61,1.3934426229508197
2018,E01000728,68,56,1.2142857142857142
2018,E01000729,109,34,3.2058823529411766
2018,E01000730,113,52,2.173076923076923
2018,E01000731,45,34,1.3235294117647058
2018,E01000732,45,33,1.3636363636363635
2018,E01000733,115,58,1.9827586206896552
2018,E01000734,59,33,1.7878787878787878
2018,E01000735,97,47,2.0638297872340425
2018,E01000736,93,51,1.8235294117647058
2018,E01000737,73,48,1.5208333333333333
2018,E01000738,79,51,1.5490196078431373
2018,E01000739,82,40,2.05
2018,E01000740,100,71,1.408450704225352
2018,E01000741,59,42,1.4047619047619047
2018,E01000742,82,57,1.4385964912280702
2018,E01000743,69,50,1.38
2018,E01000744,68,30,2.2666666666666666
2018,E01000745,85,45,1.8888888888888888
2018,E01000746,93,52,1.7884615384615385
2018,E01000747,150,96,1.5625
2018,E01000748,79,59,1.3389830508474576
2018,E01000749,168,113,1.4867256637168142
2018,E01000750,28,24,1.1666666666666667
2018,E01000751,69,55,1.2545454545454546
2018,E01000752,93,75,1.24
2018,E01000753,118,77,1.5324675324675325
2018,E01000754,111,61,1.819672131147541
