lsoa,reports,unique_users,average_per_user
E01000115,68,44,1.5454545454545454
E01000116,108,78,1.3846153846153846
E01000117,105,67,1.5671641791044777
E01000118,86,74,1.162162162162162
E01000119,84,56,1.5
E01000120,75,56,1.3392857142857142
E01000121,52,39,1.3333333333333333
E01000122,64,50,1.28
E01000123,108,67,1.6119402985074627
E01000124,94,64,1.46875
E01000125,82,50,1.64
E01000126,104,45,2.311111111111111
E01000127,81,37,2.189189189189189
E01000128,93,58,1.603448275862069
E01000129,111,64,1.734375
E01000130,48,31,1.5483870967741935
E01000131,95,69,1.3768115942028984
E01000132,86,36,2.388888888888889
E01000133,41,29,1.4137931034482758
E01000134,46,34,1.3529411764705883
E01000135,109,84,1.2976190476190477
E01000136,105,72,1.4583333333333333
E01000137,51,34,1.5
E01000138,122,58,2.103448275862069
E01000139,130,67,1.9402985074626866
E01000140,106,62,1.7096774193548387
E01000141,169,108,1.5648148148148149
E01000142,138,54,2.5555555555555554
E01000143,41,32,1.28125
E01000144,126,88,1.4318181818181819
E01000145,72,45,1.6
E01000146,143,93,1.5376344086021505
E01000147,82,48,1.7083333333333333
E01000148,71,50,1.42
E01000150,110,62,1.7741935483870968
E01000151,14,11,1.2727272727272727
E01000152,36,29,1.2413793103448276
E01000153,41,26,1.5769230769230769
E01000154,21,17,1.2352941176470589
E01000155,113,63,1.7936507936507937
E01000156,89,67,1.328358208955224
E01000157,66,43,1.5348837209302326
E01000158,104,59,1.7627118644067796
E01000159,113,74,1.527027027027027
E01000160,83,53,1.5660377358490567
E01000161,84,55,1.5272727272727273
E01000162,90,70,1.2857142857142858
E01000163,36,26,1.3846153846153846
E01000164,114,78,1.4615384615384615
E01000165,51,41,1.2439024390243902
E01000166,78,51,1.5294117647058822
E01000167,169,47,3.595744680851064
E01000168,83,46,1.8043478260869565
E01000169,86,63,1.3650793650793651
E01000170,110,67,1.6417910447761195
E01000171,111,83,1.3373493975903614
E01000172,65,54,1.2037037037037037
E01000173,113,80,1.4125
E01000174,128,82,1.5609756097560976
E01000175,117,90,1.3
E01000176,63,45,1.4
E01000177,124,83,1.4939759036144578
E01000178,75,50,1.5
E01000179,73,54,1.3518518518518519
E01000180,74,54,1.3703703703703705
E01000181,116,83,1.3975903614457832
E01000182,122,79,1.5443037974683544
E01000183,91,69,1.318840579710145
E01000184,49,40,1.225
E01000185,35,25,1.4
E01000186,89,55,1.6181818181818182
E01000187,62,39,1.5897435897435896
E01000188,104,68,1.5294117647058822
E01000189,24,23,1.0434782608695652
E01000190,107,65,1.646153846153846
E01000191,122,71,1.7183098591549295
E01000192,158,100,1.58
E01000193,114,76,1.5
