period,LSOA,SHEF_A,report_count,user_count,average
2010-5,E01000124,Other,1,1,1.0
2010-5,E01000135,Potholes,2,2,1.0
2010-5,E01000136,Potholes,1,1,1.0
2010-5,E01000136,Street Lights,1,1,1.0
2010-5,E01000142,Street Lights,1,1,1.0
2010-5,E01000144,Highway Condition,1,1,1.0
2010-5,E01000146,Highway Condition,1,1,1.0
2010-5,E01000150,Potholes,1,1,1.0
2010-5,E01000156,Pavement /Footway Defects,1,1,1.0
2010-5,E01000156,Potholes,1,1,1.0
2010-5,E01000157,Pavement /Footway Defects,1,1,1.0
2010-5,E01000159,Pavement /Footway Defects,1,1,1.0
2010-5,E01000161,Pavement /Footway Defects,1,1,1.0
2010-5,E01000162,Potholes,1,1,1.0
2010-5,E01000164,Pavement /Footway Defects,1,1,1.0
2010-5,E01000172,Street Lights,1,1,1.0
2010-5,E01000174,Street Lights,1,1,1.0
2010-5,E01000175,Pavement /Footway Defects,1,1,1.0
2010-5,E01000175,Potholes,2,2,1.0
2010-5,E01000177,Pavement /Footway Defects,1,1,1.0
2010-5,E01000179,Potholes,1,1,1.0
2010-5,E01000181,Potholes,1,1,1.0
2010-5,E01000182,Other,1,1,1.0
2010-5,E01000182,Potholes,1,1,1.0
2010-5,E01000183,Traffic Lights,1,1,1.0
2010-5,E01000186,Street Lights,1,1,1.0
2010-5,E01000187,Street Lights,1,1,1.0
2010-5,E01000190,Potholes,1,1,1.0
2010-5,E01000198,Street Lights,1,1,1.0
2010-5,E01000203,Pavement /Footway Defects,2,1,2.0
2010-5,E01000204,Potholes,1,1,1.0
2010-5,E01000205,Pavement /Footway Defects,1,1,1.0
2010-5,E01000205,Potholes,1,1,1.0
2010-5,E01000206,Parking,1,1,1.0
2010-5,E01000209,Street Lights,1,1,1.0
2010-5,E01000213,Pavement /Footway Defects,1,1,1.0
2010-5,E01000215,Street Lights,1,1,1.0
2010-5,E01000216,Potholes,1,1,1.0
2010-5,E01000219,Highway Condition,1,1,1.0
2010-5,E01000222,Other,1,1,1.0
2010-5,E01000224,Street Lights,1,1,1.0
2010-5,E01000225,Potholes,1,1,1.0
2010-5,E01000226,Potholes,1,1,1.0
2010-5,E01000228,Pavement /Footway Defects,1,1,1.0
2010-5,E01000228,Potholes,2,2,1.0
2010-5,E01000230,Fallen/Dangerous Trees,1,1,1.0
2010-5,E01000232,Pavement /Footway Defects,1,1,1.0
2010-5,E01000232,Potholes,2,2,1.0
2010-5,E01000233,Fallen/Dangerous Trees,1,1,1.0
2010-5,E01000233,Potholes,5,4,1.25
2010-5,E01000235,Potholes,1,1,1.0
2010-5,E01000236,Fly-tipping,1,1,1.0
2010-5,E01000236,Highway Condition,2,1,2.0
2010-5,E01000237,Potholes,2,2,1.0
2010-5,E01000238,Other,1,1,1.0
2010-5,E01000238,Traffic Lights,1,1,1.0
2010-5,E01000240,Potholes,1,1,1.0
2010-5,E01000242,Pavement /Footway Defects,1,1,1.0
2010-5,E01000243,Highway Condition,1,1,1.0
2010-5,E01000245,Potholes,2,1,2.0
2010-5,E01000245,Street Lights,1,1,1.0
2010-5,E01000247,Potholes,1,1,1.0
2010-5,E01000253,Potholes,1,1,1.0
2010-5,E01000253,Street Signs,1,1,1.0
2010-5,E01000259,Potholes,4,2,2.0
2010-5,E01000260,Other,1,1,1.0
2010-5,E01000261,Potholes,1,1,1.0
2010-5,E01000262,Potholes,2,2,1.0
2010-5,E01000263,Highway Condition,1,1,1.0
2010-5,E01000263,Potholes,1,1,1.0
2010-5,E01000268,Highway Condition,1,1,1.0
2010-5,E01000268,Potholes,1,1,1.0
2010-5,E01000269,Potholes,1,1,1.0
2010-5,E01000270,Potholes,1,1,1.0
2010-5,E01000273,Potholes,1,1,1.0
2010-5,E01000274,Pavement /Footway Defects,1,1,1.0
2010-5,E01000275,Pavement /Footway Defects,1,1,1.0
2010-5,E01000275,Potholes,1,1,1.0
2010-5,E01000276,Highway Condition,1,1,1.0
2010-5,E01000280,Potholes,1,1,1.0
2010-5,E01000280,Street Lights,2,2,1.0
2010-5,E01000285,Pavement /Footway Defects,1,1,1.0
2010-5,E01000287,Other,1,1,1.0
2010-5,E01000292,Pavement /Footway Defects,1,1,1.0
2010-5,E01000292,Potholes,1,1,1.0
2010-5,E01000294,Potholes,1,1,1.0
2010-5,E01000296,Potholes,1,1,1.0
2010-5,E01000297,Potholes,1,1,1.0
2010-5,E01000298,Pavement /Footway Defects,1,1,1.0
2010-5,E01000303,Potholes,1,1,1.0
2010-5,E01000306,Potholes,1,1,1.0
2010-5,E01000307,Rubbish,1,1,1.0
2010-5,E01000307,Street Signs,1,1,1.0
2010-5,E01000309,Pavement /Footway Defects,1,1,1.0
2010-5,E01000309,Potholes,1,1,1.0
2010-5,E01000311,Pavement /Footway Defects,1,1,1.0
2010-5,E01000314,Fly-tipping,1,1,1.0
2010-5,E01000316,Potholes,1,1,1.0
2010-5,E01000319,Street Signs,1,1,1.0
2010-5,E01000320,Potholes,2,2,1.0
2010-5,E01000323,Pavement /Footway Defects,1,1,1.0
2010-5,E01000323,Potholes,1,1,1.0
2010-5,E01011671,Rubbish,1,1,1.0
2010-5,E01011693,Potholes,1,1,1.0
2010-5,E01033572,Potholes,1,1,1.0
2010-5,S01008685,Pavement /Footway Defects,1,1,1.0
2010-5,S01008814,Fly-tipping,1,1,1.0
2010-5,W01001756,Street Cleaning,1,1,1.0
2010-5,W01001837,Other,1,1,1.0
2010-5,W01001857,Potholes,1,1,1.0
2010-5,W01001891,Pavement /Footway Defects,1,1,1.0
2010-5,W01001942,Rubbish,1,1,1.0
