period,LSOA,SHEF_A_CODE,report_count,user_count,average
2010-6,E01000115,A57,1,1,1.0
2010-6,E01000116,A60,1,1,1.0
2010-6,E01000116,A81,1,1,1.0
2010-6,E01000118,A56,1,1,1.0
2010-6,E01000120,A60,1,1,1.0
2010-6,E01000123,A81,1,1,1.0
2010-6,E01000125,A1,1,1,1.0
2010-6,E01000125,A56,1,1,1.0
2010-6,E01000125,A81,1,1,1.0
2010-6,E01000129,A60,2,2,1.0
2010-6,E01000130,A29,1,1,1.0
2010-6,E01000135,A56,1,1,1.0
2010-6,E01000135,A60,1,1,1.0
2010-6,E01000136,A60,1,1,1.0
2010-6,E01000142,A54,1,1,1.0
2010-6,E01000144,A60,1,1,1.0
2010-6,E01000147,A57,1,1,1.0
2010-6,E01000155,A60,1,1,1.0
2010-6,E01000158,A57,1,1,1.0
2010-6,E01000160,A41,1,1,1.0
2010-6,E01000169,A57,1,1,1.0
2010-6,E01000170,A60,1,1,1.0
2010-6,E01000172,A57,1,1,1.0
2010-6,E01000177,A60,2,1,2.0
2010-6,E01000178,A57,1,1,1.0
2010-6,E01000178,A60,1,1,1.0
2010-6,E01000179,A79,1,1,1.0
2010-6,E01000181,A57,1,1,1.0
2010-6,E01000181,A60,1,1,1.0
2010-6,E01000183,A54,1,1,1.0
2010-6,E01000186,A57,2,1,2.0
2010-6,E01000188,A54,1,1,1.0
2010-6,E01000190,A24,1,1,1.0
2010-6,E01000192,A60,1,1,1.0
2010-6,E01000196,A60,1,1,1.0
2010-6,E01000198,A54,1,1,1.0
2010-6,E01000198,A57,2,2,1.0
2010-6,E01000200,A60,1,1,1.0
2010-6,E01000203,A54,1,1,1.0
2010-6,E01000204,A57,1,1,1.0
2010-6,E01000204,A60,1,1,1.0
2010-6,E01000205,A57,1,1,1.0
2010-6,E01000205,A81,1,1,1.0
2010-6,E01000206,A81,1,1,1.0
2010-6,E01000209,A81,1,1,1.0
2010-6,E01000211,A60,1,1,1.0
2010-6,E01000213,A60,1,1,1.0
2010-6,E01000221,A60,1,1,1.0
2010-6,E01000224,A1,1,1,1.0
2010-6,E01000224,A56,1,1,1.0
2010-6,E01000228,A24,1,1,1.0
2010-6,E01000228,A41,1,1,1.0
2010-6,E01000229,A24,1,1,1.0
2010-6,E01000230,A60,1,1,1.0
2010-6,E01000231,A60,1,1,1.0
2010-6,E01000232,A60,2,2,1.0
2010-6,E01000235,A56,1,1,1.0
2010-6,E01000235,A60,2,2,1.0
2010-6,E01000235,A83,1,1,1.0
2010-6,E01000236,A57,1,1,1.0
2010-6,E01000237,A54,1,1,1.0
2010-6,E01000237,A57,1,1,1.0
2010-6,E01000238,A60,1,1,1.0
2010-6,E01000239,A29,1,1,1.0
2010-6,E01000245,A54,1,1,1.0
2010-6,E01000249,A57,1,1,1.0
2010-6,E01000249,A81,1,1,1.0
2010-6,E01000253,A57,1,1,1.0
2010-6,E01000254,A24,1,1,1.0
2010-6,E01000261,A41,1,1,1.0
2010-6,E01000261,A60,2,1,2.0
2010-6,E01000266,A57,1,1,1.0
2010-6,E01000268,A54,1,1,1.0
2010-6,E01000268,A83,1,1,1.0
2010-6,E01000270,A57,1,1,1.0
2010-6,E01000275,A41,1,1,1.0
2010-6,E01000275,A60,1,1,1.0
2010-6,E01000277,A41,1,1,1.0
2010-6,E01000277,A60,1,1,1.0
2010-6,E01000281,A60,1,1,1.0
2010-6,E01000283,A57,1,1,1.0
2010-6,E01000283,A60,1,1,1.0
2010-6,E01000286,A57,1,1,1.0
2010-6,E01000287,A57,1,1,1.0
2010-6,E01000293,A24,1,1,1.0
2010-6,E01000293,A57,1,1,1.0
2010-6,E01000295,A57,1,1,1.0
2010-6,E01000296,A57,1,1,1.0
2010-6,E01000297,A60,1,1,1.0
2010-6,E01000298,A24,1,1,1.0
2010-6,E01000298,A54,2,2,1.0
2010-6,E01000299,A60,1,1,1.0
2010-6,E01000299,A81,1,1,1.0
2010-6,E01000300,A57,1,1,1.0
2010-6,E01000301,A57,1,1,1.0
2010-6,E01000303,A73,1,1,1.0
2010-6,E01000307,A57,1,1,1.0
2010-6,E01000309,A57,1,1,1.0
2010-6,E01000311,A57,2,1,2.0
2010-6,E01000316,A60,1,1,1.0
2010-6,E01000319,A41,1,1,1.0
2010-6,E01000323,A60,1,1,1.0
2010-6,E01011284,A33,1,1,1.0
2010-6,E01011284,A54,2,1,2.0
2010-6,E01011442,A73,1,1,1.0
2010-6,E01011481,A41,1,1,1.0
2010-6,E01033005,A73,1,1,1.0
2010-6,S01008797,A79,1,1,1.0
2010-6,W01001694,A73,1,1,1.0
2010-6,W01001766,A60,1,1,1.0
2010-6,W01001789,A81,1,1,1.0
2010-6,W01001834,A73,1,1,1.0
2010-6,W01001889,A56,1,1,1.0
2010-6,W01001946,A54,1,1,1.0
