lsoa,SHEF_A_CODE,reports,unique_users,average_per_user
E01000251,A1,1,1,1.0
E01000217,A24,1,1,1.0
E01000178,A28,1,1,1.0
E01000158,A29,1,1,1.0
E01000312,A29,1,1,1.0
E01000157,A33,1,1,1.0
E01011443,A33,1,1,1.0
E01011481,A33,1,1,1.0
S01008666,A33,1,1,1.0
E01000122,A41,1,1,1.0
E01000124,A41,1,1,1.0
E01000169,A41,1,1,1.0
E01000198,A41,1,1,1.0
E01000210,A41,1,1,1.0
E01000242,A41,1,1,1.0
E01000248,A41,1,1,1.0
E01000254,A41,1,1,1.0
E01000259,A41,1,1,1.0
E01000261,A41,2,2,1.0
E01000280,A41,1,1,1.0
E01000302,A41,1,1,1.0
E01000311,A41,1,1,1.0
W01001708,A41,1,1,1.0
W01001853,A41,1,1,1.0
E01000222,A53,1,1,1.0
E01000254,A53,1,1,1.0
E01011685,A53,1,1,1.0
E01000115,A54,1,1,1.0
E01000119,A54,1,1,1.0
E01000123,A54,1,1,1.0
E01000162,A54,1,1,1.0
E01000203,A54,2,2,1.0
E01000208,A54,1,1,1.0
E01000217,A54,1,1,1.0
E01000230,A54,1,1,1.0
E01000237,A54,1,1,1.0
E01000244,A54,1,1,1.0
E01000263,A54,1,1,1.0
E01000267,A54,1,1,1.0
E01000268,A54,1,1,1.0
E01000309,A54,1,1,1.0
E01011324,A54,1,1,1.0
S01008443,A54,1,1,1.0
W01001759,A54,1,1,1.0
E01000143,A56,1,1,1.0
E01000231,A56,1,1,1.0
E01000282,A56,1,1,1.0
E01000294,A56,1,1,1.0
W01001941,A56,1,1,1.0
E01000117,A57,1,1,1.0
E01000123,A57,1,1,1.0
E01000126,A57,1,1,1.0
E01000137,A57,2,2,1.0
E01000139,A57,1,1,1.0
E01000158,A57,1,1,1.0
E01000191,A57,1,1,1.0
E01000206,A57,1,1,1.0
E01000209,A57,1,1,1.0
E01000217,A57,1,1,1.0
E01000223,A57,1,1,1.0
E01000228,A57,1,1,1.0
E01000230,A57,1,1,1.0
E01000248,A57,2,1,2.0
E01000249,A57,1,1,1.0
E01000255,A57,1,1,1.0
E01000270,A57,1,1,1.0
E01000273,A57,1,1,1.0
E01000288,A57,1,1,1.0
E01000292,A57,1,1,1.0
E01000296,A57,1,1,1.0
E01000314,A57,1,1,1.0
E01000318,A57,1,1,1.0
E01000320,A57,1,1,1.0
E01011316,A57,1,1,1.0
E01033572,A57,1,1,1.0
S01008603,A57,1,1,1.0
W01001776,A57,1,1,1.0
E01000129,A60,1,1,1.0
E01000132,A60,1,1,1.0
E01000135,A60,1,1,1.0
E01000140,A60,1,1,1.0
E01000146,A60,1,1,1.0
E01000147,A60,1,1,1.0
E01000154,A60,1,1,1.0
E01000164,A60,1,1,1.0
E01000168,A60,1,1,1.0
E01000169,A60,1,1,1.0
E01000177,A60,1,1,1.0
E01000190,A60,1,1,1.0
E01000192,A60,1,1,1.0
E01000194,A60,1,1,1.0
E01000206,A60,1,1,1.0
E01000209,A60,2,2,1.0
E01000210,A60,2,2,1.0
E01000212,A60,1,1,1.0
E01000214,A60,1,1,1.0
E01000217,A60,1,1,1.0
E01000218,A60,1,1,1.0
E01000223,A60,1,1,1.0
E01000228,A60,2,2,1.0
E01000236,A60,1,1,1.0
E01000237,A60,1,1,1.0
E01000240,A60,1,1,1.0
E01000245,A60,1,1,1.0
E01000246,A60,4,4,1.0
E01000248,A60,1,1,1.0
E01000249,A60,1,1,1.0
E01000253,A60,3,3,1.0
E01000254,A60,1,1,1.0
E01000258,A60,1,1,1.0
E01000260,A60,1,1,1.0
E01000261,A60,1,1,1.0
E01000267,A60,1,1,1.0
E01000268,A60,1,1,1.0
E01000269,A60,3,1,3.0
E01000275,A60,1,1,1.0
E01000277,A60,2,2,1.0
E01000282,A60,2,2,1.0
E01000285,A60,1,1,1.0
E01000288,A60,1,1,1.0
E01000298,A60,1,1,1.0
E01000301,A60,1,1,1.0
E01000307,A60,5,3,1.6666666666666667
E01000309,A60,1,1,1.0
E01000310,A60,1,1,1.0
E01000314,A60,1,1,1.0
E01000316,A60,1,1,1.0
E01011324,A60,1,1,1.0
E01011443,A60,1,1,1.0
E01011460,A60,1,1,1.0
E01011478,A60,1,1,1.0
E01011481,A60,1,1,1.0
E01011686,A60,1,1,1.0
E01011693,A60,1,1,1.0
E01032876,A60,1,1,1.0
E01032945,A60,1,1,1.0
E01033572,A60,1,1,1.0
W01001710,A60,1,1,1.0
W01001721,A60,1,1,1.0
W01001756,A60,1,1,1.0
W01001848,A60,1,1,1.0
W01001860,A60,1,1,1.0
W01001873,A60,1,1,1.0
E01000217,A73,1,1,1.0
E01000248,A73,1,1,1.0
E01000319,A73,1,1,1.0
E01011299,A73,1,1,1.0
E01011313,A73,1,1,1.0
E01011326,A73,1,1,1.0
E01011335,A73,1,1,1.0
E01011341,A73,1,1,1.0
E01011347,A73,1,1,1.0
E01011353,A73,1,1,1.0
E01011451,A73,1,1,1.0
E01011641,A73,1,1,1.0
E01011693,A73,1,1,1.0
E01011722,A73,2,2,1.0
E01011736,A73,1,1,1.0
E01032492,A73,1,1,1.0
E01033006,A73,1,1,1.0
W01001861,A73,1,1,1.0
E01000188,A79,1,1,1.0
E01000217,A79,1,1,1.0
E01000233,A79,1,1,1.0
E01000237,A79,1,1,1.0
S01008833,A79,1,1,1.0
E01000128,A81,1,1,1.0
E01000139,A81,1,1,1.0
E01000141,A81,1,1,1.0
E01000155,A81,1,1,1.0
E01000166,A81,1,1,1.0
E01000179,A81,1,1,1.0
E01000190,A81,1,1,1.0
E01000191,A81,1,1,1.0
E01000192,A81,1,1,1.0
E01000193,A81,1,1,1.0
E01000195,A81,1,1,1.0
E01000199,A81,1,1,1.0
E01000213,A81,1,1,1.0
E01000223,A81,1,1,1.0
E01000229,A81,1,1,1.0
E01000232,A81,1,1,1.0
E01000240,A81,1,1,1.0
E01000243,A81,1,1,1.0
E01000271,A81,1,1,1.0
E01000285,A81,1,1,1.0
E01000310,A81,2,2,1.0
E01000311,A81,1,1,1.0
E01000314,A81,2,1,2.0
E01000201,A82,1,1,1.0
E01000171,A83,1,1,1.0
E01000250,A86,1,1,1.0
E01000261,A86,1,1,1.0
W01001773,A86,1,1,1.0
