lsoa,SHEF_A_CODE,reports,unique_users,average_per_user
E01000119,A1,2,2,1.0
E01000120,A1,1,1,1.0
E01000121,A1,2,2,1.0
E01000123,A1,1,1,1.0
E01000124,A1,1,1,1.0
E01000125,A1,1,1,1.0
E01000128,A1,1,1,1.0
E01000131,A1,1,1,1.0
E01000133,A1,1,1,1.0
E01000134,A1,1,1,1.0
E01000137,A1,1,1,1.0
E01000138,A1,1,1,1.0
E01000140,A1,1,1,1.0
E01000141,A1,1,1,1.0
E01000142,A1,3,2,1.5
E01000152,A1,1,1,1.0
E01000158,A1,1,1,1.0
E01000159,A1,1,1,1.0
E01000161,A1,3,3,1.0
E01000165,A1,2,2,1.0
E01000167,A1,3,2,1.5
E01000169,A1,1,1,1.0
E01000171,A1,1,1,1.0
E01000177,A1,1,1,1.0
E01000179,A1,1,1,1.0
E01000180,A1,1,1,1.0
E01000183,A1,4,3,1.3333333333333333
E01000189,A1,1,1,1.0
E01000190,A1,3,3,1.0
E01000194,A1,1,1,1.0
E01000200,A1,1,1,1.0
E01000206,A1,1,1,1.0
E01000207,A1,1,1,1.0
E01000208,A1,1,1,1.0
E01000209,A1,3,3,1.0
E01000210,A1,2,2,1.0
E01000212,A1,2,2,1.0
E01000213,A1,1,1,1.0
E01000214,A1,2,2,1.0
E01000215,A1,1,1,1.0
E01000217,A1,1,1,1.0
E01000219,A1,3,2,1.5
E01000221,A1,1,1,1.0
E01000223,A1,3,2,1.5
E01000224,A1,1,1,1.0
E01000225,A1,1,1,1.0
E01000230,A1,1,1,1.0
E01000232,A1,1,1,1.0
E01000238,A1,1,1,1.0
E01000239,A1,1,1,1.0
E01000245,A1,1,1,1.0
E01000246,A1,1,1,1.0
E01000247,A1,2,2,1.0
E01000249,A1,1,1,1.0
E01000250,A1,1,1,1.0
E01000251,A1,3,3,1.0
E01000252,A1,1,1,1.0
E01000255,A1,1,1,1.0
E01000256,A1,1,1,1.0
E01000257,A1,1,1,1.0
E01000258,A1,1,1,1.0
E01000259,A1,1,1,1.0
E01000260,A1,1,1,1.0
E01000261,A1,1,1,1.0
E01000262,A1,1,1,1.0
E01000266,A1,1,1,1.0
E01000267,A1,1,1,1.0
E01000268,A1,2,2,1.0
E01000272,A1,2,2,1.0
E01000273,A1,3,3,1.0
E01000274,A1,1,1,1.0
E01000286,A1,2,2,1.0
E01000288,A1,1,1,1.0
E01000294,A1,2,2,1.0
E01000295,A1,1,1,1.0
E01000297,A1,1,1,1.0
E01000301,A1,2,2,1.0
E01000303,A1,2,1,2.0
E01000304,A1,3,2,1.5
E01000305,A1,1,1,1.0
E01000307,A1,1,1,1.0
E01000311,A1,1,1,1.0
E01000313,A1,2,2,1.0
E01000316,A1,3,2,1.5
E01000322,A1,1,1,1.0
E01000324,A1,2,1,2.0
E01000646,A1,1,1,1.0
E01000647,A1,3,3,1.0
E01000649,A1,2,2,1.0
E01000650,A1,3,3,1.0
E01000651,A1,2,2,1.0
E01000652,A1,1,1,1.0
E01000653,A1,1,1,1.0
E01000654,A1,4,4,1.0
E01000655,A1,3,3,1.0
E01000656,A1,1,1,1.0
E01000659,A1,1,1,1.0
E01000662,A1,1,1,1.0
E01000663,A1,1,1,1.0
E01000664,A1,2,2,1.0
E01000665,A1,2,2,1.0
E01000666,A1,3,3,1.0
E01000667,A1,2,2,1.0
E01000668,A1,1,1,1.0
E01000669,A1,5,4,1.25
E01000670,A1,1,1,1.0
E01000672,A1,1,1,1.0
E01000674,A1,2,2,1.0
E01000675,A1,1,1,1.0
E01000676,A1,1,1,1.0
E01000677,A1,3,2,1.5
E01000678,A1,2,2,1.0
E01000679,A1,1,1,1.0
E01000680,A1,2,2,1.0
E01000681,A1,1,1,1.0
E01000684,A1,1,1,1.0
E01000686,A1,3,3,1.0
E01000687,A1,1,1,1.0
E01000688,A1,1,1,1.0
E01000689,A1,1,1,1.0
E01000691,A1,2,2,1.0
E01000693,A1,3,3,1.0
E01000694,A1,3,2,1.5
E01000695,A1,2,2,1.0
E01000697,A1,5,5,1.0
E01000698,A1,1,1,1.0
E01000700,A1,3,2,1.5
E01000701,A1,2,2,1.0
E01000702,A1,1,1,1.0
E01000703,A1,1,1,1.0
E01000704,A1,1,1,1.0
E01000705,A1,2,2,1.0
E01000708,A1,8,4,2.0
E01000709,A1,1,1,1.0
E01000711,A1,1,1,1.0
E01000712,A1,2,2,1.0
E01000713,A1,4,4,1.0
E01000714,A1,3,3,1.0
E01000717,A1,2,2,1.0
E01000718,A1,2,2,1.0
E01000719,A1,1,1,1.0
E01000720,A1,1,1,1.0
E01000721,A1,1,1,1.0
E01000722,A1,1,1,1.0
