period,LSOA,SHEF_A,report_count,user_count,average
2014,E01000115,Accumulated Litter,3,2,1.5
2014,E01000115,Fly-tipping,3,2,1.5
2014,E01000115,General Highways Enquiries,2,2,1.0
2014,E01000115,Gritting,1,1,1.0
2014,E01000115,Pavement /Footway Defects,7,7,1.0
2014,E01000115,Potholes,2,1,2.0
2014,E01000115,Roadworks,1,1,1.0
2014,E01000115,Street Lights,3,3,1.0
2014,E01000115,Street Signs,1,1,1.0
2014,E01000116,Abandoned Vehicles,1,1,1.0
2014,E01000116,Accumulated Litter,3,3,1.0
2014,E01000116,Blocked Drains,2,2,1.0
2014,E01000116,Dog Fouling,2,2,1.0
2014,E01000116,Fly-tipping,4,4,1.0
2014,E01000116,General Highways Enquiries,5,5,1.0
2014,E01000116,Manhole Covers,2,2,1.0
2014,E01000116,Overgrown Vegetation,1,1,1.0
2014,E01000116,Pavement /Footway Defects,6,6,1.0
2014,E01000116,Potholes,6,5,1.2
2014,E01000116,Street Lights,16,9,1.7777777777777777
2014,E01000117,Abandoned Vehicles,1,1,1.0
2014,E01000117,Accumulated Litter,1,1,1.0
2014,E01000117,Fly-tipping,10,4,2.5
2014,E01000117,General Highways Enquiries,4,4,1.0
2014,E01000117,Graffiti,2,2,1.0
2014,E01000117,Overgrown Vegetation,2,2,1.0
2014,E01000117,Pavement /Footway Defects,8,7,1.1428571428571428
2014,E01000117,Potholes,2,2,1.0
2014,E01000117,Street Lights,3,3,1.0
2014,E01000117,Street Signs,1,1,1.0
2014,E01000118,Abandoned Vehicles,3,3,1.0
2014,E01000118,Accumulated Litter,2,2,1.0
2014,E01000118,Dog Fouling,2,1,2.0
2014,E01000118,Fly-tipping,3,3,1.0
2014,E01000118,General Highways Enquiries,4,4,1.0
2014,E01000118,Graffiti,1,1,1.0
2014,E01000118,Pavement /Footway Defects,3,3,1.0
2014,E01000118,Potholes,3,3,1.0
2014,E01000118,Roadworks,1,1,1.0
2014,E01000118,Street Lights,2,2,1.0
2014,E01000118,Street Signs,1,1,1.0
2014,E01000119,Accumulated Litter,2,2,1.0
2014,E01000119,Blocked Drains,1,1,1.0
2014,E01000119,Fly-tipping,2,2,1.0
2014,E01000119,General Highways Enquiries,4,4,1.0
2014,E01000119,Pavement /Footway Defects,5,5,1.0
