period,LSOA,SHEF_A_CODE,report_count,user_count,average
2015,E01000115,A1,1,1,1.0
2015,E01000115,A29,1,1,1.0
2015,E01000115,A57,2,2,1.0
2015,E01000115,A60,5,1,5.0
2015,E01000115,A81,1,1,1.0
2015,E01000116,A1,1,1,1.0
2015,E01000116,A2,1,1,1.0
2015,E01000116,A21,1,1,1.0
2015,E01000116,A29,2,2,1.0
2015,E01000116,A32,1,1,1.0
2015,E01000116,A57,2,2,1.0
2015,E01000116,A81,3,2,1.5
2015,E01000117,A1,1,1,1.0
2015,E01000117,A2,1,1,1.0
2015,E01000117,A20,1,1,1.0
2015,E01000117,A29,2,2,1.0
2015,E01000117,A32,1,1,1.0
2015,E01000117,A33,1,1,1.0
2015,E01000117,A81,1,1,1.0
2015,E01000118,A29,2,2,1.0
2015,E01000118,A32,1,1,1.0
2015,E01000118,A55,1,1,1.0
2015,E01000118,A57,2,2,1.0
2015,E01000118,A60,2,2,1.0
2015,E01000118,A81,1,1,1.0
2015,E01000119,A1,1,1,1.0
2015,E01000119,A32,3,3,1.0
2015,E01000119,A55,1,1,1.0
2015,E01000119,A57,2,2,1.0
2015,E01000119,A60,3,3,1.0
2015,E01000119,A72,1,1,1.0
2015,E01000119,A8,1,1,1.0
2015,E01000120,A60,2,2,1.0
2015,E01000120,A83,1,1,1.0
2015,E01000121,A32,1,1,1.0
2015,E01000121,A57,1,1,1.0
2015,E01000121,A81,2,2,1.0
2015,E01000122,A29,1,1,1.0
2015,E01000122,A32,3,3,1.0
2015,E01000122,A57,1,1,1.0
2015,E01000122,A60,3,2,1.5
2015,E01000122,A81,1,1,1.0
2015,E01000123,A1,6,3,2.0
2015,E01000123,A2,2,1,2.0
2015,E01000123,A29,1,1,1.0
2015,E01000123,A48,1,1,1.0
2015,E01000123,A8,1,1,1.0
2015,E01000124,A2,3,3,1.0
2015,E01000124,A29,4,4,1.0
2015,E01000124,A47,1,1,1.0
2015,E01000124,A57,1,1,1.0
2015,E01000124,A60,1,1,1.0
2015,E01000125,A1,2,2,1.0
2015,E01000125,A29,6,4,1.5
2015,E01000125,A32,1,1,1.0
2015,E01000125,A33,1,1,1.0
2015,E01000125,A60,3,2,1.5
2015,E01000125,A81,4,3,1.3333333333333333
2015,E01000126,A2,1,1,1.0
2015,E01000126,A20,1,1,1.0
2015,E01000126,A29,2,2,1.0
2015,E01000126,A32,1,1,1.0
2015,E01000126,A33,1,1,1.0
2015,E01000127,A2,1,1,1.0
2015,E01000127,A32,1,1,1.0
2015,E01000127,A60,1,1,1.0
2015,E01000128,A1,1,1,1.0
2015,E01000128,A2,2,2,1.0
2015,E01000128,A29,3,2,1.5
2015,E01000128,A32,1,1,1.0
2015,E01000128,A57,3,2,1.5
2015,E01000128,A60,1,1,1.0
2015,E01000128,A83,1,1,1.0
2015,E01000129,A2,2,2,1.0
2015,E01000129,A21,1,1,1.0
2015,E01000129,A28,1,1,1.0
2015,E01000129,A29,2,2,1.0
