period,LSOA,SHEF_B,report_count,user_count,average
2010,E01000115,Pavement /Footway Defects,2,2,1.0
2010,E01000115,Road Surface Defects,1,1,1.0
2010,E01000116,Pavement /Footway Defects,3,3,1.0
2010,E01000116,Road Surface Defects,3,3,1.0
2010,E01000116,Street Lights,1,1,1.0
2010,E01000117,Highways Enquiries,3,1,3.0
2010,E01000117,Overgrown/Fallen Veg/Trees,1,1,1.0
2010,E01000117,Road Surface Defects,2,2,1.0
2010,E01000117,Street Lights,2,2,1.0
2010,E01000118,Dog Fouling,1,1,1.0
2010,E01000118,Open Spaces/Parks,1,1,1.0
2010,E01000118,Overgrown/Fallen Veg/Trees,1,1,1.0
2010,E01000118,Parking,2,1,2.0
2010,E01000118,Pavement /Footway Defects,3,3,1.0
2010,E01000118,Road Surface Defects,1,1,1.0
2010,E01000118,Street Lights,1,1,1.0
2010,E01000119,Highways Enquiries,1,1,1.0
2010,E01000119,Pavement /Footway Defects,1,1,1.0
2010,E01000119,Road Surface Defects,1,1,1.0
2010,E01000119,Street Lights,2,2,1.0
2010,E01000120,Highways Enquiries,2,2,1.0
2010,E01000120,Other,2,2,1.0
2010,E01000120,Parking,1,1,1.0
2010,E01000120,Pavement /Footway Defects,2,2,1.0
2010,E01000120,Road Surface Defects,9,8,1.125
2010,E01000121,Abandoned Vehicles,1,1,1.0
2010,E01000121,Pavement /Footway Defects,1,1,1.0
2010,E01000122,Pavement /Footway Defects,1,1,1.0
2010,E01000122,Road Surface Defects,2,2,1.0
2010,E01000123,Highways Enquiries,2,2,1.0
2010,E01000123,Other,1,1,1.0
2010,E01000123,Pavement /Footway Defects,2,1,2.0
2010,E01000123,Road Surface Defects,5,4,1.25
2010,E01000123,Street Lights,1,1,1.0
2010,E01000124,Highways Enquiries,1,1,1.0
2010,E01000124,Other,1,1,1.0
2010,E01000124,Pavement /Footway Defects,2,2,1.0
2010,E01000124,Street Lights,1,1,1.0
2010,E01000125,Abandoned Vehicles,1,1,1.0
2010,E01000125,Dog Fouling,1,1,1.0
2010,E01000125,Parking,1,1,1.0
2010,E01000125,Road Safety,1,1,1.0
2010,E01000125,Road Surface Defects,3,3,1.0
2010,E01000125,Street Lights,2,2,1.0
2010,E01000126,Other,1,1,1.0
2010,E01000126,Road Surface Defects,3,3,1.0
2010,E01000127,Other,1,1,1.0
2010,E01000127,Pavement /Footway Defects,1,1,1.0
2010,E01000127,Road Surface Defects,1,1,1.0
2010,E01000128,Parking,1,1,1.0
2010,E01000128,Pavement /Footway Defects,2,2,1.0
2010,E01000128,Rubbish,1,1,1.0
2010,E01000128,Street Furniture,1,1,1.0
2010,E01000128,Street Lights,2,2,1.0
2010,E01000129,Highways Enquiries,1,1,1.0
2010,E01000129,Other,1,1,1.0
2010,E01000129,Road Surface Defects,8,8,1.0
2010,E01000130,Pavement /Footway Defects,1,1,1.0
2010,E01000130,Road Surface Defects,2,2,1.0
2010,E01000130,Rubbish,1,1,1.0
2010,E01000131,Dog Fouling,1,1,1.0
2010,E01000131,Pavement /Footway Defects,1,1,1.0
2010,E01000131,Road Safety,1,1,1.0
2010,E01000131,Road Surface Defects,1,1,1.0
2010,E01000131,Street Lights,2,2,1.0
2010,E01000132,Road Surface Defects,1,1,1.0
2010,E01000134,Other,2,1,2.0
2010,E01000134,Pavement /Footway Defects,1,1,1.0
2010,E01000134,Road Surface Defects,4,4,1.0
2010,E01000135,Highways Enquiries,1,1,1.0
2010,E01000135,Other,2,2,1.0
2010,E01000135,Parking,2,2,1.0
2010,E01000135,Pavement /Footway Defects,1,1,1.0
2010,E01000135,Road Safety,1,1,1.0
2010,E01000135,Road Surface Defects,7,7,1.0
2010,E01000136,Highways Enquiries,1,1,1.0
2010,E01000136,Other,3,3,1.0
2010,E01000136,Pavement /Footway Defects,3,3,1.0
2010,E01000136,Road Surface Defects,3,3,1.0
2010,E01000136,Rubbish,2,1,2.0
2010,E01000136,Street Furniture,1,1,1.0
