period,LSOA,SHEF_B_CODE,report_count,user_count,average
2011-8,E01000117,B25,1,1,1.0
2011-8,E01000118,B25,1,1,1.0
2011-8,E01000119,B25,1,1,1.0
2011-8,E01000126,B25,1,1,1.0
2011-8,E01000126,B26,2,1,2.0
2011-8,E01000135,B25,2,2,1.0
2011-8,E01000139,B25,1,1,1.0
2011-8,E01000147,B25,1,1,1.0
2011-8,E01000153,B17,1,1,1.0
2011-8,E01000162,B7,1,1,1.0
2011-8,E01000167,B26,1,1,1.0
2011-8,E01000170,B25,1,1,1.0
2011-8,E01000171,B25,1,1,1.0
2011-8,E01000178,B27,1,1,1.0
2011-8,E01000180,B25,1,1,1.0
2011-8,E01000181,B25,1,1,1.0
2011-8,E01000191,B17,1,1,1.0
2011-8,E01000191,B25,2,2,1.0
2011-8,E01000193,B25,1,1,1.0
2011-8,E01000194,B25,1,1,1.0
2011-8,E01000196,B25,1,1,1.0
2011-8,E01000197,B28,1,1,1.0
2011-8,E01000198,B25,1,1,1.0
2011-8,E01000199,B17,1,1,1.0
2011-8,E01000199,B25,1,1,1.0
2011-8,E01000203,B25,1,1,1.0
2011-8,E01000205,B1,1,1,1.0
2011-8,E01000205,B25,3,3,1.0
2011-8,E01000206,B25,1,1,1.0
2011-8,E01000207,B25,1,1,1.0
2011-8,E01000208,B25,1,1,1.0
2011-8,E01000208,B5,1,1,1.0
2011-8,E01000212,B25,1,1,1.0
2011-8,E01000213,B25,1,1,1.0
2011-8,E01000215,B28,1,1,1.0
2011-8,E01000226,B27,1,1,1.0
2011-8,E01000231,B25,1,1,1.0
2011-8,E01000234,B26,1,1,1.0
2011-8,E01000240,B25,1,1,1.0
2011-8,E01000241,B26,1,1,1.0
2011-8,E01000244,B26,1,1,1.0
2011-8,E01000247,B25,1,1,1.0
2011-8,E01000247,B28,1,1,1.0
2011-8,E01000248,B1,1,1,1.0
2011-8,E01000250,B26,1,1,1.0
2011-8,E01000252,B25,1,1,1.0
2011-8,E01000256,B25,1,1,1.0
2011-8,E01000257,B25,1,1,1.0
2011-8,E01000258,B25,1,1,1.0
2011-8,E01000261,B25,1,1,1.0
2011-8,E01000262,B18,1,1,1.0
2011-8,E01000262,B25,2,2,1.0
2011-8,E01000262,B28,1,1,1.0
2011-8,E01000263,B25,1,1,1.0
2011-8,E01000265,B25,2,1,2.0
2011-8,E01000270,B24,1,1,1.0
2011-8,E01000271,B25,1,1,1.0
2011-8,E01000272,B14,1,1,1.0
2011-8,E01000273,B24,1,1,1.0
2011-8,E01000273,B25,2,1,2.0
2011-8,E01000274,B18,1,1,1.0
2011-8,E01000277,B25,1,1,1.0
2011-8,E01000280,B14,1,1,1.0
2011-8,E01000280,B17,1,1,1.0
2011-8,E01000280,B25,1,1,1.0
2011-8,E01000282,B14,1,1,1.0
2011-8,E01000292,B14,1,1,1.0
2011-8,E01000292,B28,1,1,1.0
2011-8,E01000294,B24,1,1,1.0
2011-8,E01000296,B25,1,1,1.0
2011-8,E01000298,B25,2,2,1.0
2011-8,E01000298,B28,1,1,1.0
2011-8,E01000298,B7,1,1,1.0
2011-8,E01000303,B18,1,1,1.0
2011-8,E01000307,B7,1,1,1.0
2011-8,E01000311,B25,1,1,1.0
2011-8,E01000316,B25,1,1,1.0
2011-8,E01000318,B1,1,1,1.0
2011-8,E01000318,B28,1,1,1.0
2011-8,E01000322,B25,1,1,1.0
2011-8,E01000323,B25,1,1,1.0
2011-8,E01000323,B26,1,1,1.0
2011-8,E01017140,B19,1,1,1.0
2011-8,E01017153,B26,1,1,1.0
2011-8,E01017154,B25,1,1,1.0
2011-8,E01017155,B19,1,1,1.0
2011-8,E01017157,B25,1,1,1.0
2011-8,E01017163,B17,1,1,1.0
2011-8,E01017163,B26,1,1,1.0
2011-8,E01017175,B26,1,1,1.0
2011-8,E01017183,B17,1,1,1.0
2011-8,E01017189,B13,1,1,1.0
2011-8,E01017195,B26,1,1,1.0
2011-8,E01017197,B13,1,1,1.0
2011-8,E01017203,B19,1,1,1.0
2011-8,E01017204,B16,1,1,1.0
2011-8,E01017208,B13,1,1,1.0
2011-8,E01017214,B25,1,1,1.0
2011-8,E01017216,B26,1,1,1.0
2011-8,E01017220,B26,1,1,1.0
2011-8,E01017221,B19,1,1,1.0
2011-8,E01017222,B27,1,1,1.0
2011-8,E01017234,B1,1,1,1.0
2011-8,E01017238,B25,1,1,1.0
2011-8,E01017239,B26,1,1,1.0
2011-8,E01017241,B26,1,1,1.0
2011-8,E01017242,B25,1,1,1.0
2011-8,E01017243,B1,1,1,1.0
2011-8,E01017244,B13,1,1,1.0
2011-8,E01017247,B1,1,1,1.0
2011-8,E01017248,B26,1,1,1.0
2011-8,E01017252,B14,1,1,1.0
2011-8,E01017252,B26,1,1,1.0
2011-8,E01017254,B1,1,1,1.0
2011-8,E01017254,B16,1,1,1.0
2011-8,E01017256,B1,1,1,1.0
2011-8,E01017256,B13,1,1,1.0
2011-8,E01017257,B25,1,1,1.0
2011-8,E01017265,B17,1,1,1.0
2011-8,E01017265,B26,1,1,1.0
2011-8,E01017266,B27,1,1,1.0
2011-8,E01017267,B13,1,1,1.0
2011-8,E01017278,B13,1,1,1.0
2011-8,E01017279,B25,1,1,1.0
2011-8,E01032745,B26,1,1,1.0
2011-8,E01032748,B6,1,1,1.0
2011-8,E01032753,B13,1,1,1.0
