lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01000121,B1,2,2,1.0
E01000123,B1,1,1,1.0
E01000152,B1,1,1,1.0
E01000161,B1,1,1,1.0
E01000165,B1,1,1,1.0
E01000183,B1,1,1,1.0
E01000194,B1,1,1,1.0
E01000209,B1,2,2,1.0
E01000210,B1,2,2,1.0
E01000214,B1,2,2,1.0
E01000215,B1,1,1,1.0
E01000230,B1,1,1,1.0
E01000245,B1,1,1,1.0
E01000249,B1,1,1,1.0
E01000266,B1,1,1,1.0
E01000286,B1,1,1,1.0
E01000295,B1,1,1,1.0
E01000311,B1,1,1,1.0
E01000313,B1,1,1,1.0
E01000649,B1,1,1,1.0
E01000654,B1,1,1,1.0
E01000655,B1,2,2,1.0
E01000659,B1,1,1,1.0
E01000663,B1,1,1,1.0
E01000666,B1,1,1,1.0
E01000667,B1,2,2,1.0
E01000680,B1,1,1,1.0
E01000686,B1,1,1,1.0
E01000693,B1,1,1,1.0
E01000695,B1,1,1,1.0
E01000718,B1,1,1,1.0
E01000723,B1,1,1,1.0
E01000724,B1,1,1,1.0
E01000727,B1,1,1,1.0
E01000729,B1,1,1,1.0
E01000736,B1,1,1,1.0
E01000743,B1,1,1,1.0
E01000749,B1,1,1,1.0
E01000751,B1,1,1,1.0
E01000757,B1,1,1,1.0
E01000770,B1,1,1,1.0
E01000771,B1,1,1,1.0
E01000772,B1,1,1,1.0
E01000774,B1,1,1,1.0
E01000783,B1,1,1,1.0
E01000794,B1,1,1,1.0
E01000806,B1,1,1,1.0
E01000807,B1,2,1,2.0
E01000816,B1,1,1,1.0
E01000827,B1,1,1,1.0
E01000841,B1,1,1,1.0
E01032563,B1,1,1,1.0
E01032568,B1,1,1,1.0
E01000216,B12,1,1,1.0
E01000283,B12,1,1,1.0
E01000117,B13,1,1,1.0
E01000119,B13,1,1,1.0
E01000123,B13,1,1,1.0
E01000142,B13,1,1,1.0
E01000144,B13,1,1,1.0
E01000153,B13,1,1,1.0
E01000214,B13,1,1,1.0
E01000222,B13,2,2,1.0
E01000228,B13,1,1,1.0
E01000235,B13,1,1,1.0
E01000237,B13,1,1,1.0
E01000246,B13,1,1,1.0
E01000262,B13,1,1,1.0
E01000267,B13,1,1,1.0
E01000271,B13,2,2,1.0
E01000284,B13,1,1,1.0
E01000286,B13,1,1,1.0
E01000293,B13,1,1,1.0
E01000294,B13,2,2,1.0
E01000298,B13,1,1,1.0
E01000310,B13,1,1,1.0
E01000314,B13,1,1,1.0
E01017140,B13,2,1,2.0
E01017145,B13,1,1,1.0
E01017152,B13,1,1,1.0
E01017164,B13,1,1,1.0
E01017166,B13,1,1,1.0
E01017167,B13,1,1,1.0
E01017175,B13,1,1,1.0
E01017213,B13,1,1,1.0
E01017234,B13,1,1,1.0
E01017249,B13,1,1,1.0
E01017250,B13,1,1,1.0
E01029498,B13,1,1,1.0
E01029524,B13,1,1,1.0
E01032745,B13,1,1,1.0
E01000127,B14,1,1,1.0
E01000135,B14,1,1,1.0
E01000138,B14,3,1,3.0
E01000139,B14,6,1,6.0
E01000145,B14,1,1,1.0
E01000161,B14,1,1,1.0
E01000194,B14,2,1,2.0
E01000219,B14,1,1,1.0
E01000221,B14,2,1,2.0
E01000237,B14,6,1,6.0
E01000263,B14,1,1,1.0
E01000277,B14,1,1,1.0
E01000296,B14,1,1,1.0
E01000305,B14,2,1,2.0
E01000306,B14,1,1,1.0
E01000307,B14,2,1,2.0
E01000310,B14,2,1,2.0
E01000314,B14,1,1,1.0
E01000319,B14,2,1,2.0
E01000655,B14,2,2,1.0
E01000659,B14,1,1,1.0
E01000664,B14,1,1,1.0
E01000666,B14,1,1,1.0
E01000675,B14,1,1,1.0
E01000679,B14,1,1,1.0
E01000682,B14,1,1,1.0
E01000703,B14,1,1,1.0
E01000707,B14,2,2,1.0
E01000719,B14,1,1,1.0
