period,LSOA,SHEF_B_CODE,report_count,user_count,average
2014,E01000115,B11,1,1,1.0
2014,E01000115,B12,1,1,1.0
2014,E01000115,B13,2,2,1.0
2014,E01000115,B19,7,7,1.0
2014,E01000115,B24,1,1,1.0
2014,E01000115,B25,2,1,2.0
2014,E01000115,B26,6,4,1.5
2014,E01000115,B28,3,3,1.0
2014,E01000116,B1,1,1,1.0
2014,E01000116,B13,5,5,1.0
2014,E01000116,B17,1,1,1.0
2014,E01000116,B19,6,6,1.0
2014,E01000116,B25,6,5,1.2
2014,E01000116,B26,7,7,1.0
2014,E01000116,B28,16,9,1.7777777777777777
2014,E01000116,B6,2,2,1.0
2014,E01000116,B7,4,4,1.0
2014,E01000117,B1,1,1,1.0
2014,E01000117,B13,4,4,1.0
2014,E01000117,B14,2,2,1.0
2014,E01000117,B17,2,2,1.0
2014,E01000117,B19,8,7,1.1428571428571428
2014,E01000117,B24,1,1,1.0
2014,E01000117,B25,2,2,1.0
2014,E01000117,B26,11,5,2.2
2014,E01000117,B28,3,3,1.0
2014,E01000118,B1,3,3,1.0
2014,E01000118,B12,1,1,1.0
2014,E01000118,B13,4,4,1.0
2014,E01000118,B14,1,1,1.0
2014,E01000118,B19,3,3,1.0
2014,E01000118,B24,1,1,1.0
2014,E01000118,B25,3,3,1.0
2014,E01000118,B26,5,5,1.0
2014,E01000118,B28,2,2,1.0
2014,E01000118,B6,2,1,2.0
2014,E01000119,B12,1,1,1.0
2014,E01000119,B13,4,4,1.0
2014,E01000119,B19,5,5,1.0
2014,E01000119,B26,4,4,1.0
2014,E01000119,B28,2,2,1.0
2014,E01000119,B7,1,1,1.0
2014,E01000120,B13,2,2,1.0
2014,E01000120,B19,10,7,1.4285714285714286
2014,E01000120,B24,1,1,1.0
2014,E01000120,B25,4,4,1.0
2014,E01000120,B26,2,2,1.0
2014,E01000120,B28,1,1,1.0
2014,E01000121,B1,1,1,1.0
2014,E01000121,B13,6,6,1.0
2014,E01000121,B14,1,1,1.0
2014,E01000121,B17,2,1,2.0
2014,E01000121,B19,3,3,1.0
2014,E01000121,B25,1,1,1.0
2014,E01000121,B26,2,2,1.0
2014,E01000121,B28,1,1,1.0
2014,E01000121,B6,2,2,1.0
2014,E01000122,B1,2,2,1.0
2014,E01000122,B13,3,3,1.0
2014,E01000122,B17,1,1,1.0
2014,E01000122,B19,4,4,1.0
2014,E01000122,B2,2,1,2.0
2014,E01000122,B24,1,1,1.0
2014,E01000122,B26,4,4,1.0
2014,E01000122,B28,5,4,1.25
2014,E01000123,B1,3,3,1.0
2014,E01000123,B12,1,1,1.0
2014,E01000123,B13,4,4,1.0
2014,E01000123,B14,1,1,1.0
2014,E01000123,B17,8,6,1.3333333333333333
2014,E01000123,B19,4,4,1.0
2014,E01000123,B25,4,3,1.3333333333333333
