lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01000645,B1,4,4,1.0
E01000646,B1,6,6,1.0
E01000647,B1,10,8,1.25
E01000648,B1,6,6,1.0
E01000649,B1,13,12,1.0833333333333333
E01000650,B1,6,5,1.2
E01000651,B1,9,9,1.0
E01000652,B1,9,7,1.2857142857142858
E01000653,B1,5,5,1.0
E01000654,B1,12,8,1.5
E01000655,B1,10,10,1.0
E01000656,B1,9,7,1.2857142857142858
E01000657,B1,11,10,1.1
E01000658,B1,9,8,1.125
E01000659,B1,8,8,1.0
E01000661,B1,14,12,1.1666666666666667
E01000662,B1,3,3,1.0
E01000663,B1,3,3,1.0
E01000664,B1,2,2,1.0
E01000665,B1,8,8,1.0
E01000666,B1,7,6,1.1666666666666667
E01000667,B1,10,10,1.0
E01000668,B1,14,14,1.0
E01000669,B1,7,7,1.0
E01000670,B1,5,4,1.25
E01000671,B1,5,4,1.25
E01000672,B1,7,7,1.0
E01000673,B1,6,6,1.0
E01000674,B1,4,3,1.3333333333333333
E01000675,B1,5,5,1.0
E01000676,B1,6,6,1.0
E01000677,B1,6,6,1.0
E01000678,B1,8,8,1.0
E01000679,B1,2,2,1.0
E01000680,B1,16,12,1.3333333333333333
E01000681,B1,10,9,1.1111111111111112
E01000682,B1,7,7,1.0
E01000683,B1,7,7,1.0
E01000684,B1,1,1,1.0
E01000685,B1,4,4,1.0
E01000686,B1,3,3,1.0
E01000687,B1,13,11,1.1818181818181819
E01000688,B1,4,4,1.0
E01000689,B1,7,7,1.0
E01000690,B1,3,3,1.0
E01000691,B1,10,10,1.0
E01000692,B1,6,6,1.0
E01000693,B1,5,5,1.0
E01000694,B1,6,5,1.2
E01000695,B1,7,7,1.0
E01000696,B1,10,8,1.25
E01000697,B1,4,2,2.0
E01000698,B1,7,6,1.1666666666666667
E01000699,B1,6,6,1.0
E01000700,B1,4,4,1.0
E01000701,B1,4,4,1.0
E01000702,B1,3,3,1.0
E01000703,B1,7,7,1.0
E01000704,B1,15,15,1.0
E01000705,B1,5,5,1.0
E01000706,B1,16,10,1.6
E01000707,B1,5,4,1.25
E01000708,B1,8,6,1.3333333333333333
E01000709,B1,5,5,1.0
E01000710,B1,2,2,1.0
E01000711,B1,5,4,1.25
E01000712,B1,20,17,1.1764705882352942
E01000713,B1,14,13,1.0769230769230769
E01000714,B1,10,9,1.1111111111111112
E01000715,B1,13,13,1.0
E01000716,B1,6,6,1.0
E01000717,B1,3,3,1.0
E01000718,B1,13,11,1.1818181818181819
E01000719,B1,15,15,1.0
E01000720,B1,22,16,1.375
E01000721,B1,3,3,1.0
E01000722,B1,14,12,1.1666666666666667
E01000723,B1,6,5,1.2
E01000724,B1,8,7,1.1428571428571428
E01000725,B1,15,13,1.1538461538461537
E01000726,B1,10,9,1.1111111111111112
E01000727,B1,19,16,1.1875
E01000728,B1,6,6,1.0
E01000729,B1,4,4,1.0
E01000730,B1,8,8,1.0
E01000731,B1,4,3,1.3333333333333333
E01000732,B1,11,10,1.1
E01000733,B1,11,10,1.1
E01000734,B1,12,11,1.0909090909090908
E01000735,B1,4,4,1.0
E01000736,B1,5,4,1.25
E01000737,B1,6,6,1.0
E01000738,B1,15,11,1.3636363636363635
E01000739,B1,7,7,1.0
E01000740,B1,3,3,1.0
E01000741,B1,7,6,1.1666666666666667
E01000742,B1,8,8,1.0
E01000743,B1,10,10,1.0
E01000744,B1,13,9,1.4444444444444444
E01000745,B1,16,16,1.0
E01000746,B1,7,7,1.0
E01000747,B1,15,13,1.1538461538461537
E01000748,B1,4,4,1.0
E01000749,B1,8,7,1.1428571428571428
E01000750,B1,3,3,1.0
E01000751,B1,1,1,1.0
E01000752,B1,6,5,1.2
E01000753,B1,4,4,1.0
E01000754,B1,2,1,2.0
E01000755,B1,4,4,1.0
E01000756,B1,1,1,1.0
E01000757,B1,9,8,1.125
E01000758,B1,7,6,1.1666666666666667
E01000759,B1,8,8,1.0
E01000760,B1,4,4,1.0
E01000761,B1,4,3,1.3333333333333333
E01000762,B1,2,2,1.0
E01000763,B1,2,2,1.0
E01000764,B1,7,6,1.1666666666666667
E01000765,B1,7,7,1.0
E01000766,B1,4,4,1.0
E01000767,B1,8,8,1.0
E01000768,B1,2,2,1.0
E01000769,B1,1,1,1.0
E01000770,B1,12,12,1.0
E01000771,B1,7,6,1.1666666666666667
E01000772,B1,6,6,1.0
E01000773,B1,10,9,1.1111111111111112
E01000774,B1,9,8,1.125
E01000775,B1,10,10,1.0
E01000777,B1,8,8,1.0
E01000778,B1,7,5,1.4
E01000779,B1,10,10,1.0
E01000780,B1,9,7,1.2857142857142858
E01000781,B1,7,6,1.1666666666666667
E01000782,B1,6,4,1.5
E01000783,B1,10,9,1.1111111111111112
E01000784,B1,4,4,1.0
E01000785,B1,6,5,1.2
E01000786,B1,6,5,1.2
E01000787,B1,1,1,1.0
E01000788,B1,4,4,1.0
E01000789,B1,12,8,1.5
E01000790,B1,4,4,1.0
E01000791,B1,4,3,1.3333333333333333
E01000792,B1,7,7,1.0
E01000793,B1,3,2,1.5
E01000794,B1,4,3,1.3333333333333333
E01000795,B1,10,9,1.1111111111111112
E01000796,B1,12,6,2.0
E01000797,B1,13,10,1.3
E01000798,B1,9,6,1.5
E01000799,B1,11,9,1.2222222222222223
E01000800,B1,8,7,1.1428571428571428
E01000801,B1,5,3,1.6666666666666667
E01000802,B1,11,11,1.0
E01000803,B1,8,8,1.0
E01000804,B1,14,13,1.0769230769230769
E01000805,B1,7,6,1.1666666666666667
E01000806,B1,6,6,1.0
E01000807,B1,6,5,1.2
E01000808,B1,9,9,1.0
E01000809,B1,3,3,1.0
E01000810,B1,6,6,1.0
E01000811,B1,3,3,1.0
E01000812,B1,2,2,1.0
E01000813,B1,2,2,1.0
E01000814,B1,4,3,1.3333333333333333
E01000815,B1,1,1,1.0
