lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01000645,B1,1,1,1.0
E01000647,B1,1,1,1.0
E01000653,B1,3,3,1.0
E01000655,B1,2,2,1.0
E01000656,B1,2,2,1.0
E01000659,B1,2,2,1.0
E01000661,B1,1,1,1.0
E01000663,B1,2,2,1.0
E01000666,B1,1,1,1.0
E01000667,B1,1,1,1.0
E01000669,B1,1,1,1.0
E01000672,B1,5,5,1.0
E01000674,B1,1,1,1.0
E01000677,B1,2,2,1.0
E01000679,B1,1,1,1.0
E01000680,B1,1,1,1.0
E01000685,B1,1,1,1.0
E01000688,B1,2,2,1.0
E01000692,B1,2,2,1.0
E01000693,B1,2,2,1.0
E01000695,B1,1,1,1.0
E01000698,B1,1,1,1.0
E01000699,B1,1,1,1.0
E01000704,B1,2,2,1.0
E01000708,B1,1,1,1.0
E01000709,B1,2,2,1.0
E01000712,B1,2,2,1.0
E01000713,B1,2,2,1.0
E01000716,B1,1,1,1.0
E01000717,B1,1,1,1.0
E01000719,B1,2,2,1.0
E01000720,B1,1,1,1.0
E01000721,B1,1,1,1.0
E01000722,B1,2,2,1.0
E01000723,B1,1,1,1.0
E01000724,B1,1,1,1.0
E01000725,B1,3,3,1.0
E01000730,B1,3,2,1.5
E01000738,B1,1,1,1.0
E01000740,B1,3,3,1.0
E01000741,B1,1,1,1.0
E01000743,B1,1,1,1.0
E01000746,B1,1,1,1.0
E01000747,B1,2,2,1.0
E01000748,B1,2,2,1.0
E01000750,B1,1,1,1.0
E01000751,B1,5,5,1.0
E01000756,B1,1,1,1.0
E01000757,B1,2,2,1.0
E01000759,B1,1,1,1.0
E01000760,B1,1,1,1.0
E01000761,B1,1,1,1.0
E01000765,B1,2,2,1.0
E01000773,B1,1,1,1.0
E01000774,B1,1,1,1.0
E01000779,B1,1,1,1.0
E01000780,B1,1,1,1.0
E01000781,B1,1,1,1.0
E01000787,B1,3,2,1.5
E01000788,B1,1,1,1.0
E01000789,B1,1,1,1.0
E01000799,B1,2,2,1.0
E01000800,B1,4,3,1.3333333333333333
E01000802,B1,1,1,1.0
E01000803,B1,1,1,1.0
E01000806,B1,2,1,2.0
E01000807,B1,1,1,1.0
E01000808,B1,1,1,1.0
E01000810,B1,2,2,1.0
E01000811,B1,1,1,1.0
E01000816,B1,1,1,1.0
E01000819,B1,3,3,1.0
E01000824,B1,2,2,1.0
E01000826,B1,1,1,1.0
E01000830,B1,1,1,1.0
E01000832,B1,1,1,1.0
E01000837,B1,1,1,1.0
E01000840,B1,2,2,1.0
E01000841,B1,1,1,1.0
E01001572,B1,1,1,1.0
E01001573,B1,2,2,1.0
E01001575,B1,1,1,1.0
E01001577,B1,4,2,2.0
E01001583,B1,1,1,1.0
E01001586,B1,1,1,1.0
E01001592,B1,1,1,1.0
E01001598,B1,1,1,1.0
E01001599,B1,1,1,1.0
E01001605,B1,1,1,1.0
E01001607,B1,3,3,1.0
E01001613,B1,1,1,1.0
E01001614,B1,1,1,1.0
E01001619,B1,1,1,1.0
E01001635,B1,1,1,1.0
E01001646,B1,1,1,1.0
E01001649,B1,1,1,1.0
E01001650,B1,1,1,1.0
E01001652,B1,1,1,1.0
E01001653,B1,1,1,1.0
E01001658,B1,2,2,1.0
E01001661,B1,1,1,1.0
E01001664,B1,1,1,1.0
E01001666,B1,1,1,1.0
E01001669,B1,1,1,1.0
E01001673,B1,1,1,1.0
E01001675,B1,1,1,1.0
E01001676,B1,1,1,1.0
E01001677,B1,1,1,1.0
E01001682,B1,1,1,1.0
E01001684,B1,2,2,1.0
E01001686,B1,1,1,1.0
E01001688,B1,1,1,1.0
E01001698,B1,1,1,1.0
E01001700,B1,1,1,1.0
E01001708,B1,1,1,1.0
E01022852,B1,1,1,1.0
E01022857,B1,1,1,1.0
E01022875,B1,1,1,1.0
E01022877,B1,1,1,1.0
E01022881,B1,1,1,1.0
E01022885,B1,1,1,1.0
E01022890,B1,1,1,1.0
E01022896,B1,1,1,1.0
E01022897,B1,1,1,1.0
E01023750,B1,2,2,1.0
E01023751,B1,2,2,1.0
E01023752,B1,1,1,1.0
E01023754,B1,1,1,1.0
E01023755,B1,3,2,1.5
E01023757,B1,2,2,1.0
E01023758,B1,3,2,1.5
E01023760,B1,1,1,1.0
E01023761,B1,3,2,1.5
E01023762,B1,3,2,1.5
E01023763,B1,2,2,1.0
E01023764,B1,5,1,5.0
E01023765,B1,1,1,1.0
E01023769,B1,2,2,1.0
E01023771,B1,4,4,1.0
E01023772,B1,1,1,1.0
E01023773,B1,2,2,1.0
E01023774,B1,4,2,2.0
E01023776,B1,1,1,1.0
E01023778,B1,2,2,1.0
E01023780,B1,3,2,1.5
