lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01000115,B1,1,1,1.0
E01000116,B1,2,2,1.0
E01000117,B1,2,2,1.0
E01000118,B1,3,3,1.0
E01000119,B1,3,3,1.0
E01000120,B1,1,1,1.0
E01000121,B1,4,4,1.0
E01000122,B1,2,2,1.0
E01000123,B1,10,6,1.6666666666666667
E01000124,B1,2,1,2.0
E01000125,B1,4,4,1.0
E01000126,B1,3,2,1.5
E01000127,B1,1,1,1.0
E01000128,B1,5,4,1.25
E01000129,B1,2,2,1.0
E01000130,B1,1,1,1.0
E01000131,B1,7,5,1.4
E01000132,B1,6,3,2.0
E01000133,B1,1,1,1.0
E01000134,B1,3,3,1.0
E01000136,B1,1,1,1.0
E01000137,B1,3,2,1.5
E01000138,B1,2,2,1.0
E01000140,B1,2,2,1.0
E01000141,B1,3,3,1.0
E01000142,B1,5,4,1.25
E01000143,B1,2,2,1.0
E01000145,B1,1,1,1.0
E01000146,B1,2,2,1.0
E01000147,B1,3,2,1.5
E01000148,B1,4,4,1.0
E01000150,B1,3,2,1.5
E01000151,B1,1,1,1.0
E01000152,B1,4,4,1.0
E01000153,B1,2,2,1.0
E01000155,B1,2,2,1.0
E01000156,B1,5,5,1.0
E01000157,B1,3,3,1.0
E01000158,B1,7,6,1.1666666666666667
E01000159,B1,2,2,1.0
E01000160,B1,3,3,1.0
E01000161,B1,6,6,1.0
E01000162,B1,1,1,1.0
E01000163,B1,4,4,1.0
E01000164,B1,2,2,1.0
E01000165,B1,3,3,1.0
E01000166,B1,3,3,1.0
E01000167,B1,7,5,1.4
E01000168,B1,1,1,1.0
E01000169,B1,3,3,1.0
E01000170,B1,1,1,1.0
E01000171,B1,5,5,1.0
E01000172,B1,5,5,1.0
E01000173,B1,4,4,1.0
E01000174,B1,3,2,1.5
E01000176,B1,3,2,1.5
E01000177,B1,4,4,1.0
E01000178,B1,2,2,1.0
E01000179,B1,3,3,1.0
E01000180,B1,2,2,1.0
E01000183,B1,7,5,1.4
E01000184,B1,3,2,1.5
E01000185,B1,1,1,1.0
E01000186,B1,3,2,1.5
E01000187,B1,2,2,1.0
E01000188,B1,2,2,1.0
E01000189,B1,4,4,1.0
E01000190,B1,5,5,1.0
E01000191,B1,3,3,1.0
E01000192,B1,1,1,1.0
E01000193,B1,1,1,1.0
E01000194,B1,3,3,1.0
E01000195,B1,1,1,1.0
E01000196,B1,1,1,1.0
E01000197,B1,4,3,1.3333333333333333
E01000198,B1,4,4,1.0
E01000200,B1,5,5,1.0
E01000201,B1,2,2,1.0
E01000202,B1,2,2,1.0
E01000204,B1,1,1,1.0
E01000205,B1,3,3,1.0
E01000206,B1,6,5,1.2
E01000207,B1,8,8,1.0
E01000208,B1,1,1,1.0
E01000209,B1,7,6,1.1666666666666667
E01000210,B1,6,6,1.0
E01000211,B1,7,6,1.1666666666666667
E01000212,B1,5,5,1.0
E01000213,B1,1,1,1.0
E01000214,B1,4,4,1.0
E01000215,B1,3,3,1.0
E01000216,B1,1,1,1.0
E01000217,B1,6,6,1.0
E01000218,B1,1,1,1.0
E01000219,B1,4,3,1.3333333333333333
E01000221,B1,3,3,1.0
E01000222,B1,3,3,1.0
E01000223,B1,8,6,1.3333333333333333
E01000224,B1,8,8,1.0
E01000225,B1,6,5,1.2
E01000226,B1,3,3,1.0
E01000227,B1,3,3,1.0
E01000228,B1,3,2,1.5
E01000229,B1,2,2,1.0
E01000230,B1,1,1,1.0
E01000231,B1,2,2,1.0
E01000232,B1,4,4,1.0
E01000233,B1,5,5,1.0
E01000234,B1,2,2,1.0
E01000235,B1,1,1,1.0
E01000236,B1,1,1,1.0
E01000238,B1,6,6,1.0
E01000239,B1,2,2,1.0
E01000240,B1,2,2,1.0
E01000241,B1,1,1,1.0
E01000242,B1,2,2,1.0
E01000243,B1,3,3,1.0
E01000244,B1,1,1,1.0
E01000245,B1,3,3,1.0
E01000246,B1,4,3,1.3333333333333333
E01000247,B1,6,5,1.2
E01000248,B1,2,1,2.0
E01000249,B1,6,5,1.2
E01000250,B1,4,4,1.0
E01000251,B1,9,9,1.0
E01000252,B1,3,3,1.0
E01000253,B1,4,4,1.0
E01000254,B1,2,1,2.0
E01000255,B1,2,2,1.0
E01000256,B1,3,3,1.0
E01000257,B1,6,6,1.0
E01000258,B1,2,2,1.0
E01000259,B1,3,3,1.0
E01000260,B1,7,5,1.4
E01000261,B1,4,4,1.0
E01000262,B1,4,3,1.3333333333333333
E01000264,B1,1,1,1.0
E01000265,B1,1,1,1.0
E01000266,B1,4,4,1.0
E01000267,B1,2,2,1.0
E01000268,B1,8,7,1.1428571428571428
E01000269,B1,4,4,1.0
E01000270,B1,1,1,1.0
E01000271,B1,2,2,1.0
E01000272,B1,3,3,1.0
E01000273,B1,10,8,1.25
E01000274,B1,4,4,1.0
E01000276,B1,1,1,1.0
E01000279,B1,2,2,1.0
E01000280,B1,5,5,1.0
E01000281,B1,2,2,1.0
E01000282,B1,1,1,1.0
E01000283,B1,3,3,1.0
E01000284,B1,1,1,1.0
E01000285,B1,3,3,1.0
E01000286,B1,3,3,1.0
E01000287,B1,1,1,1.0
E01000288,B1,2,2,1.0
E01000289,B1,6,5,1.2
E01000290,B1,3,3,1.0
E01000291,B1,3,3,1.0
E01000293,B1,1,1,1.0
E01000294,B1,8,6,1.3333333333333333
E01000295,B1,1,1,1.0
E01000297,B1,1,1,1.0
E01000298,B1,2,1,2.0
E01000300,B1,1,1,1.0
E01000301,B1,2,2,1.0
E01000302,B1,1,1,1.0
E01000303,B1,6,5,1.2
E01000304,B1,9,8,1.125
E01000305,B1,3,2,1.5
E01000306,B1,4,4,1.0
E01000307,B1,2,2,1.0
E01000309,B1,3,3,1.0
E01000311,B1,1,1,1.0
E01000312,B1,1,1,1.0
E01000313,B1,3,3,1.0
E01000314,B1,2,2,1.0
E01000315,B1,4,4,1.0
E01000316,B1,11,10,1.1
E01000318,B1,4,4,1.0
E01000319,B1,2,2,1.0
E01000322,B1,1,1,1.0
E01000323,B1,3,3,1.0
E01000324,B1,8,6,1.3333333333333333
E01000325,B1,1,1,1.0
E01000326,B1,12,11,1.0909090909090908
E01000327,B1,12,11,1.0909090909090908
E01000328,B1,15,14,1.0714285714285714
E01000329,B1,4,4,1.0
E01000330,B1,16,14,1.1428571428571428
E01000331,B1,14,13,1.0769230769230769
E01000332,B1,9,9,1.0
E01000333,B1,9,9,1.0
E01000334,B1,16,13,1.2307692307692308
E01000335,B1,23,22,1.0454545454545454
E01000336,B1,19,14,1.3571428571428572
E01000337,B1,17,15,1.1333333333333333
E01000338,B1,31,24,1.2916666666666667
E01000339,B1,10,10,1.0
E01000340,B1,7,6,1.1666666666666667
E01000341,B1,9,9,1.0
E01000342,B1,5,5,1.0
E01000343,B1,14,14,1.0
E01000344,B1,5,4,1.25
E01000345,B1,8,8,1.0
E01000346,B1,9,8,1.125
E01000347,B1,3,3,1.0
E01000348,B1,10,9,1.1111111111111112
E01000349,B1,13,13,1.0
E01000350,B1,8,8,1.0
E01000351,B1,9,9,1.0
E01000352,B1,14,9,1.5555555555555556
E01000353,B1,7,6,1.1666666666666667
E01000354,B1,10,10,1.0
E01000355,B1,12,12,1.0
E01000356,B1,4,4,1.0
E01000357,B1,8,7,1.1428571428571428
E01000358,B1,10,8,1.25
E01000359,B1,2,2,1.0
E01000360,B1,11,11,1.0
E01000361,B1,4,4,1.0
E01000362,B1,5,5,1.0
E01000363,B1,7,6,1.1666666666666667
E01000364,B1,15,13,1.1538461538461537
E01000365,B1,7,6,1.1666666666666667
E01000366,B1,5,5,1.0
E01000367,B1,12,11,1.0909090909090908
E01000368,B1,11,11,1.0
E01000369,B1,14,13,1.0769230769230769
E01000370,B1,5,5,1.0
E01000371,B1,27,21,1.2857142857142858
E01000372,B1,7,6,1.1666666666666667
E01000373,B1,10,10,1.0
E01000374,B1,18,14,1.2857142857142858
E01000375,B1,16,14,1.1428571428571428
E01000376,B1,21,19,1.105263157894737
E01000377,B1,10,8,1.25
E01000378,B1,31,28,1.1071428571428572
E01000379,B1,7,6,1.1666666666666667
E01000380,B1,15,12,1.25
E01000381,B1,14,12,1.1666666666666667
E01000382,B1,12,11,1.0909090909090908
E01000383,B1,18,14,1.2857142857142858
E01000384,B1,12,11,1.0909090909090908
E01000385,B1,19,17,1.1176470588235294
E01000386,B1,11,10,1.1
E01000387,B1,3,3,1.0
E01000388,B1,11,9,1.2222222222222223
E01000389,B1,10,9,1.1111111111111112
E01000390,B1,11,10,1.1
E01000391,B1,10,10,1.0
E01000392,B1,14,11,1.2727272727272727
E01000393,B1,11,10,1.1
E01000394,B1,6,6,1.0
E01000395,B1,15,13,1.1538461538461537
E01000396,B1,20,16,1.25
E01000398,B1,10,10,1.0
E01000399,B1,4,4,1.0
E01000400,B1,6,6,1.0
