period,LSOA,SHEF_C_CODE,report_count,user_count,average
2010-1,E01000119,C7,2,2,1.0
2010-1,E01000120,C7,3,3,1.0
2010-1,E01000122,C7,1,1,1.0
2010-1,E01000123,C7,2,1,2.0
2010-1,E01000125,C7,1,1,1.0
2010-1,E01000126,C7,2,2,1.0
2010-1,E01000127,C7,2,2,1.0
2010-1,E01000129,C7,2,2,1.0
2010-1,E01000130,C7,1,1,1.0
2010-1,E01000135,C5,1,1,1.0
2010-1,E01000135,C7,1,1,1.0
2010-1,E01000138,C3,1,1,1.0
2010-1,E01000138,C7,1,1,1.0
2010-1,E01000146,C7,1,1,1.0
2010-1,E01000147,C7,1,1,1.0
2010-1,E01000155,C7,1,1,1.0
2010-1,E01000161,C7,1,1,1.0
2010-1,E01000163,C3,1,1,1.0
2010-1,E01000164,C5,1,1,1.0
2010-1,E01000164,C7,1,1,1.0
2010-1,E01000165,C5,1,1,1.0
2010-1,E01000166,C7,1,1,1.0
2010-1,E01000167,C7,1,1,1.0
2010-1,E01000169,C7,4,2,2.0
2010-1,E01000170,C7,2,2,1.0
2010-1,E01000171,C7,1,1,1.0
2010-1,E01000173,C7,1,1,1.0
2010-1,E01000174,C7,1,1,1.0
2010-1,E01000175,C7,2,2,1.0
2010-1,E01000180,C3,1,1,1.0
2010-1,E01000180,C7,2,2,1.0
2010-1,E01000192,C7,1,1,1.0
2010-1,E01000196,C7,1,1,1.0
2010-1,E01000203,C7,1,1,1.0
2010-1,E01000204,C7,3,3,1.0
2010-1,E01000205,C5,1,1,1.0
2010-1,E01000206,C7,2,2,1.0
2010-1,E01000207,C3,1,1,1.0
2010-1,E01000207,C7,2,2,1.0
2010-1,E01000208,C7,1,1,1.0
2010-1,E01000210,C7,1,1,1.0
2010-1,E01000213,C7,3,3,1.0
2010-1,E01000218,C2,1,1,1.0
2010-1,E01000221,C7,5,4,1.25
2010-1,E01000222,C7,1,1,1.0
2010-1,E01000228,C7,1,1,1.0
2010-1,E01000229,C7,1,1,1.0
2010-1,E01000232,C7,1,1,1.0
2010-1,E01000234,C7,1,1,1.0
2010-1,E01000235,C7,1,1,1.0
2010-1,E01000239,C7,1,1,1.0
2010-1,E01000243,C7,2,2,1.0
2010-1,E01000244,C7,1,1,1.0
2010-1,E01000249,C7,3,3,1.0
2010-1,E01000250,C7,2,2,1.0
2010-1,E01000251,C5,1,1,1.0
2010-1,E01000251,C7,1,1,1.0
2010-1,E01000253,C7,4,4,1.0
2010-1,E01000254,C7,1,1,1.0
2010-1,E01000255,C2,1,1,1.0
2010-1,E01000255,C7,1,1,1.0
2010-1,E01000256,C7,1,1,1.0
2010-1,E01000257,C7,4,4,1.0
2010-1,E01000260,C7,2,2,1.0
2010-1,E01000262,C7,1,1,1.0
2010-1,E01000263,C7,1,1,1.0
2010-1,E01000267,C7,2,2,1.0
2010-1,E01000268,C7,2,2,1.0
2010-1,E01000270,C7,2,2,1.0
2010-1,E01000271,C7,1,1,1.0
2010-1,E01000272,C7,6,6,1.0
2010-1,E01000273,C7,1,1,1.0
2010-1,E01000274,C7,1,1,1.0
2010-1,E01000280,C7,1,1,1.0
2010-1,E01000281,C7,2,1,2.0
2010-1,E01000285,C7,1,1,1.0
2010-1,E01000287,C7,2,2,1.0
2010-1,E01000288,C7,2,2,1.0
2010-1,E01000290,C7,1,1,1.0
2010-1,E01000293,C3,1,1,1.0
2010-1,E01000293,C7,3,3,1.0
2010-1,E01000294,C5,1,1,1.0
2010-1,E01000294,C7,1,1,1.0
2010-1,E01000295,C7,1,1,1.0
2010-1,E01000296,C7,2,2,1.0
2010-1,E01000297,C7,1,1,1.0
2010-1,E01000301,C7,3,3,1.0
2010-1,E01000302,C7,2,2,1.0
2010-1,E01000305,C7,6,6,1.0
2010-1,E01000307,C7,1,1,1.0
2010-1,E01000309,C7,1,1,1.0
2010-1,E01000310,C7,2,2,1.0
2010-1,E01000311,C7,1,1,1.0
2010-1,E01000312,C7,1,1,1.0
2010-1,E01000316,C7,1,1,1.0
2010-1,E01000317,C8,1,1,1.0
2010-1,E01000318,C7,1,1,1.0
2010-1,E01000319,C2,1,1,1.0
2010-1,E01000320,C5,1,1,1.0
2010-1,E01000320,C7,2,1,2.0
2010-1,E01000497,C7,1,1,1.0
2010-1,E01033572,C7,1,1,1.0
