period,LSOA,SHEF_C,report_count,user_count,average
2010-2,E01000115,Road Safety & Defects,1,1,1.0
2010-2,E01000116,Road Safety & Defects,2,2,1.0
2010-2,E01000118,Road Safety & Defects,1,1,1.0
2010-2,E01000120,Road Safety & Defects,5,5,1.0
2010-2,E01000121,Road Safety & Defects,1,1,1.0
2010-2,E01000123,Road Safety & Defects,1,1,1.0
2010-2,E01000125,Road Safety & Defects,1,1,1.0
2010-2,E01000128,Road Safety & Defects,3,3,1.0
2010-2,E01000129,Other,1,1,1.0
2010-2,E01000130,Road Safety & Defects,1,1,1.0
2010-2,E01000131,Environmental Health,1,1,1.0
2010-2,E01000134,Road Safety & Defects,2,2,1.0
2010-2,E01000135,Road Safety & Defects,3,3,1.0
2010-2,E01000138,Road Safety & Defects,1,1,1.0
2010-2,E01000139,Road Safety & Defects,2,2,1.0
2010-2,E01000141,Road Safety & Defects,4,4,1.0
2010-2,E01000142,Other,1,1,1.0
2010-2,E01000142,Road Safety & Defects,2,1,2.0
2010-2,E01000144,Road Safety & Defects,3,2,1.5
2010-2,E01000146,Road Safety & Defects,6,5,1.2
2010-2,E01000147,Road Safety & Defects,1,1,1.0
2010-2,E01000148,Road Safety & Defects,1,1,1.0
2010-2,E01000150,Road Safety & Defects,2,2,1.0
2010-2,E01000151,Road Safety & Defects,1,1,1.0
2010-2,E01000152,Other,1,1,1.0
2010-2,E01000155,Road Safety & Defects,2,2,1.0
2010-2,E01000157,Road Safety & Defects,1,1,1.0
2010-2,E01000159,Road Safety & Defects,2,2,1.0
2010-2,E01000164,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E01000164,Other,1,1,1.0
2010-2,E01000164,Road Safety & Defects,3,3,1.0
2010-2,E01000165,Road Safety & Defects,1,1,1.0
2010-2,E01000166,Road Safety & Defects,1,1,1.0
2010-2,E01000168,Environmental Health,1,1,1.0
2010-2,E01000168,Road Safety & Defects,2,2,1.0
2010-2,E01000169,Road Safety & Defects,4,4,1.0
2010-2,E01000170,Road Safety & Defects,3,3,1.0
2010-2,E01000172,Vehicles,1,1,1.0
2010-2,E01000173,Road Safety & Defects,2,2,1.0
2010-2,E01000174,Public Space,1,1,1.0
2010-2,E01000175,Road Safety & Defects,3,3,1.0
2010-2,E01000177,Road Safety & Defects,1,1,1.0
2010-2,E01000178,Road Safety & Defects,2,2,1.0
2010-2,E01000179,Environmental Health,1,1,1.0
2010-2,E01000179,Road Safety & Defects,1,1,1.0
2010-2,E01000180,Road Safety & Defects,1,1,1.0
2010-2,E01000181,Road Safety & Defects,1,1,1.0
2010-2,E01000182,Environmental Health,1,1,1.0
2010-2,E01000182,Other,1,1,1.0
2010-2,E01000182,Road Safety & Defects,2,2,1.0
2010-2,E01000183,Environmental Disruptions,1,1,1.0
2010-2,E01000183,Other,1,1,1.0
2010-2,E01000183,Road Safety & Defects,1,1,1.0
2010-2,E01000185,Environmental Health,1,1,1.0
2010-2,E01000185,Other,1,1,1.0
2010-2,E01000188,Road Safety & Defects,1,1,1.0
2010-2,E01000190,Road Safety & Defects,3,2,1.5
2010-2,E01000191,Road Safety & Defects,2,1,2.0
2010-2,E01000192,Road Safety & Defects,2,2,1.0
2010-2,E01000194,Road Safety & Defects,1,1,1.0
2010-2,E01000196,Road Safety & Defects,1,1,1.0
2010-2,E01000197,Environmental Health,1,1,1.0
2010-2,E01000197,Road Safety & Defects,6,4,1.5
2010-2,E01000200,Road Safety & Defects,1,1,1.0
2010-2,E01000203,Road Safety & Defects,3,3,1.0
2010-2,E01000204,Road Safety & Defects,2,2,1.0
2010-2,E01000205,Road Safety & Defects,1,1,1.0
2010-2,E01000206,Road Safety & Defects,2,2,1.0
2010-2,E01000207,Road Safety & Defects,1,1,1.0
2010-2,E01000208,Environmental Disruptions,1,1,1.0
2010-2,E01000208,Road Safety & Defects,2,2,1.0
2010-2,E01000209,Road Safety & Defects,2,1,2.0
2010-2,E01000210,Road Safety & Defects,1,1,1.0
2010-2,E01000211,Road Safety & Defects,1,1,1.0
2010-2,E01000212,Road Safety & Defects,1,1,1.0
2010-2,E01000213,Road Safety & Defects,3,3,1.0
2010-2,E01000214,Road Safety & Defects,1,1,1.0
2010-2,E01000215,Environmental Disruptions,1,1,1.0
2010-2,E01000215,Road Safety & Defects,1,1,1.0
2010-2,E01000219,Environmental Health,1,1,1.0
2010-2,E01000219,Road Safety & Defects,2,2,1.0
2010-2,E01000220,Road Safety & Defects,2,2,1.0
2010-2,E01000221,Road Safety & Defects,3,2,1.5
2010-2,E01000222,Road Safety & Defects,1,1,1.0
2010-2,E01000223,Other,1,1,1.0
2010-2,E01000223,Road Safety & Defects,3,3,1.0
2010-2,E01000225,Road Safety & Defects,1,1,1.0
2010-2,E01000226,Road Safety & Defects,1,1,1.0
2010-2,E01000227,Road Safety & Defects,1,1,1.0
2010-2,E01000228,Road Safety & Defects,4,4,1.0
2010-2,E01000229,Road Safety & Defects,3,1,3.0
2010-2,E01000230,Road Safety & Defects,1,1,1.0
2010-2,E01000232,Other,1,1,1.0
2010-2,E01000232,Road Safety & Defects,2,2,1.0
2010-2,E01000233,Road Safety & Defects,1,1,1.0
2010-2,E01000234,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E01000235,Road Safety & Defects,1,1,1.0
2010-2,E01000239,Environmental Health,1,1,1.0
2010-2,E01000239,Road Safety & Defects,1,1,1.0
2010-2,E01000242,Road Safety & Defects,1,1,1.0
2010-2,E01000245,Road Safety & Defects,1,1,1.0
2010-2,E01000246,Road Safety & Defects,2,1,2.0
2010-2,E01000247,Road Safety & Defects,2,2,1.0
2010-2,E01000248,Other,1,1,1.0
2010-2,E01000248,Road Safety & Defects,3,3,1.0
2010-2,E01000249,Road Safety & Defects,1,1,1.0
2010-2,E01000250,Other,1,1,1.0
2010-2,E01000250,Road Safety & Defects,1,1,1.0
2010-2,E01000251,Road Safety & Defects,1,1,1.0
2010-2,E01000253,Road Safety & Defects,3,1,3.0
2010-2,E01000255,Environmental Health,1,1,1.0
2010-2,E01000255,Road Safety & Defects,1,1,1.0
2010-2,E01000256,Other,1,1,1.0
2010-2,E01000256,Road Safety & Defects,3,2,1.5
2010-2,E01000257,Road Safety & Defects,1,1,1.0
2010-2,E01000259,Other,1,1,1.0
2010-2,E01000259,Road Safety & Defects,1,1,1.0
2010-2,E01000260,Road Safety & Defects,1,1,1.0
2010-2,E01000261,Other,1,1,1.0
2010-2,E01000261,Road Safety & Defects,2,2,1.0
2010-2,E01000262,Road Safety & Defects,1,1,1.0
2010-2,E01000264,Road Safety & Defects,5,5,1.0
2010-2,E01000265,Road Safety & Defects,2,2,1.0
2010-2,E01000266,Road Safety & Defects,1,1,1.0
2010-2,E01000267,Road Safety & Defects,2,2,1.0
2010-2,E01000268,Road Safety & Defects,2,2,1.0
2010-2,E01000269,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E01000269,Road Safety & Defects,1,1,1.0
2010-2,E01000270,Road Safety & Defects,1,1,1.0
2010-2,E01000271,Road Safety & Defects,2,2,1.0
2010-2,E01000272,Road Safety & Defects,1,1,1.0
2010-2,E01000273,Road Safety & Defects,1,1,1.0
2010-2,E01000275,Road Safety & Defects,2,2,1.0
2010-2,E01000277,Road Safety & Defects,5,4,1.25
2010-2,E01000279,Road Safety & Defects,4,4,1.0
2010-2,E01000280,Road Safety & Defects,1,1,1.0
2010-2,E01000282,Road Safety & Defects,3,3,1.0
2010-2,E01000283,Road Safety & Defects,2,2,1.0
2010-2,E01000284,Road Safety & Defects,3,3,1.0
2010-2,E01000285,Road Safety & Defects,2,2,1.0
2010-2,E01000286,Road Safety & Defects,1,1,1.0
2010-2,E01000288,Road Safety & Defects,1,1,1.0
2010-2,E01000290,Road Safety & Defects,1,1,1.0
2010-2,E01000292,Environmental Health,1,1,1.0
2010-2,E01000292,Road Safety & Defects,2,1,2.0
2010-2,E01000294,Road Safety & Defects,1,1,1.0
2010-2,E01000297,Road Safety & Defects,3,3,1.0
2010-2,E01000298,Road Safety & Defects,7,5,1.4
2010-2,E01000299,Other,1,1,1.0
2010-2,E01000300,Road Safety & Defects,1,1,1.0
2010-2,E01000301,Road Safety & Defects,3,2,1.5
2010-2,E01000304,Road Safety & Defects,3,3,1.0
2010-2,E01000305,Road Safety & Defects,4,4,1.0
2010-2,E01000307,Road Safety & Defects,5,4,1.25
2010-2,E01000309,Environmental Health,1,1,1.0
2010-2,E01000310,Road Safety & Defects,2,2,1.0
2010-2,E01000311,Road Safety & Defects,1,1,1.0
2010-2,E01000315,Road Safety & Defects,3,3,1.0
2010-2,E01000319,Road Safety & Defects,1,1,1.0
2010-2,E01000322,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E01000322,Other,1,1,1.0
2010-2,E01000323,Road Safety & Defects,1,1,1.0
2010-2,E01000324,Environmental Health,1,1,1.0
2010-2,E01000324,Road Safety & Defects,2,2,1.0
2010-2,E01011370,Environmental Health,1,1,1.0
2010-2,E01011482,Road Safety & Defects,1,1,1.0
2010-2,E01011732,Road Safety & Defects,1,1,1.0
2010-2,E01033572,Road Safety & Defects,1,1,1.0
