period,LSOA,SHEF_C,report_count,user_count,average
2015,E01000115,Environmental Health,1,1,1.0
2015,E01000115,Road Safety & Defects,8,4,2.0
2015,E01000115,Vehicles,1,1,1.0
2015,E01000116,Environmental Health,4,4,1.0
2015,E01000116,Road Safety & Defects,6,5,1.2
2015,E01000116,Vehicles,1,1,1.0
2015,E01000117,Environmental Health,4,4,1.0
2015,E01000117,Incivilities,1,1,1.0
2015,E01000117,Road Safety & Defects,2,2,1.0
2015,E01000117,Vehicles,1,1,1.0
2015,E01000118,Environmental Disruptions,1,1,1.0
2015,E01000118,Environmental Health,2,2,1.0
2015,E01000118,Road Safety & Defects,6,6,1.0
2015,E01000119,Environmental Disruptions,1,1,1.0
2015,E01000119,Environmental Health,1,1,1.0
2015,E01000119,Road Safety & Defects,9,9,1.0
2015,E01000119,Vehicles,1,1,1.0
2015,E01000120,Road Safety & Defects,3,2,1.5
2015,E01000121,Road Safety & Defects,4,3,1.3333333333333333
2015,E01000122,Environmental Health,1,1,1.0
2015,E01000122,Road Safety & Defects,8,6,1.3333333333333333
2015,E01000123,Environmental Health,5,4,1.25
2015,E01000123,Vehicles,6,3,2.0
2015,E01000124,Environmental Health,8,8,1.0
2015,E01000124,Road Safety & Defects,2,2,1.0
2015,E01000125,Environmental Health,6,4,1.5
2015,E01000125,Incivilities,1,1,1.0
2015,E01000125,Road Safety & Defects,8,6,1.3333333333333333
2015,E01000125,Vehicles,2,2,1.0
2015,E01000126,Environmental Health,4,4,1.0
2015,E01000126,Incivilities,1,1,1.0
2015,E01000126,Road Safety & Defects,1,1,1.0
2015,E01000127,Environmental Health,1,1,1.0
2015,E01000127,Road Safety & Defects,2,1,2.0
2015,E01000128,Environmental Health,5,4,1.25
2015,E01000128,Road Safety & Defects,6,5,1.2
2015,E01000128,Vehicles,1,1,1.0
2015,E01000129,Environmental Health,7,5,1.4
2015,E01000129,Incivilities,1,1,1.0
2015,E01000129,Road Safety & Defects,9,8,1.125
2015,E01000130,Environmental Health,1,1,1.0
2015,E01000130,Road Safety & Defects,2,1,2.0
2015,E01000130,Vehicles,1,1,1.0
2015,E01000131,Environmental Disruptions,1,1,1.0
2015,E01000131,Environmental Health,4,4,1.0
2015,E01000131,Road Safety & Defects,3,3,1.0
2015,E01000131,Vehicles,1,1,1.0
