lsoa,SHEF_C_CODE,reports,unique_users,average_per_user
E01000646,C1,1,1,1.0
E01000647,C1,1,1,1.0
E01000648,C1,1,1,1.0
E01000652,C1,1,1,1.0
E01000661,C1,1,1,1.0
E01000676,C1,1,1,1.0
E01000680,C1,1,1,1.0
E01000687,C1,1,1,1.0
E01000692,C1,3,2,1.5
E01000694,C1,1,1,1.0
E01000703,C1,1,1,1.0
E01000704,C1,1,1,1.0
E01000707,C1,1,1,1.0
E01000718,C1,1,1,1.0
E01000720,C1,1,1,1.0
E01000722,C1,1,1,1.0
E01000725,C1,1,1,1.0
E01000726,C1,3,1,3.0
E01000728,C1,1,1,1.0
E01000736,C1,1,1,1.0
E01000742,C1,1,1,1.0
E01000748,C1,1,1,1.0
E01000752,C1,1,1,1.0
E01000767,C1,1,1,1.0
E01000771,C1,1,1,1.0
E01000772,C1,1,1,1.0
E01000783,C1,1,1,1.0
E01000790,C1,2,2,1.0
E01000792,C1,1,1,1.0
E01000802,C1,3,2,1.5
E01000803,C1,1,1,1.0
E01000805,C1,1,1,1.0
E01000810,C1,1,1,1.0
E01000818,C1,1,1,1.0
E01000823,C1,1,1,1.0
E01000827,C1,1,1,1.0
E01000830,C1,1,1,1.0
E01000832,C1,1,1,1.0
E01001701,C1,1,1,1.0
E01014485,C1,1,1,1.0
E01014486,C1,3,3,1.0
E01014487,C1,1,1,1.0
E01014489,C1,1,1,1.0
E01014495,C1,1,1,1.0
E01014498,C1,2,2,1.0
E01014499,C1,4,3,1.3333333333333333
E01014507,C1,3,2,1.5
E01014509,C1,1,1,1.0
E01014511,C1,2,2,1.0
E01014512,C1,1,1,1.0
E01014516,C1,3,1,3.0
E01014518,C1,1,1,1.0
E01014520,C1,1,1,1.0
E01014523,C1,2,2,1.0
E01014527,C1,1,1,1.0
E01014528,C1,2,2,1.0
E01014529,C1,1,1,1.0
E01014532,C1,1,1,1.0
E01014536,C1,1,1,1.0
E01014540,C1,1,1,1.0
E01014542,C1,1,1,1.0
E01014548,C1,2,2,1.0
E01014549,C1,1,1,1.0
E01014550,C1,1,1,1.0
E01014554,C1,1,1,1.0
E01014561,C1,1,1,1.0
E01014562,C1,1,1,1.0
E01014564,C1,1,1,1.0
E01014566,C1,1,1,1.0
E01014569,C1,2,2,1.0
E01014571,C1,1,1,1.0
E01014572,C1,3,3,1.0
E01014577,C1,1,1,1.0
E01014578,C1,1,1,1.0
E01014580,C1,1,1,1.0
E01014581,C1,1,1,1.0
E01014586,C1,1,1,1.0
E01014589,C1,1,1,1.0
E01014590,C1,1,1,1.0
E01014595,C1,1,1,1.0
E01014597,C1,1,1,1.0
E01014599,C1,1,1,1.0
