period,LSOA,SHEF_C_CODE,report_count,user_count,average
all time,,C5,3,1,3.0
all time,,C7,9,3,3.0
all time,E01000115,C2,9,3,3.0
all time,E01000115,C3,39,9,4.333333333333333
all time,E01000115,C5,3,1,3.0
all time,E01000115,C7,144,34,4.235294117647059
all time,E01000115,C8,9,3,3.0
all time,E01000116,C2,15,5,3.0
all time,E01000116,C3,81,26,3.1153846153846154
all time,E01000116,C7,213,51,4.176470588235294
all time,E01000116,C8,15,5,3.0
all time,E01000117,C2,33,9,3.6666666666666665
all time,E01000117,C3,87,18,4.833333333333333
all time,E01000117,C4,9,3,3.0
all time,E01000117,C7,180,44,4.090909090909091
all time,E01000117,C8,6,2,3.0
all time,E01000118,C2,6,2,3.0
all time,E01000118,C3,48,14,3.4285714285714284
all time,E01000118,C4,3,1,3.0
all time,E01000118,C5,3,1,3.0
all time,E01000118,C6,3,1,3.0
all time,E01000118,C7,177,50,3.54
all time,E01000118,C8,18,5,3.6
all time,E01000119,C2,15,5,3.0
all time,E01000119,C3,51,11,4.636363636363637
all time,E01000119,C5,6,2,3.0
all time,E01000119,C7,171,45,3.8
all time,E01000119,C8,9,3,3.0
all time,E01000120,C2,6,2,3.0
all time,E01000120,C3,27,8,3.375
all time,E01000120,C4,3,1,3.0
all time,E01000120,C5,6,2,3.0
all time,E01000120,C7,177,45,3.933333333333333
all time,E01000120,C8,6,2,3.0
all time,E01000121,C2,9,2,4.5
all time,E01000121,C3,27,8,3.375
all time,E01000121,C4,3,1,3.0
all time,E01000121,C7,105,28,3.75
all time,E01000121,C8,12,4,3.0
all time,E01000122,C2,15,4,3.75
all time,E01000122,C3,36,10,3.6
all time,E01000122,C7,135,37,3.6486486486486487
all time,E01000122,C8,6,2,3.0
all time,E01000123,C2,33,8,4.125
all time,E01000123,C3,111,30,3.7
all time,E01000123,C4,3,1,3.0
all time,E01000123,C5,9,3,3.0
all time,E01000123,C7,138,36,3.8333333333333335
all time,E01000123,C8,30,6,5.0
all time,E01000124,C2,3,1,3.0
all time,E01000124,C3,108,24,4.5
all time,E01000124,C4,3,1,3.0
all time,E01000124,C5,3,1,3.0
all time,E01000124,C7,159,43,3.697674418604651
all time,E01000124,C8,6,1,6.0
all time,E01000125,C2,9,2,4.5
all time,E01000125,C3,105,22,4.7727272727272725
all time,E01000125,C4,3,1,3.0
all time,E01000125,C5,3,1,3.0
all time,E01000125,C7,108,25,4.32
all time,E01000125,C8,18,6,3.0
all time,E01000126,C2,6,2,3.0
all time,E01000126,C3,177,19,9.31578947368421
all time,E01000126,C4,9,2,4.5
all time,E01000126,C5,9,3,3.0
all time,E01000126,C7,96,25,3.84
all time,E01000126,C8,15,4,3.75
all time,E01000127,C2,18,3,6.0
all time,E01000127,C3,147,20,7.35
all time,E01000127,C4,6,2,3.0
all time,E01000127,C5,3,1,3.0
all time,E01000127,C7,66,16,4.125
all time,E01000127,C8,3,1,3.0
all time,E01000128,C2,15,5,3.0
all time,E01000128,C3,117,24,4.875
all time,E01000128,C7,129,32,4.03125
all time,E01000128,C8,18,5,3.6
all time,E01000129,C2,3,1,3.0
all time,E01000129,C3,132,28,4.714285714285714
all time,E01000129,C4,6,2,3.0
all time,E01000129,C5,3,1,3.0
all time,E01000129,C7,183,41,4.463414634146342
all time,E01000129,C8,6,2,3.0
all time,E01000130,C3,42,12,3.5
all time,E01000130,C7,99,23,4.304347826086956
all time,E01000130,C8,3,1,3.0
all time,E01000131,C2,9,3,3.0
all time,E01000131,C3,99,25,3.96
all time,E01000131,C7,153,43,3.558139534883721
all time,E01000131,C8,24,6,4.0
all time,E01000132,C2,3,1,3.0
all time,E01000132,C3,132,12,11.0
all time,E01000132,C4,6,1,6.0
all time,E01000132,C7,99,29,3.413793103448276
all time,E01000132,C8,18,3,6.0
all time,E01000133,C3,81,18,4.5
all time,E01000133,C4,3,1,3.0
all time,E01000133,C7,36,11,3.272727272727273
all time,E01000133,C8,3,1,3.0
all time,E01000134,C2,9,3,3.0
all time,E01000134,C3,60,16,3.75
all time,E01000134,C4,3,1,3.0
all time,E01000134,C5,9,2,4.5
all time,E01000134,C7,48,15,3.2
all time,E01000134,C8,9,3,3.0
all time,E01000135,C2,9,3,3.0
all time,E01000135,C3,102,27,3.7777777777777777
all time,E01000135,C4,9,1,9.0
all time,E01000135,C5,6,2,3.0
all time,E01000135,C7,195,59,3.305084745762712
all time,E01000135,C8,6,2,3.0
all time,E01000136,C2,15,5,3.0
all time,E01000136,C3,87,20,4.35
all time,E01000136,C5,9,3,3.0
all time,E01000136,C7,201,53,3.792452830188679
all time,E01000136,C8,3,1,3.0
all time,E01000137,C2,9,3,3.0
all time,E01000137,C3,48,11,4.363636363636363
all time,E01000137,C4,12,4,3.0
all time,E01000137,C7,75,22,3.409090909090909
all time,E01000137,C8,9,2,4.5
all time,E01000138,C2,39,7,5.571428571428571
all time,E01000138,C3,141,26,5.423076923076923
all time,E01000138,C4,18,1,18.0
all time,E01000138,C5,3,1,3.0
all time,E01000138,C7,159,34,4.676470588235294
all time,E01000138,C8,6,2,3.0
all time,E01000139,C2,15,5,3.0
all time,E01000139,C3,150,22,6.818181818181818
all time,E01000139,C4,33,1,33.0
all time,E01000139,C7,192,47,4.085106382978723
all time,E01000140,C2,6,2,3.0
all time,E01000140,C3,144,30,4.8
all time,E01000140,C4,3,1,3.0
all time,E01000140,C5,9,3,3.0
all time,E01000140,C7,150,34,4.411764705882353
all time,E01000140,C8,6,2,3.0
all time,E01000141,C2,21,7,3.0
all time,E01000141,C3,216,47,4.595744680851064
all time,E01000141,C4,9,2,4.5
all time,E01000141,C5,6,2,3.0
all time,E01000141,C7,246,60,4.1
all time,E01000141,C8,9,3,3.0
all time,E01000142,C2,12,4,3.0
all time,E01000142,C3,189,27,7.0
all time,E01000142,C4,12,3,4.0
all time,E01000142,C5,12,2,6.0
all time,E01000142,C6,6,1,6.0
all time,E01000142,C7,168,29,5.793103448275862
all time,E01000142,C8,15,4,3.75
all time,E01000143,C2,9,2,4.5
all time,E01000143,C3,45,11,4.090909090909091
all time,E01000143,C7,60,18,3.3333333333333335
all time,E01000143,C8,9,3,3.0
all time,E01000144,C2,21,7,3.0
all time,E01000144,C3,135,36,3.75
all time,E01000144,C4,3,1,3.0
all time,E01000144,C5,3,1,3.0
all time,E01000144,C7,216,52,4.153846153846154
all time,E01000145,C2,18,6,3.0
all time,E01000145,C3,51,12,4.25
all time,E01000145,C4,27,1,27.0
all time,E01000145,C5,6,2,3.0
all time,E01000145,C7,111,30,3.7
all time,E01000145,C8,3,1,3.0
all time,E01000146,C2,6,2,3.0
all time,E01000146,C3,192,42,4.571428571428571
all time,E01000146,C4,9,3,3.0
all time,E01000146,C7,216,52,4.153846153846154
all time,E01000146,C8,6,2,3.0
all time,E01000147,C2,12,4,3.0
all time,E01000147,C3,72,14,5.142857142857143
all time,E01000147,C5,3,1,3.0
all time,E01000147,C7,150,34,4.411764705882353
all time,E01000147,C8,9,2,4.5
all time,E01000148,C2,3,1,3.0
all time,E01000148,C3,63,19,3.3157894736842106
all time,E01000148,C4,3,1,3.0
all time,E01000148,C5,3,1,3.0
all time,E01000148,C7,129,30,4.3
all time,E01000148,C8,12,4,3.0
all time,E01000150,C2,30,8,3.75
all time,E01000150,C3,114,24,4.75
all time,E01000150,C4,3,1,3.0
all time,E01000150,C5,6,2,3.0
all time,E01000150,C7,168,37,4.54054054054054
all time,E01000150,C8,9,2,4.5
all time,E01000151,C2,3,1,3.0
all time,E01000151,C3,12,4,3.0
all time,E01000151,C7,24,8,3.0
all time,E01000151,C8,3,1,3.0
all time,E01000152,C3,30,7,4.285714285714286
all time,E01000152,C5,6,2,3.0
all time,E01000152,C7,60,16,3.75
all time,E01000152,C8,12,4,3.0
all time,E01000153,C2,3,1,3.0
all time,E01000153,C3,60,12,5.0
all time,E01000153,C4,3,1,3.0
all time,E01000153,C7,51,14,3.642857142857143
all time,E01000153,C8,6,2,3.0
all time,E01000154,C2,3,1,3.0
all time,E01000154,C3,27,7,3.857142857142857
all time,E01000154,C7,33,11,3.0
all time,E01000155,C2,15,5,3.0
all time,E01000155,C3,156,24,6.5
