period,LSOA,report_count,user_count,average
2009-8,,1,1,1.0
2009-8,E01000010,1,1,1.0
2009-8,E01000012,1,1,1.0
2009-8,E01000102,1,1,1.0
2009-8,E01000116,1,1,1.0
2009-8,E01000122,1,1,1.0
2009-8,E01000128,1,1,1.0
2009-8,E01000166,1,1,1.0
2009-8,E01000170,2,2,1.0
2009-8,E01000173,2,2,1.0
2009-8,E01000174,1,1,1.0
2009-8,E01000221,1,1,1.0
2009-8,E01000235,1,1,1.0
2009-8,E01000293,1,1,1.0
2009-8,E01000321,2,1,2.0
2009-8,E01000370,1,1,1.0
2009-8,E01000379,1,1,1.0
2009-8,E01000401,1,1,1.0
2009-8,E01000409,2,1,2.0
2009-8,E01000417,3,1,3.0
2009-8,E01000466,1,1,1.0
2009-8,E01000499,1,1,1.0
2009-8,E01000523,1,1,1.0
2009-8,E01000524,1,1,1.0
2009-8,E01000543,1,1,1.0
2009-8,E01000546,1,1,1.0
2009-8,E01000548,1,1,1.0
2009-8,E01000553,1,1,1.0
2009-8,E01000579,1,1,1.0
2009-8,E01000585,1,1,1.0
2009-8,E01000586,2,1,2.0
2009-8,E01000699,1,1,1.0
2009-8,E01000715,1,1,1.0
2009-8,E01000726,1,1,1.0
2009-8,E01000728,1,1,1.0
2009-8,E01000729,5,2,2.5
2009-8,E01000737,3,1,3.0
2009-8,E01000739,9,2,4.5
2009-8,E01000753,1,1,1.0
2009-8,E01000772,1,1,1.0
2009-8,E01000780,1,1,1.0
2009-8,E01000787,2,1,2.0
2009-8,E01000794,1,1,1.0
2009-8,E01000807,1,1,1.0
2009-8,E01000850,2,2,1.0
2009-8,E01000852,1,1,1.0
2009-8,E01000855,1,1,1.0
2009-8,E01000865,1,1,1.0
2009-8,E01000888,1,1,1.0
2009-8,E01000945,3,2,1.5
2009-8,E01001047,2,1,2.0
2009-8,E01001048,1,1,1.0
2009-8,E01001060,1,1,1.0
2009-8,E01001097,1,1,1.0
2009-8,E01001118,1,1,1.0
2009-8,E01001122,1,1,1.0
2009-8,E01001126,1,1,1.0
2009-8,E01001153,1,1,1.0
2009-8,E01001182,2,1,2.0
2009-8,E01001209,1,1,1.0
2009-8,E01001242,1,1,1.0
2009-8,E01001252,2,1,2.0
2009-8,E01001253,1,1,1.0
2009-8,E01001283,1,1,1.0
2009-8,E01001305,2,1,2.0
2009-8,E01001313,1,1,1.0
2009-8,E01001314,1,1,1.0
2009-8,E01001337,1,1,1.0
2009-8,E01001351,2,2,1.0
2009-8,E01001373,1,1,1.0
2009-8,E01001376,2,1,2.0
2009-8,E01001381,2,2,1.0
2009-8,E01001393,2,1,2.0
2009-8,E01001405,1,1,1.0
2009-8,E01001420,1,1,1.0
2009-8,E01001448,1,1,1.0
2009-8,E01001469,1,1,1.0
2009-8,E01001485,1,1,1.0
2009-8,E01001552,1,1,1.0
2009-8,E01001554,1,1,1.0
2009-8,E01001578,1,1,1.0
2009-8,E01001581,3,1,3.0
2009-8,E01001592,2,2,1.0
2009-8,E01001634,1,1,1.0
2009-8,E01001636,1,1,1.0
2009-8,E01001641,1,1,1.0
2009-8,E01001645,1,1,1.0
2009-8,E01001646,1,1,1.0
2009-8,E01001666,1,1,1.0
2009-8,E01001667,1,1,1.0
2009-8,E01001675,1,1,1.0
2009-8,E01001715,2,2,1.0
2009-8,E01001725,2,1,2.0
2009-8,E01001731,1,1,1.0
2009-8,E01001734,1,1,1.0
2009-8,E01001735,1,1,1.0
2009-8,E01001748,1,1,1.0
2009-8,E01001759,1,1,1.0
2009-8,E01001760,1,1,1.0
2009-8,E01001761,2,2,1.0
2009-8,E01001779,1,1,1.0
2009-8,E01001788,1,1,1.0
2009-8,E01001789,1,1,1.0
2009-8,E01001802,1,1,1.0
2009-8,E01001826,1,1,1.0
2009-8,E01001831,1,1,1.0
2009-8,E01001839,1,1,1.0
2009-8,E01001874,2,2,1.0
2009-8,E01001888,1,1,1.0
2009-8,E01001898,1,1,1.0
2009-8,E01001915,1,1,1.0
2009-8,E01001925,3,1,3.0
2009-8,E01001955,1,1,1.0
2009-8,E01001971,1,1,1.0
2009-8,E01001972,1,1,1.0
2009-8,E01001974,1,1,1.0
2009-8,E01001982,1,1,1.0
2009-8,E01001984,2,1,2.0
2009-8,E01001988,1,1,1.0
2009-8,E01001990,1,1,1.0
2009-8,E01002004,1,1,1.0
2009-8,E01002005,1,1,1.0
2009-8,E01002011,1,1,1.0
2009-8,E01002014,2,2,1.0
2009-8,E01002029,1,1,1.0
2009-8,E01002043,4,2,2.0
2009-8,E01002063,1,1,1.0
2009-8,E01002073,1,1,1.0
2009-8,E01002076,1,1,1.0
2009-8,E01002077,1,1,1.0
2009-8,E01002084,1,1,1.0
2009-8,E01002102,1,1,1.0
2009-8,E01002115,1,1,1.0
2009-8,E01002117,2,1,2.0
2009-8,E01002135,1,1,1.0
2009-8,E01002137,1,1,1.0
2009-8,E01002155,2,2,1.0
2009-8,E01002158,4,1,4.0
2009-8,E01002162,1,1,1.0
2009-8,E01002173,1,1,1.0
2009-8,E01002194,1,1,1.0
2009-8,E01002287,1,1,1.0
2009-8,E01002293,1,1,1.0
2009-8,E01002367,1,1,1.0
2009-8,E01002378,1,1,1.0
2009-8,E01002396,1,1,1.0
2009-8,E01002415,1,1,1.0
2009-8,E01002466,2,1,2.0
2009-8,E01002472,1,1,1.0
2009-8,E01002478,1,1,1.0
2009-8,E01002519,1,1,1.0
2009-8,E01002535,1,1,1.0
2009-8,E01002548,1,1,1.0
2009-8,E01002555,1,1,1.0
2009-8,E01002565,1,1,1.0
2009-8,E01002574,1,1,1.0
2009-8,E01002617,1,1,1.0
2009-8,E01002628,1,1,1.0
2009-8,E01002633,1,1,1.0
2009-8,E01002679,1,1,1.0
2009-8,E01002681,1,1,1.0
2009-8,E01002682,1,1,1.0
2009-8,E01002726,1,1,1.0
2009-8,E01002735,1,1,1.0
2009-8,E01002744,1,1,1.0
2009-8,E01002759,1,1,1.0
2009-8,E01002766,1,1,1.0
2009-8,E01002770,1,1,1.0
2009-8,E01002776,1,1,1.0
2009-8,E01002778,1,1,1.0
2009-8,E01002839,1,1,1.0
2009-8,E01002869,1,1,1.0
2009-8,E01002909,1,1,1.0
2009-8,E01002930,3,3,1.0
2009-8,E01002932,1,1,1.0
2009-8,E01002937,1,1,1.0
2009-8,E01002963,1,1,1.0
2009-8,E01002965,1,1,1.0
2009-8,E01002967,2,1,2.0
2009-8,E01002970,1,1,1.0
2009-8,E01002973,1,1,1.0
2009-8,E01002981,1,1,1.0
2009-8,E01002985,1,1,1.0
2009-8,E01003023,1,1,1.0
2009-8,E01003028,1,1,1.0
2009-8,E01003034,3,2,1.5
2009-8,E01003035,1,1,1.0
2009-8,E01003036,1,1,1.0
2009-8,E01003050,1,1,1.0
2009-8,E01003053,1,1,1.0
2009-8,E01003055,1,1,1.0
2009-8,E01003072,1,1,1.0
2009-8,E01003074,1,1,1.0
2009-8,E01003079,1,1,1.0
2009-8,E01003092,1,1,1.0
2009-8,E01003095,1,1,1.0
2009-8,E01003109,2,1,2.0
2009-8,E01003113,1,1,1.0
2009-8,E01003114,1,1,1.0
2009-8,E01003118,1,1,1.0
2009-8,E01003129,1,1,1.0
2009-8,E01003135,1,1,1.0
2009-8,E01003136,1,1,1.0
2009-8,E01003138,1,1,1.0
2009-8,E01003139,1,1,1.0
2009-8,E01003164,1,1,1.0
2009-8,E01003169,2,1,2.0
2009-8,E01003180,1,1,1.0
2009-8,E01003198,1,1,1.0
2009-8,E01003200,1,1,1.0
2009-8,E01003212,1,1,1.0
2009-8,E01003225,2,2,1.0
2009-8,E01003226,1,1,1.0
2009-8,E01003227,2,1,2.0
2009-8,E01003228,1,1,1.0
2009-8,E01003229,1,1,1.0
2009-8,E01003230,1,1,1.0
2009-8,E01003231,2,1,2.0
2009-8,E01003232,3,1,3.0
2009-8,E01003233,3,1,3.0
2009-8,E01003250,1,1,1.0
2009-8,E01003255,1,1,1.0
2009-8,E01003258,1,1,1.0
2009-8,E01003277,1,1,1.0
2009-8,E01003285,1,1,1.0
2009-8,E01003287,1,1,1.0
2009-8,E01003309,1,1,1.0
2009-8,E01003327,1,1,1.0
2009-8,E01003335,1,1,1.0
2009-8,E01003336,1,1,1.0
2009-8,E01003351,1,1,1.0
2009-8,E01003359,1,1,1.0
2009-8,E01003362,1,1,1.0
2009-8,E01003363,1,1,1.0
2009-8,E01003380,1,1,1.0
2009-8,E01003397,1,1,1.0
