period,LSOA,report_count,user_count,average
2010,,7,6,1.1666666666666667
2010,E01000001,2,2,1.0
2010,E01000002,1,1,1.0
2010,E01000003,1,1,1.0
2010,E01000005,7,6,1.1666666666666667
2010,E01000006,2,2,1.0
2010,E01000007,2,1,2.0
2010,E01000009,4,1,4.0
2010,E01000010,2,2,1.0
2010,E01000012,1,1,1.0
2010,E01000019,1,1,1.0
2010,E01000028,1,1,1.0
2010,E01000032,1,1,1.0
2010,E01000040,3,1,3.0
2010,E01000043,1,1,1.0
2010,E01000044,7,2,3.5
2010,E01000050,2,2,1.0
2010,E01000057,1,1,1.0
2010,E01000060,1,1,1.0
2010,E01000061,3,3,1.0
2010,E01000064,1,1,1.0
2010,E01000066,5,2,2.5
2010,E01000068,2,2,1.0
2010,E01000070,2,1,2.0
2010,E01000071,3,2,1.5
2010,E01000072,2,2,1.0
2010,E01000079,1,1,1.0
2010,E01000082,1,1,1.0
2010,E01000095,2,1,2.0
2010,E01000097,1,1,1.0
2010,E01000100,2,1,2.0
2010,E01000105,3,2,1.5
2010,E01000113,3,1,3.0
2010,E01000114,1,1,1.0
2010,E01000115,24,5,4.8
2010,E01000116,1,1,1.0
2010,E01000117,4,3,1.3333333333333333
2010,E01000119,1,1,1.0
2010,E01000120,2,1,2.0
2010,E01000123,1,1,1.0
2010,E01000124,2,2,1.0
2010,E01000125,4,3,1.3333333333333333
2010,E01000126,11,3,3.6666666666666665
2010,E01000127,2,1,2.0
2010,E01000128,3,2,1.5
2010,E01000129,8,2,4.0
2010,E01000130,3,3,1.0
2010,E01000131,2,1,2.0
2010,E01000132,1,1,1.0
2010,E01000134,2,2,1.0
2010,E01000135,3,2,1.5
2010,E01000136,4,3,1.3333333333333333
2010,E01000137,2,2,1.0
2010,E01000138,1,1,1.0
2010,E01000140,4,2,2.0
2010,E01000141,3,2,1.5
2010,E01000142,1,1,1.0
2010,E01000144,1,1,1.0
2010,E01000146,3,3,1.0
2010,E01000148,3,3,1.0
2010,E01000150,3,3,1.0
2010,E01000151,2,2,1.0
2010,E01000152,1,1,1.0
2010,E01000154,2,1,2.0
2010,E01000155,4,3,1.3333333333333333
2010,E01000156,1,1,1.0
2010,E01000157,2,2,1.0
2010,E01000158,1,1,1.0
2010,E01000159,4,3,1.3333333333333333
2010,E01000160,6,4,1.5
2010,E01000161,2,2,1.0
2010,E01000164,2,2,1.0
2010,E01000165,3,1,3.0
2010,E01000167,1,1,1.0
2010,E01000168,1,1,1.0
2010,E01000169,5,4,1.25
2010,E01000170,6,5,1.2
2010,E01000171,10,6,1.6666666666666667
2010,E01000173,8,4,2.0
2010,E01000174,14,5,2.8
2010,E01000175,4,3,1.3333333333333333
2010,E01000177,1,1,1.0
2010,E01000178,1,1,1.0
2010,E01000180,2,2,1.0
2010,E01000181,5,5,1.0
2010,E01000182,5,4,1.25
2010,E01000183,1,1,1.0
2010,E01000187,1,1,1.0
2010,E01000188,10,8,1.25
2010,E01000189,2,1,2.0
2010,E01000190,2,1,2.0
2010,E01000191,1,1,1.0
2010,E01000192,3,3,1.0
2010,E01000193,3,3,1.0
2010,E01000194,1,1,1.0
2010,E01000195,1,1,1.0
2010,E01000197,2,2,1.0
2010,E01000198,1,1,1.0
2010,E01000199,2,2,1.0
2010,E01000201,3,2,1.5
2010,E01000202,1,1,1.0
2010,E01000203,4,2,2.0
2010,E01000204,1,1,1.0
2010,E01000205,2,2,1.0
2010,E01000207,2,2,1.0
2010,E01000208,1,1,1.0
2010,E01000209,3,3,1.0
2010,E01000210,2,2,1.0
2010,E01000211,1,1,1.0
2010,E01000212,2,2,1.0
2010,E01000213,1,1,1.0
2010,E01000214,1,1,1.0
2010,E01000215,3,3,1.0
2010,E01000219,3,3,1.0
2010,E01000220,1,1,1.0
2010,E01000221,3,1,3.0
2010,E01000222,1,1,1.0
2010,E01000223,3,3,1.0
2010,E01000224,1,1,1.0
2010,E01000225,2,2,1.0
2010,E01000226,1,1,1.0
2010,E01000227,1,1,1.0
2010,E01000228,4,3,1.3333333333333333
2010,E01000229,1,1,1.0
2010,E01000230,3,2,1.5
2010,E01000231,2,2,1.0
2010,E01000232,1,1,1.0
2010,E01000233,6,5,1.2
2010,E01000235,3,2,1.5
2010,E01000236,7,6,1.1666666666666667
2010,E01000237,4,4,1.0
2010,E01000238,7,4,1.75
2010,E01000239,2,2,1.0
2010,E01000240,2,2,1.0
2010,E01000241,2,2,1.0
2010,E01000242,4,3,1.3333333333333333
2010,E01000243,4,3,1.3333333333333333
2010,E01000244,1,1,1.0
2010,E01000246,3,3,1.0
2010,E01000247,3,3,1.0
