lsoa,reports,unique_users,average_per_user
95AA01S1,1,1,1.0
95AA09W1,1,1,1.0
95AA11S2,1,1,1.0
95AA12W1,1,1,1.0
95AA13S2,1,1,1.0
95AA15S2,1,1,1.0
95BB01S2,2,2,1.0
95BB07S1,1,1,1.0
95BB10S2,1,1,1.0
95BB11S2,3,1,3.0
95BB19S3,2,2,1.0
95BB21S2,1,1,1.0
95DD02S1,1,1,1.0
95DD09W1,1,1,1.0
95DD14S1,2,2,1.0
95DD19S1,1,1,1.0
95EE01W1,1,1,1.0
95EE08W1,1,1,1.0
95FF01S2,1,1,1.0
95GG01S2,1,1,1.0
95GG05S1,1,1,1.0
95GG06S2,1,1,1.0
95GG08S2,1,1,1.0
95GG09S1,1,1,1.0
95GG09S3,1,1,1.0
95GG12S1,1,1,1.0
95GG12S3,1,1,1.0
95GG13S2,1,1,1.0
95GG13S3,1,1,1.0
95GG15S2,1,1,1.0
95GG20S1,1,1,1.0
95GG22S2,1,1,1.0
95GG25S1,1,1,1.0
95GG37S3,1,1,1.0
95GG38S1,3,2,1.5
95GG41S3,1,1,1.0
95GG51S3,1,1,1.0
95HH04S2,2,2,1.0
95HH06S2,2,2,1.0
95HH08W1,1,1,1.0
95HH13W1,1,1,1.0
95HH14W1,1,1,1.0
95HH17W1,2,2,1.0
95II04S1,2,1,2.0
95II04S2,1,1,1.0
95II06S2,1,1,1.0
95II08W1,1,1,1.0
95II11W1,3,2,1.5
95II14W1,1,1,1.0
95II15S1,1,1,1.0
95II16W1,1,1,1.0
95II17W1,2,2,1.0
95II20W1,1,1,1.0
95JJ02W1,1,1,1.0
95JJ04S1,1,1,1.0
95JJ14W1,1,1,1.0
95JJ20S1,1,1,1.0
95KK02W1,1,1,1.0
95LL05S1,1,1,1.0
95LL16S2,5,3,1.6666666666666667
95MM15S2,1,1,1.0
95MM18S1,2,1,2.0
95MM18S2,1,1,1.0
95NN15W1,1,1,1.0
95NN19S2,1,1,1.0
95NN20W1,3,2,1.5
95PP04W1,2,1,2.0
95PP07W1,1,1,1.0
95PP10W1,1,1,1.0
95PP18W1,1,1,1.0
95PP19W1,1,1,1.0
95PP21W1,1,1,1.0
95QQ11W1,1,1,1.0
95QQ14S1,1,1,1.0
95SS01S1,1,1,1.0
95SS01S2,1,1,1.0
95SS02S2,2,2,1.0
95SS04S2,1,1,1.0
95SS05S2,1,1,1.0
95SS08S1,3,1,3.0
95SS15S2,1,1,1.0
95SS20W1,2,2,1.0
95SS21S2,1,1,1.0
95SS23S2,1,1,1.0
