period,LSOA,report_count,user_count,average
2016-1,,1,1,1.0
2016-1,95BB12S2,1,1,1.0
2016-1,95BB21S2,2,1,2.0
2016-1,95DD21W1,1,1,1.0
2016-1,95GG09S1,1,1,1.0
2016-1,95GG12S2,1,1,1.0
2016-1,95GG12S3,2,1,2.0
2016-1,95GG16S2,1,1,1.0
2016-1,95GG20S2,1,1,1.0
2016-1,95GG25S1,1,1,1.0
2016-1,95GG36S1,1,1,1.0
2016-1,95GG37S1,1,1,1.0
2016-1,95HH08W1,1,1,1.0
2016-1,95HH17W1,1,1,1.0
2016-1,95II01S2,1,1,1.0
2016-1,95II04S1,3,1,3.0
2016-1,95II18W1,1,1,1.0
2016-1,95JJ09W1,1,1,1.0
2016-1,95KK07W1,1,1,1.0
2016-1,95LL23W1,2,1,2.0
2016-1,95MM25S2,1,1,1.0
2016-1,95PP21W1,3,1,3.0
2016-1,95SS02S2,1,1,1.0
2016-1,95SS03S1,1,1,1.0
2016-1,95SS05S1,1,1,1.0
2016-1,95SS09S1,1,1,1.0
2016-1,95SS27W1,1,1,1.0
2016-1,95SS29S1,1,1,1.0
2016-1,95VV05S2,1,1,1.0
2016-1,95WW24S2,1,1,1.0
2016-1,95WW25W1,1,1,1.0
2016-1,95XX03S1,1,1,1.0
2016-1,95XX24S1,2,1,2.0
2016-1,E01000001,1,1,1.0
2016-1,E01000008,1,1,1.0
2016-1,E01000009,2,1,2.0
2016-1,E01000010,1,1,1.0
2016-1,E01000037,1,1,1.0
2016-1,E01000038,4,1,4.0
2016-1,E01000040,2,1,2.0
2016-1,E01000044,1,1,1.0
2016-1,E01000050,1,1,1.0
2016-1,E01000052,1,1,1.0
2016-1,E01000061,1,1,1.0
2016-1,E01000068,2,1,2.0
2016-1,E01000070,1,1,1.0
2016-1,E01000074,1,1,1.0
2016-1,E01000076,1,1,1.0
2016-1,E01000082,1,1,1.0
2016-1,E01000095,1,1,1.0
2016-1,E01000115,1,1,1.0
2016-1,E01000117,1,1,1.0
2016-1,E01000121,1,1,1.0
2016-1,E01000123,1,1,1.0
2016-1,E01000125,1,1,1.0
2016-1,E01000126,1,1,1.0
2016-1,E01000129,1,1,1.0
