lsoa,reports,unique_users,average_per_user
95AA01S1,3,3,1.0
95AA01S3,1,1,1.0
95AA04W1,3,3,1.0
95AA06S1,2,2,1.0
95AA07W1,2,2,1.0
95AA09W1,3,3,1.0
95AA11S1,3,3,1.0
95AA11S2,3,3,1.0
95AA12W1,1,1,1.0
95AA13S2,2,2,1.0
95AA14W1,1,1,1.0
95AA15S1,5,3,1.6666666666666667
95AA15S2,2,2,1.0
95AA16W1,4,1,4.0
95AA17W1,16,2,8.0
95AA19W1,1,1,1.0
95BB01S1,12,9,1.3333333333333333
95BB01S2,18,13,1.3846153846153846
95BB02W1,7,2,3.5
95BB03S1,1,1,1.0
95BB03S2,7,6,1.1666666666666667
95BB04S1,2,2,1.0
95BB04S2,5,3,1.6666666666666667
95BB05S1,3,3,1.0
95BB05S2,3,2,1.5
95BB06W1,9,7,1.2857142857142858
95BB07S1,6,6,1.0
95BB07S2,16,3,5.333333333333333
95BB08S1,1,1,1.0
95BB08S2,10,1,10.0
95BB09S1,6,6,1.0
95BB09S2,2,1,2.0
95BB10S1,5,2,2.5
95BB10S2,2,2,1.0
95BB11S1,1,1,1.0
95BB11S2,11,3,3.6666666666666665
95BB12S1,2,2,1.0
95BB12S2,11,1,11.0
95BB13S1,2,2,1.0
95BB13S3,3,3,1.0
95BB14S1,3,2,1.5
95BB14S2,5,2,2.5
95BB15S1,20,2,10.0
95BB15S2,1,1,1.0
95BB16S1,8,7,1.1428571428571428
95BB16S2,5,5,1.0
95BB17S1,2,2,1.0
95BB17S2,6,6,1.0
95BB18S1,4,3,1.3333333333333333
95BB18S2,5,4,1.25
95BB19S2,1,1,1.0
95BB19S3,5,3,1.6666666666666667
95BB20S2,2,2,1.0
95BB21S2,26,4,6.5
95BB22S1,15,3,5.0
95BB23S1,1,1,1.0
95CC01W1,1,1,1.0
95CC03W1,2,1,2.0
95CC05W1,1,1,1.0
95CC06S1,3,3,1.0
95CC06S2,1,1,1.0
95CC08W1,2,1,2.0
95CC09S1,1,1,1.0
95CC09S2,1,1,1.0
95CC13W1,1,1,1.0
95CC15W1,2,1,2.0
95CC16W1,4,2,2.0
95CC17W1,2,2,1.0
95CC18W1,4,4,1.0
95CC19W1,9,2,4.5
95CC20S1,1,1,1.0
95DD01W1,1,1,1.0
95DD02S1,13,4,3.25
95DD02S2,1,1,1.0
95DD03W1,7,4,1.75
95DD04W1,3,2,1.5
95DD05W1,2,2,1.0
95DD08W1,2,2,1.0
95DD09W1,2,2,1.0
95DD14S1,3,3,1.0
95DD14S2,1,1,1.0
95DD15W1,2,2,1.0
95DD17W1,1,1,1.0
95DD19S1,3,3,1.0
95DD21W1,3,3,1.0
95DD22S2,1,1,1.0
95DD24W1,1,1,1.0
95EE01W1,1,1,1.0
95EE02W1,2,2,1.0
95EE03W1,1,1,1.0
95EE05W1,7,2,3.5
95EE08W1,1,1,1.0
95EE10W1,1,1,1.0
95EE11W1,1,1,1.0
95FF01S2,4,4,1.0
95FF03W1,4,2,2.0
95FF05W1,3,3,1.0
95FF06S1,1,1,1.0
95FF06S2,1,1,1.0
95FF09W1,1,1,1.0
95FF10W1,1,1,1.0
95FF13W1,1,1,1.0
95FF17W1,1,1,1.0
95GG01S1,1,1,1.0
95GG01S2,2,2,1.0
95GG01S3,3,2,1.5
95GG03S1,2,2,1.0
95GG03S2,1,1,1.0
95GG03S3,4,4,1.0
95GG04S1,6,6,1.0
95GG04S2,1,1,1.0
95GG04S3,1,1,1.0
95GG05S1,1,1,1.0
95GG05S3,3,3,1.0
95GG06S1,4,4,1.0
95GG06S2,5,3,1.6666666666666667
95GG06S3,20,4,5.0
95GG07S2,2,2,1.0
95GG08S1,4,1,4.0
95GG08S2,5,2,2.5
95GG08S3,14,1,14.0
95GG09S1,6,3,2.0
95GG09S2,1,1,1.0
95GG09S3,6,5,1.2
95GG10S2,6,3,2.0
95GG11S1,3,2,1.5
95GG11S2,2,2,1.0
95GG11S3,1,1,1.0
95GG12S1,11,9,1.2222222222222223
95GG12S2,13,6,2.1666666666666665
95GG12S3,17,5,3.4
95GG12S4,8,4,2.0
95GG13S1,1,1,1.0
95GG13S2,3,3,1.0
95GG13S3,10,2,5.0
95GG14S1,5,2,2.5
95GG14S2,5,3,1.6666666666666667
95GG14S3,1,1,1.0
95GG15S1,3,3,1.0
95GG15S2,3,2,1.5
95GG15S3,6,2,3.0
95GG16S1,1,1,1.0
95GG16S2,5,1,5.0
95GG16S3,4,4,1.0
95GG17S1,1,1,1.0
95GG17S3,3,2,1.5
95GG18S2,5,3,1.6666666666666667
95GG19S2,1,1,1.0
95GG20S1,8,7,1.1428571428571428
95GG20S2,2,1,2.0
95GG21S1,4,3,1.3333333333333333
95GG21S2,1,1,1.0
95GG21S3,2,2,1.0
95GG22S1,3,2,1.5
95GG22S2,4,4,1.0
95GG22S3,1,1,1.0
95GG23S1,2,2,1.0
95GG23S2,2,2,1.0
95GG24S1,4,4,1.0
95GG25S1,2,2,1.0
95GG26S1,1,1,1.0
95GG26S2,3,3,1.0
95GG27S1,1,1,1.0
95GG28S1,1,1,1.0
95GG28S2,1,1,1.0
95GG28S3,1,1,1.0
95GG29S1,4,3,1.3333333333333333
95GG29S2,3,3,1.0
95GG30S1,1,1,1.0
95GG30S2,6,4,1.5
95GG30S3,1,1,1.0
95GG31S1,1,1,1.0
95GG31S2,2,2,1.0
95GG31S3,1,1,1.0
95GG32S1,3,3,1.0
95GG32S2,3,1,3.0
95GG32S3,1,1,1.0
95GG33S1,2,2,1.0
95GG33S2,3,2,1.5
95GG33S3,4,4,1.0
95GG34S1,3,2,1.5
95GG34S2,6,4,1.5
95GG34S3,3,3,1.0
95GG35S1,3,3,1.0
95GG36S1,3,3,1.0
95GG36S2,3,2,1.5
95GG36S3,2,2,1.0
95GG37S1,7,4,1.75
95GG37S2,1,1,1.0
95GG37S3,2,2,1.0
95GG38S1,6,3,2.0
95GG38S2,1,1,1.0
95GG39S1,7,6,1.1666666666666667
95GG39S2,3,3,1.0
95GG39S3,6,5,1.2
95GG40S1,1,1,1.0
95GG40S2,1,1,1.0
95GG41S1,1,1,1.0
95GG41S2,3,3,1.0
95GG41S3,5,5,1.0
95GG42S1,2,2,1.0
95GG42S3,2,2,1.0
95GG42S4,2,2,1.0
95GG43S1,3,2,1.5
95GG43S3,2,1,2.0
95GG44S1,4,4,1.0
95GG44S2,3,3,1.0
95GG45S1,3,3,1.0
95GG45S3,2,2,1.0
95GG46S1,1,1,1.0
95GG46S2,2,2,1.0
95GG46S3,1,1,1.0
95GG47S1,3,3,1.0
95GG47S3,3,2,1.5
95GG48S2,2,2,1.0
95GG49S1,1,1,1.0
95GG49S2,8,5,1.6
95GG49S3,3,3,1.0
