period,LSOA,SHEF_A_CODE,report_count,user_count,average
2010-11,,A81,1,1,1.0
2010-11,E01000115,A54,2,1,2.0
2010-11,E01000120,A54,1,1,1.0
2010-11,E01000137,A54,1,1,1.0
2010-11,E01000140,A12,1,1,1.0
2010-11,E01000160,A83,1,1,1.0
2010-11,E01000170,A57,1,1,1.0
2010-11,E01000182,A83,1,1,1.0
2010-11,E01000183,A60,1,1,1.0
2010-11,E01000187,A54,1,1,1.0
2010-11,E01000189,A60,1,1,1.0
2010-11,E01000203,A1,1,1,1.0
2010-11,E01000207,A86,1,1,1.0
2010-11,E01000210,A79,1,1,1.0
2010-11,E01000212,A57,1,1,1.0
2010-11,E01000238,A54,1,1,1.0
2010-11,E01000238,A73,1,1,1.0
2010-11,E01000247,A79,1,1,1.0
2010-11,E01000258,A60,1,1,1.0
2010-11,E01000261,A41,1,1,1.0
2010-11,E01000263,A60,1,1,1.0
2010-11,E01000267,A41,1,1,1.0
2010-11,E01000270,A54,1,1,1.0
2010-11,E01000290,A54,1,1,1.0
2010-11,E01000298,A54,2,1,2.0
2010-11,E01000300,A81,1,1,1.0
2010-11,E01000304,A29,1,1,1.0
2010-11,E01000313,A82,1,1,1.0
2010-11,E01000401,A56,1,1,1.0
2010-11,E01000406,A54,1,1,1.0
2010-11,E01000407,A57,1,1,1.0
2010-11,E01000428,A29,1,1,1.0
2010-11,E01000447,A12,1,1,1.0
2010-11,E01000469,A29,1,1,1.0
2010-11,E01000486,A29,1,1,1.0
2010-11,E01000501,A54,1,1,1.0
2010-11,E01000520,A81,1,1,1.0
2010-11,E01000530,A20,1,1,1.0
2010-11,E01000553,A29,1,1,1.0
2010-11,E01000553,A33,1,1,1.0
2010-11,E01000553,A54,1,1,1.0
2010-11,E01000554,A29,3,2,1.5
2010-11,E01000555,A81,1,1,1.0
2010-11,E01000584,A54,1,1,1.0
2010-11,E01000587,A29,1,1,1.0
2010-11,E01000590,A1,1,1,1.0
2010-11,E01000590,A29,1,1,1.0
2010-11,E01000590,A54,1,1,1.0
2010-11,E01000590,A79,2,1,2.0
2010-11,E01000591,A33,1,1,1.0
2010-11,E01000591,A81,1,1,1.0
2010-11,E01000602,A57,1,1,1.0
2010-11,E01000628,A60,1,1,1.0
