lsoa,SHEF_A_CODE,reports,unique_users,average_per_user
E01000040,A1,1,1,1.0
E01000082,A1,1,1,1.0
E01000126,A1,1,1,1.0
E01000127,A1,1,1,1.0
E01000151,A1,1,1,1.0
E01000152,A1,1,1,1.0
E01000169,A1,1,1,1.0
E01000173,A1,1,1,1.0
E01000203,A1,1,1,1.0
E01000228,A1,1,1,1.0
E01000246,A1,1,1,1.0
E01000257,A1,1,1,1.0
E01000272,A1,1,1,1.0
E01000294,A1,1,1,1.0
E01000296,A1,1,1,1.0
E01000317,A1,1,1,1.0
E01000335,A1,1,1,1.0
E01000379,A1,1,1,1.0
E01000414,A1,1,1,1.0
E01000428,A1,1,1,1.0
E01000463,A1,1,1,1.0
E01000470,A1,1,1,1.0
E01000471,A1,2,1,2.0
E01000499,A1,1,1,1.0
E01000503,A1,2,1,2.0
E01000553,A1,1,1,1.0
E01000590,A1,1,1,1.0
E01000600,A1,2,2,1.0
E01000617,A1,1,1,1.0
E01000664,A1,1,1,1.0
E01000682,A1,1,1,1.0
E01000705,A1,1,1,1.0
E01000707,A1,1,1,1.0
E01000718,A1,1,1,1.0
E01000741,A1,1,1,1.0
E01000752,A1,1,1,1.0
E01000764,A1,3,2,1.5
E01000800,A1,1,1,1.0
E01000802,A1,1,1,1.0
E01000804,A1,1,1,1.0
E01000848,A1,1,1,1.0
E01000855,A1,1,1,1.0
E01000859,A1,1,1,1.0
E01001090,A1,1,1,1.0
E01001143,A1,1,1,1.0
E01001148,A1,1,1,1.0
E01001199,A1,1,1,1.0
E01001253,A1,1,1,1.0
E01001343,A1,3,2,1.5
E01001365,A1,2,1,2.0
E01001422,A1,1,1,1.0
E01001469,A1,1,1,1.0
E01001525,A1,1,1,1.0
E01001560,A1,1,1,1.0
E01001580,A1,1,1,1.0
E01001594,A1,1,1,1.0
E01001595,A1,1,1,1.0
E01001651,A1,1,1,1.0
E01001760,A1,1,1,1.0
E01001791,A1,1,1,1.0
E01001793,A1,1,1,1.0
E01001812,A1,1,1,1.0
E01001814,A1,1,1,1.0
E01001824,A1,1,1,1.0
E01001840,A1,1,1,1.0
E01001927,A1,1,1,1.0
E01001983,A1,1,1,1.0
E01001994,A1,1,1,1.0
E01002061,A1,1,1,1.0
E01002076,A1,1,1,1.0
E01002123,A1,1,1,1.0
E01002138,A1,1,1,1.0
E01002178,A1,1,1,1.0
E01002188,A1,1,1,1.0
E01002209,A1,1,1,1.0
E01002212,A1,1,1,1.0
E01002214,A1,1,1,1.0
E01002243,A1,1,1,1.0
E01002257,A1,1,1,1.0
E01002329,A1,1,1,1.0
E01002332,A1,1,1,1.0
E01002399,A1,1,1,1.0
E01002401,A1,2,1,2.0
E01002431,A1,1,1,1.0
E01002520,A1,1,1,1.0
E01002523,A1,1,1,1.0
E01002534,A1,1,1,1.0
E01002540,A1,1,1,1.0
E01002562,A1,1,1,1.0
E01002567,A1,2,2,1.0
E01002613,A1,1,1,1.0
E01002635,A1,2,1,2.0
E01002647,A1,3,1,3.0
E01002657,A1,1,1,1.0
E01002683,A1,1,1,1.0
E01002698,A1,1,1,1.0
E01002699,A1,1,1,1.0
E01002778,A1,1,1,1.0
E01002928,A1,1,1,1.0
E01002935,A1,1,1,1.0
E01003004,A1,1,1,1.0
E01003026,A1,1,1,1.0
E01003131,A1,3,1,3.0
E01003177,A1,1,1,1.0
E01003190,A1,1,1,1.0
E01003211,A1,1,1,1.0
E01003230,A1,2,1,2.0
E01003233,A1,1,1,1.0
E01003277,A1,1,1,1.0
E01003292,A1,1,1,1.0
E01003313,A1,1,1,1.0
E01003323,A1,1,1,1.0
E01003342,A1,1,1,1.0
E01003343,A1,1,1,1.0
E01003367,A1,1,1,1.0
E01003395,A1,1,1,1.0
E01003419,A1,1,1,1.0
E01003482,A1,1,1,1.0
E01003547,A1,1,1,1.0
E01003551,A1,1,1,1.0
E01003558,A1,2,1,2.0
E01003640,A1,1,1,1.0
E01003666,A1,1,1,1.0
E01003670,A1,1,1,1.0
E01003700,A1,1,1,1.0
E01003709,A1,1,1,1.0
E01003727,A1,1,1,1.0
E01003757,A1,1,1,1.0
E01003760,A1,1,1,1.0
E01003761,A1,1,1,1.0
E01003804,A1,1,1,1.0
E01003829,A1,1,1,1.0
E01003882,A1,1,1,1.0
E01003886,A1,1,1,1.0
E01003899,A1,2,1,2.0
E01003927,A1,1,1,1.0
E01003951,A1,2,2,1.0
E01003975,A1,1,1,1.0
E01003990,A1,1,1,1.0
E01003997,A1,1,1,1.0
E01004016,A1,1,1,1.0
E01004018,A1,1,1,1.0
E01004050,A1,4,1,4.0
E01004062,A1,1,1,1.0
E01004178,A1,1,1,1.0
E01004184,A1,1,1,1.0
E01004221,A1,1,1,1.0
E01004359,A1,1,1,1.0
E01004442,A1,1,1,1.0
E01004460,A1,1,1,1.0
E01004465,A1,1,1,1.0
E01004466,A1,1,1,1.0
E01004481,A1,1,1,1.0
E01004497,A1,1,1,1.0
E01004511,A1,1,1,1.0
E01004534,A1,1,1,1.0
E01004562,A1,1,1,1.0
E01004628,A1,1,1,1.0
E01004634,A1,1,1,1.0
E01004635,A1,2,2,1.0
E01004677,A1,1,1,1.0
E01004774,A1,1,1,1.0
E01004776,A1,1,1,1.0
E01004857,A1,1,1,1.0
E01004892,A1,1,1,1.0
E01004902,A1,1,1,1.0
E01005035,A1,1,1,1.0
E01005059,A1,1,1,1.0
E01005092,A1,1,1,1.0
E01005177,A1,1,1,1.0
E01005207,A1,1,1,1.0
E01005381,A1,1,1,1.0
E01005451,A1,1,1,1.0
E01005465,A1,1,1,1.0
E01005470,A1,1,1,1.0
E01005730,A1,1,1,1.0
E01005760,A1,1,1,1.0
E01005793,A1,1,1,1.0
E01005797,A1,1,1,1.0
E01005896,A1,1,1,1.0
E01005905,A1,1,1,1.0
E01006044,A1,1,1,1.0
E01006134,A1,1,1,1.0
E01006176,A1,1,1,1.0
E01006272,A1,1,1,1.0
E01006311,A1,1,1,1.0
E01006371,A1,2,2,1.0
E01006417,A1,1,1,1.0
E01006588,A1,1,1,1.0
E01006927,A1,1,1,1.0
E01006977,A1,1,1,1.0
E01007020,A1,1,1,1.0
E01007229,A1,1,1,1.0
E01007269,A1,1,1,1.0
E01007270,A1,1,1,1.0
E01007428,A1,1,1,1.0
E01007718,A1,1,1,1.0
E01007834,A1,1,1,1.0
E01007899,A1,1,1,1.0
E01007915,A1,1,1,1.0
E01007983,A1,1,1,1.0
E01007991,A1,1,1,1.0
E01008095,A1,1,1,1.0
E01008161,A1,1,1,1.0
E01008260,A1,1,1,1.0
E01008293,A1,1,1,1.0
E01008344,A1,1,1,1.0
E01008347,A1,2,1,2.0
E01008420,A1,1,1,1.0
E01008467,A1,1,1,1.0
E01008526,A1,1,1,1.0
E01008582,A1,1,1,1.0
E01008867,A1,2,2,1.0
E01008958,A1,1,1,1.0
E01008963,A1,1,1,1.0
E01009003,A1,1,1,1.0
E01009009,A1,1,1,1.0
E01009069,A1,1,1,1.0
E01009112,A1,1,1,1.0
E01009158,A1,2,2,1.0
E01009165,A1,1,1,1.0
E01009173,A1,1,1,1.0
E01009175,A1,1,1,1.0
E01009265,A1,1,1,1.0
E01009271,A1,1,1,1.0
E01009283,A1,1,1,1.0
E01009286,A1,1,1,1.0
E01009320,A1,1,1,1.0
E01009380,A1,1,1,1.0
E01009385,A1,1,1,1.0
E01009413,A1,2,1,2.0
E01009469,A1,1,1,1.0
E01009566,A1,1,1,1.0
E01009915,A1,1,1,1.0
E01009925,A1,1,1,1.0
E01009935,A1,1,1,1.0
E01009963,A1,1,1,1.0
E01009995,A1,1,1,1.0
E01010006,A1,1,1,1.0
E01010019,A1,1,1,1.0
E01010065,A1,1,1,1.0
E01010100,A1,1,1,1.0
E01010159,A1,1,1,1.0
E01010202,A1,1,1,1.0
E01010316,A1,1,1,1.0
E01010330,A1,1,1,1.0
E01010502,A1,1,1,1.0
E01010556,A1,1,1,1.0
E01010671,A1,1,1,1.0
E01010685,A1,1,1,1.0
E01010695,A1,1,1,1.0
E01010921,A1,1,1,1.0
E01011147,A1,1,1,1.0
E01011154,A1,1,1,1.0
E01011156,A1,1,1,1.0
E01011199,A1,1,1,1.0
E01011205,A1,1,1,1.0
E01011464,A1,1,1,1.0
E01011859,A1,1,1,1.0
E01012066,A1,1,1,1.0
E01012138,A1,1,1,1.0
E01012328,A1,1,1,1.0
E01012366,A1,1,1,1.0
E01012376,A1,1,1,1.0
E01012529,A1,1,1,1.0
E01012580,A1,1,1,1.0
E01012614,A1,1,1,1.0
E01012630,A1,1,1,1.0
E01012654,A1,1,1,1.0
E01012843,A1,1,1,1.0
E01012909,A1,2,1,2.0
E01012938,A1,2,2,1.0
E01013209,A1,1,1,1.0
E01013226,A1,1,1,1.0
E01013333,A1,1,1,1.0
E01013463,A1,1,1,1.0
E01013812,A1,1,1,1.0
E01013977,A1,1,1,1.0
E01014031,A1,1,1,1.0
E01014076,A1,1,1,1.0
E01014176,A1,2,1,2.0
E01014302,A1,1,1,1.0
E01014489,A1,1,1,1.0
E01014505,A1,1,1,1.0
E01014514,A1,1,1,1.0
E01014534,A1,1,1,1.0
E01014549,A1,1,1,1.0
E01014562,A1,1,1,1.0
E01014565,A1,1,1,1.0
E01014572,A1,1,1,1.0
E01014575,A1,1,1,1.0
E01014609,A1,1,1,1.0
E01014651,A1,1,1,1.0
E01014671,A1,1,1,1.0
E01014672,A1,1,1,1.0
E01014675,A1,2,1,2.0
E01014699,A1,1,1,1.0
E01014732,A1,1,1,1.0
E01014736,A1,1,1,1.0
E01014737,A1,1,1,1.0
E01014754,A1,2,2,1.0
E01014795,A1,1,1,1.0
E01014848,A1,1,1,1.0
E01014875,A1,1,1,1.0
E01015022,A1,1,1,1.0
E01015051,A1,1,1,1.0
E01015062,A1,1,1,1.0
E01015082,A1,5,2,2.5
E01015091,A1,1,1,1.0
E01015145,A1,1,1,1.0
E01015165,A1,1,1,1.0
E01015177,A1,1,1,1.0
E01015227,A1,1,1,1.0
E01015236,A1,1,1,1.0
E01015273,A1,1,1,1.0
E01015279,A1,1,1,1.0
E01015286,A1,1,1,1.0
E01015288,A1,1,1,1.0
E01015338,A1,1,1,1.0
E01015398,A1,1,1,1.0
E01015479,A1,1,1,1.0
E01015518,A1,1,1,1.0
E01015568,A1,2,2,1.0
E01015583,A1,1,1,1.0
E01015651,A1,1,1,1.0
E01015669,A1,1,1,1.0
E01015681,A1,1,1,1.0
E01015694,A1,1,1,1.0
E01015703,A1,1,1,1.0
E01015745,A1,1,1,1.0
E01015767,A1,1,1,1.0
E01015993,A1,1,1,1.0
E01016021,A1,1,1,1.0
E01016023,A1,1,1,1.0
E01016030,A1,1,1,1.0
E01016063,A1,1,1,1.0
E01016085,A1,1,1,1.0
E01016102,A1,1,1,1.0
E01016123,A1,1,1,1.0
E01016131,A1,1,1,1.0
E01016135,A1,1,1,1.0
E01016140,A1,1,1,1.0
E01016156,A1,1,1,1.0
E01016205,A1,1,1,1.0
E01016369,A1,6,3,2.0
E01016374,A1,1,1,1.0
E01016383,A1,1,1,1.0
E01016392,A1,2,1,2.0
E01016398,A1,1,1,1.0
E01016400,A1,1,1,1.0
E01016417,A1,1,1,1.0
E01016442,A1,1,1,1.0
E01016486,A1,1,1,1.0
E01016524,A1,1,1,1.0
E01016544,A1,1,1,1.0
E01016546,A1,1,1,1.0
E01016630,A1,1,1,1.0
E01016751,A1,1,1,1.0
E01016762,A1,1,1,1.0
E01016818,A1,1,1,1.0
E01016876,A1,1,1,1.0
E01016891,A1,1,1,1.0
E01016892,A1,1,1,1.0
E01016955,A1,2,1,2.0
E01017000,A1,1,1,1.0
E01017011,A1,1,1,1.0
E01017030,A1,1,1,1.0
E01017036,A1,1,1,1.0
E01017047,A1,1,1,1.0
E01017070,A1,1,1,1.0
E01017084,A1,1,1,1.0
E01017088,A1,1,1,1.0
E01017114,A1,1,1,1.0
E01017122,A1,2,2,1.0
E01017130,A1,1,1,1.0
E01017140,A1,1,1,1.0
E01017150,A1,1,1,1.0
E01017191,A1,1,1,1.0
E01017195,A1,1,1,1.0
E01017241,A1,1,1,1.0
E01017273,A1,1,1,1.0
E01017312,A1,1,1,1.0
E01017401,A1,1,1,1.0
E01017422,A1,1,1,1.0
E01017455,A1,2,1,2.0
E01017462,A1,1,1,1.0
E01017493,A1,1,1,1.0
E01017520,A1,2,1,2.0
E01017548,A1,1,1,1.0
E01017580,A1,1,1,1.0
E01017619,A1,2,2,1.0
E01017705,A1,1,1,1.0
E01017717,A1,1,1,1.0
E01017723,A1,3,1,3.0
E01017832,A1,1,1,1.0
E01017833,A1,1,1,1.0
E01017856,A1,2,1,2.0
E01017959,A1,1,1,1.0
E01017960,A1,1,1,1.0
E01017983,A1,1,1,1.0
E01017986,A1,1,1,1.0
E01017987,A1,1,1,1.0
E01017988,A1,1,1,1.0
E01017989,A1,2,1,2.0
E01017990,A1,3,1,3.0
E01018006,A1,1,1,1.0
E01018009,A1,1,1,1.0
E01018078,A1,1,1,1.0
E01018132,A1,1,1,1.0
E01018170,A1,3,1,3.0
E01018187,A1,1,1,1.0
E01018190,A1,1,1,1.0
E01018212,A1,1,1,1.0
E01018260,A1,1,1,1.0
E01018270,A1,1,1,1.0
E01018274,A1,2,2,1.0
E01018292,A1,1,1,1.0
E01018298,A1,1,1,1.0
E01018435,A1,1,1,1.0
E01018843,A1,1,1,1.0
E01018892,A1,1,1,1.0
E01019004,A1,1,1,1.0
E01019103,A1,1,1,1.0
E01019182,A1,1,1,1.0
E01019222,A1,1,1,1.0
E01019329,A1,1,1,1.0
E01019382,A1,1,1,1.0
E01019400,A1,1,1,1.0
E01019406,A1,1,1,1.0
E01019435,A1,2,2,1.0
E01019477,A1,1,1,1.0
E01019547,A1,1,1,1.0
E01019573,A1,1,1,1.0
E01019610,A1,1,1,1.0
E01019722,A1,1,1,1.0
E01019878,A1,1,1,1.0
E01019897,A1,1,1,1.0
E01019984,A1,1,1,1.0
E01019986,A1,1,1,1.0
E01019992,A1,1,1,1.0
E01020000,A1,3,1,3.0
E01020007,A1,1,1,1.0
E01020025,A1,1,1,1.0
E01020026,A1,1,1,1.0
E01020057,A1,1,1,1.0
E01020105,A1,1,1,1.0
E01020108,A1,1,1,1.0
E01020110,A1,1,1,1.0
E01020114,A1,1,1,1.0
E01020118,A1,1,1,1.0
E01020140,A1,1,1,1.0
E01020173,A1,1,1,1.0
E01020252,A1,2,1,2.0
E01020253,A1,1,1,1.0
E01020347,A1,2,2,1.0
E01020377,A1,1,1,1.0
E01020670,A1,1,1,1.0
E01020696,A1,2,1,2.0
E01020913,A1,1,1,1.0
E01021019,A1,1,1,1.0
E01021058,A1,1,1,1.0
E01021155,A1,3,2,1.5
E01021158,A1,1,1,1.0
E01021208,A1,1,1,1.0
E01021452,A1,1,1,1.0
E01021531,A1,1,1,1.0
E01021533,A1,1,1,1.0
E01021586,A1,1,1,1.0
E01021600,A1,1,1,1.0
E01021602,A1,1,1,1.0
E01021700,A1,1,1,1.0
E01021800,A1,1,1,1.0
E01021805,A1,1,1,1.0
E01021819,A1,1,1,1.0
E01021850,A1,1,1,1.0
E01021860,A1,1,1,1.0
E01021878,A1,1,1,1.0
E01022105,A1,1,1,1.0
E01022150,A1,1,1,1.0
E01022157,A1,1,1,1.0
E01022171,A1,1,1,1.0
E01022263,A1,1,1,1.0
E01022270,A1,1,1,1.0
E01022284,A1,1,1,1.0
E01022298,A1,1,1,1.0
E01022312,A1,1,1,1.0
E01022317,A1,1,1,1.0
E01022322,A1,1,1,1.0
E01022477,A1,1,1,1.0
E01022481,A1,1,1,1.0
E01022485,A1,1,1,1.0
E01022523,A1,1,1,1.0
E01022639,A1,2,1,2.0
E01022682,A1,1,1,1.0
E01022704,A1,2,1,2.0
E01022716,A1,1,1,1.0
E01022736,A1,1,1,1.0
E01022752,A1,1,1,1.0
E01022796,A1,1,1,1.0
E01022824,A1,1,1,1.0
E01022872,A1,1,1,1.0
E01022895,A1,2,2,1.0
E01022896,A1,1,1,1.0
E01022908,A1,1,1,1.0
E01023037,A1,1,1,1.0
E01023077,A1,1,1,1.0
E01023080,A1,1,1,1.0
E01023082,A1,1,1,1.0
E01023083,A1,1,1,1.0
E01023248,A1,1,1,1.0
E01023332,A1,1,1,1.0
E01023333,A1,1,1,1.0
E01023341,A1,1,1,1.0
E01023378,A1,1,1,1.0
E01023396,A1,1,1,1.0
E01023414,A1,3,2,1.5
E01023438,A1,1,1,1.0
E01023477,A1,1,1,1.0
E01023485,A1,1,1,1.0
E01023525,A1,1,1,1.0
E01023545,A1,1,1,1.0
E01023549,A1,1,1,1.0
E01023564,A1,1,1,1.0
E01023571,A1,1,1,1.0
E01023596,A1,1,1,1.0
E01023605,A1,1,1,1.0
E01023616,A1,2,2,1.0
E01023627,A1,1,1,1.0
E01023638,A1,1,1,1.0
E01023641,A1,1,1,1.0
E01023678,A1,1,1,1.0
E01023711,A1,1,1,1.0
E01023712,A1,1,1,1.0
E01023772,A1,1,1,1.0
E01023794,A1,1,1,1.0
E01023805,A1,4,1,4.0
E01023813,A1,1,1,1.0
E01023819,A1,1,1,1.0
E01023830,A1,1,1,1.0
E01023844,A1,1,1,1.0
E01023895,A1,2,1,2.0
E01023925,A1,1,1,1.0
E01024017,A1,1,1,1.0
E01024022,A1,1,1,1.0
E01024060,A1,1,1,1.0
E01024064,A1,1,1,1.0
E01024186,A1,1,1,1.0
E01024247,A1,1,1,1.0
E01024257,A1,1,1,1.0
E01024279,A1,1,1,1.0
E01024294,A1,1,1,1.0
E01024296,A1,1,1,1.0
E01024309,A1,1,1,1.0
E01024360,A1,1,1,1.0
E01024385,A1,2,1,2.0
E01024444,A1,1,1,1.0
E01024487,A1,1,1,1.0
E01024520,A1,1,1,1.0
E01024554,A1,1,1,1.0
E01024576,A1,1,1,1.0
E01024645,A1,2,1,2.0
E01024655,A1,2,1,2.0
E01024657,A1,1,1,1.0
E01024714,A1,1,1,1.0
E01024719,A1,1,1,1.0
E01024725,A1,1,1,1.0
E01024781,A1,2,1,2.0
E01024848,A1,1,1,1.0
E01024864,A1,1,1,1.0
E01024889,A1,1,1,1.0
E01024892,A1,1,1,1.0
E01024961,A1,1,1,1.0
E01024983,A1,2,2,1.0
E01024990,A1,1,1,1.0
E01025067,A1,1,1,1.0
E01025076,A1,1,1,1.0
E01025112,A1,1,1,1.0
E01025200,A1,1,1,1.0
E01025357,A1,1,1,1.0
