period,LSOA,SHEF_A,report_count,user_count,average
2013-3,95AA01S1,Potholes,1,1,1.0
2013-3,95BB18S2,Highway Condition,1,1,1.0
2013-3,95CC01W1,Fly-tipping,1,1,1.0
2013-3,95II19S1,Street Lights,2,1,2.0
2013-3,95KK15W1,Potholes,1,1,1.0
2013-3,95LL11S2,Highway Condition,1,1,1.0
2013-3,95NN20W1,Potholes,1,1,1.0
2013-3,95SS22S2,Street Lights,1,1,1.0
2013-3,95VV05S2,Abandoned Vehicles,1,1,1.0
2013-3,95VV05S2,Potholes,1,1,1.0
2013-3,95VV07S1,Highway Condition,1,1,1.0
2013-3,E01000002,Road/Pavement Defects,1,1,1.0
2013-3,E01000020,Parking,1,1,1.0
2013-3,E01000025,Graffiti,1,1,1.0
2013-3,E01000033,Dumped Rubbish,1,1,1.0
2013-3,E01000040,Bin Collection,1,1,1.0
2013-3,E01000072,Abandoned Vehicles,1,1,1.0
2013-3,E01000072,Dumped Rubbish,1,1,1.0
2013-3,E01000082,Road/Pavement Defects,1,1,1.0
2013-3,E01000094,Abandoned Vehicles,1,1,1.0
2013-3,E01000115,General Highways Enquiries,1,1,1.0
2013-3,E01000124,Fly-tipping,1,1,1.0
2013-3,E01000126,Fly-tipping,3,2,1.5
2013-3,E01000129,Accumulated Litter,1,1,1.0
2013-3,E01000129,General Highways Enquiries,2,1,2.0
2013-3,E01000130,Graffiti,1,1,1.0
2013-3,E01000131,Accumulated Litter,2,1,2.0
2013-3,E01000131,Fly-tipping,2,1,2.0
2013-3,E01000132,Fly-tipping,1,1,1.0
2013-3,E01000132,General Highways Enquiries,1,1,1.0
2013-3,E01000136,Potholes,2,1,2.0
2013-3,E01000137,Fly-tipping,1,1,1.0
2013-3,E01000139,Potholes,2,2,1.0
2013-3,E01000141,Fly-tipping,2,2,1.0
2013-3,E01000141,Graffiti,1,1,1.0
2013-3,E01000145,Pavement /Footway Defects,1,1,1.0
2013-3,E01000152,Street Signs,1,1,1.0
2013-3,E01000155,Blocked Drains,1,1,1.0
2013-3,E01000159,Potholes,1,1,1.0
2013-3,E01000160,Blocked Drains,1,1,1.0
2013-3,E01000163,Fly-tipping,1,1,1.0
2013-3,E01000165,Blocked Drains,1,1,1.0
2013-3,E01000171,Manhole Covers,1,1,1.0
2013-3,E01000173,Potholes,1,1,1.0
2013-3,E01000178,Street Lights,1,1,1.0
2013-3,E01000182,Accumulated Litter,1,1,1.0
2013-3,E01000182,Street Signs,1,1,1.0
2013-3,E01000187,Accumulated Litter,1,1,1.0
2013-3,E01000194,Graffiti,1,1,1.0
2013-3,E01000197,Potholes,1,1,1.0
2013-3,E01000204,Potholes,2,2,1.0
2013-3,E01000205,Fly-tipping,1,1,1.0
2013-3,E01000207,General Highways Enquiries,1,1,1.0
2013-3,E01000209,Overgrown Vegetation,1,1,1.0
2013-3,E01000216,Dog Fouling,1,1,1.0
2013-3,E01000216,Street Signs,1,1,1.0
2013-3,E01000219,Pavement /Footway Defects,1,1,1.0
2013-3,E01000221,Potholes,1,1,1.0
2013-3,E01000228,General Highways Enquiries,1,1,1.0
2013-3,E01000228,Potholes,1,1,1.0
2013-3,E01000228,Roadworks,2,2,1.0
2013-3,E01000229,Accumulated Litter,1,1,1.0
2013-3,E01000229,General Highways Enquiries,2,1,2.0
2013-3,E01000231,Pavement /Footway Defects,1,1,1.0
2013-3,E01000235,Accumulated Litter,1,1,1.0
2013-3,E01000235,Fly-tipping,1,1,1.0
2013-3,E01000237,Fly-tipping,1,1,1.0
2013-3,E01000237,Graffiti,1,1,1.0
2013-3,E01000239,General Highways Enquiries,1,1,1.0
2013-3,E01000247,General Highways Enquiries,1,1,1.0
2013-3,E01000247,Pavement /Footway Defects,1,1,1.0
2013-3,E01000249,Roadworks,1,1,1.0
2013-3,E01000250,Blocked Drains,1,1,1.0
2013-3,E01000250,General Highways Enquiries,1,1,1.0
2013-3,E01000251,Fly-tipping,1,1,1.0
2013-3,E01000251,General Highways Enquiries,2,2,1.0
2013-3,E01000254,General Highways Enquiries,1,1,1.0
2013-3,E01000254,Potholes,1,1,1.0
2013-3,E01000257,Dog Fouling,1,1,1.0
2013-3,E01000259,Manhole Covers,1,1,1.0
2013-3,E01000262,Potholes,1,1,1.0
2013-3,E01000264,Accumulated Litter,1,1,1.0
2013-3,E01000264,Dog Litter Bin,1,1,1.0
2013-3,E01000270,Potholes,1,1,1.0
2013-3,E01000270,Street Lights,2,2,1.0
2013-3,E01000279,General Highways Enquiries,1,1,1.0
2013-3,E01000281,Blocked Drains,3,1,3.0
2013-3,E01000281,Pavement /Footway Defects,1,1,1.0
2013-3,E01000281,Potholes,1,1,1.0
2013-3,E01000281,Roadworks,1,1,1.0
2013-3,E01000281,Street Lights,1,1,1.0
2013-3,E01000282,Street Signs,1,1,1.0
2013-3,E01000284,Blocked Drains,1,1,1.0
2013-3,E01000293,Dog Fouling,1,1,1.0
2013-3,E01000293,Pavement /Footway Defects,1,1,1.0
2013-3,E01000294,Potholes,1,1,1.0
2013-3,E01000299,Blocked Drains,1,1,1.0
2013-3,E01000302,General Highways Enquiries,1,1,1.0
2013-3,E01000306,Potholes,2,1,2.0
2013-3,E01000307,Potholes,1,1,1.0
2013-3,E01000310,Graffiti,1,1,1.0
2013-3,E01000313,Fly-tipping,1,1,1.0
2013-3,E01000314,Graffiti,1,1,1.0
2013-3,E01000316,Blocked Drains,1,1,1.0
2013-3,E01000320,Potholes,1,1,1.0
2013-3,E01000322,Potholes,1,1,1.0
2013-3,E01000328,Road/Pavement Defects,1,1,1.0
2013-3,E01000346,Dumped Rubbish,1,1,1.0
2013-3,E01000360,Street Cleaning,1,1,1.0
2013-3,E01000372,Road/Pavement Defects,1,1,1.0
2013-3,E01000379,Road/Pavement Defects,2,2,1.0
2013-3,E01000386,Dumped Rubbish,1,1,1.0
