period,LSOA,SHEF_A,report_count,user_count,average
2015,95BB01S1,Street Signs,1,1,1.0
2015,95BB01S2,Highway Condition,1,1,1.0
2015,95BB01S2,Open Spaces/Parks,1,1,1.0
2015,95BB05S1,Other,1,1,1.0
2015,95BB07S1,Street Lights,1,1,1.0
2015,95BB07S2,Street Lights,1,1,1.0
2015,95BB10S1,Street Lights,4,1,4.0
2015,95BB11S2,Bus Stops Damage,1,1,1.0
2015,95BB11S2,Street Lights,5,2,2.5
2015,95BB12S2,Potholes,4,1,4.0
2015,95BB12S2,Street Lights,1,1,1.0
2015,95BB15S1,Abandoned Vehicles,1,1,1.0
2015,95BB15S1,Highway Condition,5,1,5.0
2015,95BB15S1,Other,1,1,1.0
2015,95BB15S1,Street Lights,1,1,1.0
2015,95BB15S2,Highway Condition,1,1,1.0
2015,95BB16S1,Potholes,1,1,1.0
2015,95BB17S2,Potholes,1,1,1.0
2015,95BB18S2,Pavement /Footway Defects,1,1,1.0
2015,95BB18S2,Street Lights,1,1,1.0
2015,95BB21S2,Street Lights,9,2,4.5
2015,95CC18W1,Open Spaces/Parks,1,1,1.0
2015,95DD03W1,Street Lights,1,1,1.0
2015,95DD19S1,Street Lights,1,1,1.0
2015,95DD24W1,Street Lights,1,1,1.0
2015,95FF05W1,Highway Condition,1,1,1.0
2015,95FF09W1,Street Lights,1,1,1.0
2015,95GG01S3,Graffiti,1,1,1.0
2015,95GG01S3,Street Lights,1,1,1.0
2015,95GG07S2,Street Lights,1,1,1.0
2015,95GG09S3,Graffiti,1,1,1.0
2015,95GG09S3,Street Lights,1,1,1.0
2015,95GG10S2,Graffiti,1,1,1.0
2015,95GG11S3,Street Lights,1,1,1.0
2015,95GG12S2,Graffiti,1,1,1.0
2015,95GG12S2,Open Spaces/Parks,1,1,1.0
2015,95GG12S2,Other,1,1,1.0
2015,95GG12S3,Fly-tipping,2,1,2.0
2015,95GG12S3,Other,2,1,2.0
2015,95GG12S3,Pavement /Footway Defects,1,1,1.0
2015,95GG12S3,Street Cleaning,1,1,1.0
2015,95GG13S3,Other,2,1,2.0
2015,95GG13S3,Pavement /Footway Defects,1,1,1.0
2015,95GG13S3,Street Name Plates,1,1,1.0
2015,95GG14S2,Street Lights,1,1,1.0
2015,95GG18S2,Pavement /Footway Defects,1,1,1.0
2015,95GG20S1,Pavement /Footway Defects,1,1,1.0
2015,95GG20S2,Street Lights,1,1,1.0
2015,95GG21S2,Dog Fouling,1,1,1.0
2015,95GG22S1,Other,1,1,1.0
2015,95GG22S2,Other,1,1,1.0
2015,95GG32S1,Pavement /Footway Defects,1,1,1.0
2015,95GG33S3,Potholes,1,1,1.0
2015,95GG34S2,Graffiti,1,1,1.0
2015,95GG34S2,Pavement /Footway Defects,1,1,1.0
2015,95GG34S3,Street Lights,1,1,1.0
2015,95GG36S2,Pavement /Footway Defects,1,1,1.0
2015,95GG36S2,Street Lights,1,1,1.0
2015,95GG36S3,Other,1,1,1.0
2015,95GG37S1,Potholes,1,1,1.0
2015,95GG42S1,Pavement /Footway Defects,1,1,1.0
2015,95GG42S4,Potholes,1,1,1.0
2015,95GG45S1,Potholes,1,1,1.0
2015,95GG49S2,Rubbish,1,1,1.0
2015,95GG49S3,Fallen/Dangerous Trees,1,1,1.0
2015,95GG50S1,Other,1,1,1.0
2015,95GG50S2,Street Lights,1,1,1.0
2015,95HH06S1,Street Lights,2,2,1.0
2015,95HH09W1,Street Lights,1,1,1.0
2015,95HH13W1,Pavement /Footway Defects,1,1,1.0
2015,95HH14W1,Street Lights,1,1,1.0
2015,95II03S1,Street Name Plates,1,1,1.0
2015,95II03S2,Street Lights,1,1,1.0
2015,95II04S1,Street Signs,1,1,1.0
2015,95II06S1,Street Lights,3,2,1.5
2015,95II09S1,Potholes,1,1,1.0
2015,95II11W1,Street Lights,8,1,8.0
2015,95II13W1,Graffiti,1,1,1.0
2015,95II13W1,Street Lights,2,1,2.0
2015,95II16W1,Highway Condition,1,1,1.0
2015,95II16W1,Other,2,1,2.0
2015,95II16W1,Parking,1,1,1.0
2015,95II16W1,Pavement /Footway Defects,1,1,1.0
2015,95II19S1,Street Lights,1,1,1.0
2015,95II19S1,Street Signs,1,1,1.0
2015,95II20W1,Street Lights,1,1,1.0
2015,95JJ13S1,Street Lights,1,1,1.0
2015,95JJ13S2,Street Lights,1,1,1.0
2015,95JJ17W1,Other,1,1,1.0
2015,95KK09W1,Highway Condition,1,1,1.0
2015,95LL02S1,Street Lights,1,1,1.0
2015,95LL05S1,Street Lights,1,1,1.0
2015,95LL14S1,Street Lights,1,1,1.0
2015,95LL16S2,Street Lights,3,3,1.0
2015,95LL19S2,Street Lights,1,1,1.0
2015,95LL23W1,Street Lights,2,1,2.0
2015,95NN12W1,Highway Condition,2,1,2.0
2015,95NN12W1,Street Lights,1,1,1.0
2015,95OO14W1,Fly-tipping,1,1,1.0
2015,95PP05W1,Fly-tipping,1,1,1.0
2015,95PP10W1,Highway Condition,4,1,4.0
2015,95PP10W1,Potholes,1,1,1.0
2015,95PP16W1,Street Lights,1,1,1.0
