lsoa,SHEF_A_CODE,reports,unique_users,average_per_user
95II09S1,A1,1,1,1.0
E01000133,A1,1,1,1.0
E01000155,A1,1,1,1.0
E01000158,A1,1,1,1.0
E01000163,A1,3,1,3.0
E01000164,A1,4,1,4.0
E01000167,A1,1,1,1.0
E01000171,A1,1,1,1.0
E01000202,A1,1,1,1.0
E01000211,A1,1,1,1.0
E01000238,A1,1,1,1.0
E01000283,A1,1,1,1.0
E01000290,A1,1,1,1.0
E01000335,A1,1,1,1.0
E01000367,A1,1,1,1.0
E01000417,A1,1,1,1.0
E01000454,A1,1,1,1.0
E01000548,A1,1,1,1.0
E01000624,A1,1,1,1.0
E01000654,A1,1,1,1.0
E01000656,A1,1,1,1.0
E01000661,A1,1,1,1.0
E01000669,A1,1,1,1.0
E01000673,A1,1,1,1.0
E01000676,A1,1,1,1.0
E01000680,A1,1,1,1.0
E01000681,A1,1,1,1.0
E01000687,A1,1,1,1.0
E01000696,A1,1,1,1.0
E01000717,A1,1,1,1.0
E01000718,A1,1,1,1.0
E01000719,A1,1,1,1.0
E01000720,A1,1,1,1.0
E01000728,A1,1,1,1.0
E01000735,A1,1,1,1.0
E01000748,A1,1,1,1.0
E01000752,A1,1,1,1.0
E01000756,A1,1,1,1.0
E01000757,A1,1,1,1.0
E01000758,A1,1,1,1.0
E01000759,A1,1,1,1.0
E01000773,A1,1,1,1.0
E01000775,A1,1,1,1.0
E01000792,A1,1,1,1.0
E01000802,A1,1,1,1.0
E01000803,A1,1,1,1.0
E01000804,A1,1,1,1.0
E01000805,A1,1,1,1.0
E01000806,A1,1,1,1.0
E01000823,A1,1,1,1.0
E01000835,A1,1,1,1.0
E01000921,A1,1,1,1.0
E01001001,A1,1,1,1.0
E01001082,A1,1,1,1.0
E01001192,A1,1,1,1.0
E01001358,A1,2,1,2.0
E01001390,A1,2,1,2.0
E01001466,A1,1,1,1.0
E01001497,A1,1,1,1.0
E01001526,A1,1,1,1.0
E01001563,A1,1,1,1.0
E01001607,A1,1,1,1.0
E01001619,A1,1,1,1.0
E01001624,A1,1,1,1.0
E01001636,A1,1,1,1.0
E01001653,A1,1,1,1.0
E01001698,A1,1,1,1.0
E01001749,A1,1,1,1.0
E01001840,A1,1,1,1.0
E01002011,A1,1,1,1.0
E01002079,A1,1,1,1.0
E01002106,A1,2,1,2.0
E01002159,A1,3,1,3.0
E01002471,A1,1,1,1.0
E01002560,A1,1,1,1.0
E01002623,A1,1,1,1.0
E01002635,A1,2,2,1.0
E01002682,A1,1,1,1.0
E01002698,A1,1,1,1.0
E01002704,A1,1,1,1.0
E01002707,A1,1,1,1.0
E01002735,A1,2,1,2.0
E01002780,A1,1,1,1.0
E01002800,A1,1,1,1.0
E01002879,A1,1,1,1.0
E01002947,A1,1,1,1.0
E01002949,A1,1,1,1.0
E01002950,A1,1,1,1.0
E01002976,A1,2,2,1.0
E01003002,A1,1,1,1.0
E01003070,A1,1,1,1.0
E01003079,A1,1,1,1.0
E01003114,A1,1,1,1.0
E01003145,A1,1,1,1.0
E01003147,A1,3,1,3.0
E01003191,A1,3,2,1.5
E01003201,A1,1,1,1.0
E01003206,A1,1,1,1.0
E01003210,A1,1,1,1.0
E01003214,A1,1,1,1.0
E01003221,A1,2,2,1.0
E01003222,A1,1,1,1.0
E01003224,A1,1,1,1.0
E01003236,A1,1,1,1.0
E01003237,A1,1,1,1.0
E01003240,A1,1,1,1.0
E01003245,A1,1,1,1.0
E01003246,A1,1,1,1.0
E01003254,A1,1,1,1.0
E01003261,A1,1,1,1.0
E01003264,A1,2,1,2.0
E01003277,A1,2,2,1.0
E01003281,A1,2,2,1.0
E01003283,A1,1,1,1.0
E01003299,A1,1,1,1.0
E01003300,A1,1,1,1.0
E01003311,A1,1,1,1.0
E01003315,A1,3,1,3.0
E01003316,A1,1,1,1.0
E01003325,A1,2,2,1.0
E01003326,A1,1,1,1.0
E01003331,A1,1,1,1.0
E01003419,A1,1,1,1.0
E01003871,A1,1,1,1.0
E01003903,A1,1,1,1.0
E01004023,A1,1,1,1.0
E01004032,A1,1,1,1.0
E01004043,A1,1,1,1.0
E01004095,A1,1,1,1.0
E01004096,A1,1,1,1.0
E01004105,A1,1,1,1.0
E01004192,A1,1,1,1.0
E01004267,A1,1,1,1.0
E01004306,A1,1,1,1.0
E01004449,A1,1,1,1.0
E01004688,A1,1,1,1.0
E01004734,A1,1,1,1.0
E01004927,A1,1,1,1.0
E01005067,A1,1,1,1.0
E01005097,A1,1,1,1.0
E01005163,A1,1,1,1.0
E01005195,A1,1,1,1.0
E01005298,A1,1,1,1.0
E01005299,A1,1,1,1.0
E01005874,A1,2,1,2.0
E01005966,A1,1,1,1.0
E01006662,A1,1,1,1.0
E01006758,A1,1,1,1.0
E01006865,A1,1,1,1.0
E01007261,A1,1,1,1.0
E01007308,A1,1,1,1.0
E01007706,A1,1,1,1.0
E01007832,A1,1,1,1.0
E01007862,A1,1,1,1.0
