lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01000119,B1,1,1,1.0
E01000320,B1,1,1,1.0
E01000325,B1,1,1,1.0
E01001280,B1,1,1,1.0
E01001619,B1,1,1,1.0
E01002638,B1,1,1,1.0
E01003224,B1,1,1,1.0
E01003655,B1,1,1,1.0
E01004196,B1,1,1,1.0
E01004454,B1,1,1,1.0
E01005126,B1,1,1,1.0
E01005459,B1,1,1,1.0
E01005773,B1,1,1,1.0
E01005871,B1,1,1,1.0
E01006486,B1,1,1,1.0
E01007103,B1,1,1,1.0
E01008005,B1,1,1,1.0
E01008157,B1,1,1,1.0
E01008259,B1,1,1,1.0
E01008397,B1,1,1,1.0
E01010713,B1,1,1,1.0
E01013568,B1,1,1,1.0
E01013830,B1,1,1,1.0
E01014092,B1,1,1,1.0
E01014167,B1,1,1,1.0
E01014550,B1,1,1,1.0
E01014568,B1,1,1,1.0
E01014653,B1,1,1,1.0
E01016112,B1,1,1,1.0
E01016768,B1,1,1,1.0
E01016980,B1,1,1,1.0
E01017852,B1,1,1,1.0
E01017997,B1,1,1,1.0
E01018062,B1,1,1,1.0
E01018197,B1,1,1,1.0
E01018937,B1,1,1,1.0
E01020285,B1,1,1,1.0
E01020402,B1,1,1,1.0
E01021030,B1,1,1,1.0
E01022540,B1,1,1,1.0
E01023557,B1,1,1,1.0
E01023590,B1,1,1,1.0
E01025229,B1,1,1,1.0
E01027513,B1,1,1,1.0
E01027810,B1,1,1,1.0
E01028550,B1,1,1,1.0
E01030826,B1,1,1,1.0
E01030906,B1,1,1,1.0
E01031582,B1,1,1,1.0
E01031583,B1,1,1,1.0
E01032599,B1,2,1,2.0
S01008730,B1,1,1,1.0
S01009622,B1,1,1,1.0
S01011316,B1,1,1,1.0
S01011943,B1,1,1,1.0
E01000919,B13,1,1,1.0
E01001321,B13,1,1,1.0
E01001874,B13,1,1,1.0
E01002646,B13,1,1,1.0
E01002710,B13,1,1,1.0
E01002731,B13,1,1,1.0
E01003131,B13,1,1,1.0
E01003930,B13,1,1,1.0
E01004745,B13,4,1,4.0
E01008135,B13,1,1,1.0
E01008142,B13,1,1,1.0
E01010856,B13,1,1,1.0
E01011180,B13,1,1,1.0
E01012200,B13,1,1,1.0
E01014016,B13,1,1,1.0
E01014023,B13,1,1,1.0
E01014730,B13,1,1,1.0
E01015094,B13,1,1,1.0
E01017797,B13,1,1,1.0
E01017974,B13,1,1,1.0
E01018632,B13,1,1,1.0
E01019590,B13,1,1,1.0
E01020467,B13,1,1,1.0
E01021801,B13,1,1,1.0
E01022141,B13,2,1,2.0
E01022643,B13,1,1,1.0
E01023431,B13,1,1,1.0
E01023831,B13,1,1,1.0
E01024113,B13,1,1,1.0
E01025040,B13,1,1,1.0
E01026078,B13,2,1,2.0
E01026298,B13,1,1,1.0
E01027294,B13,1,1,1.0
E01027491,B13,1,1,1.0
E01028583,B13,1,1,1.0
E01028885,B13,1,1,1.0
E01029128,B13,1,1,1.0
E01030031,B13,1,1,1.0
E01030540,B13,1,1,1.0
E01032284,B13,2,1,2.0
E01033119,B13,1,1,1.0
E01033120,B13,1,1,1.0
E01033126,B13,1,1,1.0
E01033127,B13,2,1,2.0
E01033254,B13,1,1,1.0
E01033666,B13,1,1,1.0
S01008122,B13,1,1,1.0
S01008471,B13,1,1,1.0
S01009059,B13,1,1,1.0
S01009181,B13,1,1,1.0
W01001732,B13,1,1,1.0
E01001198,B14,1,1,1.0
E01001906,B14,1,1,1.0
E01002159,B14,1,1,1.0
E01002407,B14,1,1,1.0
E01002528,B14,1,1,1.0
E01002576,B14,1,1,1.0
E01002582,B14,2,1,2.0
E01002696,B14,1,1,1.0
E01002708,B14,2,1,2.0
E01002710,B14,3,1,3.0
E01002711,B14,2,2,1.0
E01002712,B14,3,1,3.0
E01002715,B14,2,1,2.0
E01002814,B14,1,1,1.0
E01005108,B14,1,1,1.0
E01005224,B14,1,1,1.0
E01007374,B14,1,1,1.0
E01007449,B14,1,1,1.0
E01007820,B14,1,1,1.0
E01008035,B14,1,1,1.0
E01008036,B14,1,1,1.0
E01008050,B14,1,1,1.0
E01008914,B14,1,1,1.0
E01014011,B14,1,1,1.0
E01014042,B14,1,1,1.0
E01014051,B14,1,1,1.0
E01015579,B14,1,1,1.0
E01015621,B14,4,1,4.0
E01016413,B14,1,1,1.0
E01016594,B14,1,1,1.0
E01016677,B14,1,1,1.0
E01017036,B14,1,1,1.0
E01017837,B14,3,1,3.0
E01019113,B14,1,1,1.0
E01021255,B14,1,1,1.0
E01023422,B14,1,1,1.0
E01023426,B14,1,1,1.0
E01024678,B14,1,1,1.0
E01028095,B14,8,1,8.0
E01028096,B14,1,1,1.0
E01033127,B14,1,1,1.0
E01033133,B14,1,1,1.0
W01001372,B14,1,1,1.0
W01001815,B14,1,1,1.0
E01006250,B15,1,1,1.0
E01006379,B15,1,1,1.0
E01006380,B15,1,1,1.0
E01007680,B15,1,1,1.0
E01007819,B15,1,1,1.0
E01009983,B15,1,1,1.0
E01016670,B15,1,1,1.0
E01017796,B15,1,1,1.0
E01019524,B15,1,1,1.0
E01021347,B15,1,1,1.0
E01027551,B15,1,1,1.0
E01027922,B15,1,1,1.0
E01032970,B15,2,1,2.0
E01032993,B15,2,2,1.0
S01008086,B15,2,1,2.0
S01009206,B15,1,1,1.0
E01000196,B16,1,1,1.0
E01000939,B16,1,1,1.0
E01001734,B16,1,1,1.0
E01001736,B16,1,1,1.0
E01001763,B16,1,1,1.0
E01002159,B16,1,1,1.0
E01002984,B16,1,1,1.0
E01003027,B16,1,1,1.0
E01003074,B16,1,1,1.0
E01003411,B16,1,1,1.0
E01003553,B16,2,1,2.0
E01004031,B16,1,1,1.0
E01004150,B16,1,1,1.0
E01004225,B16,1,1,1.0
E01005202,B16,1,1,1.0
E01006044,B16,1,1,1.0
E01007585,B16,1,1,1.0
E01007607,B16,1,1,1.0
E01007996,B16,1,1,1.0
E01008555,B16,1,1,1.0
E01009840,B16,1,1,1.0
E01010399,B16,1,1,1.0
E01011094,B16,1,1,1.0
E01012685,B16,1,1,1.0
E01013846,B16,1,1,1.0
E01014092,B16,1,1,1.0
E01014148,B16,1,1,1.0
E01014585,B16,1,1,1.0
E01015593,B16,1,1,1.0
E01015599,B16,1,1,1.0
E01015602,B16,1,1,1.0
E01015653,B16,1,1,1.0
E01015692,B16,1,1,1.0
E01016950,B16,1,1,1.0
E01017337,B16,1,1,1.0
E01017371,B16,1,1,1.0
E01018223,B16,1,1,1.0
E01018273,B16,1,1,1.0
E01019046,B16,1,1,1.0
E01019113,B16,1,1,1.0
E01019118,B16,1,1,1.0
E01021347,B16,1,1,1.0
E01021380,B16,1,1,1.0
E01022141,B16,1,1,1.0
E01023633,B16,1,1,1.0
E01024361,B16,1,1,1.0
E01024678,B16,2,1,2.0
E01025083,B16,1,1,1.0
E01025570,B16,1,1,1.0
E01026319,B16,1,1,1.0
E01026606,B16,1,1,1.0
E01026646,B16,1,1,1.0
E01027646,B16,1,1,1.0
E01028583,B16,1,1,1.0
E01028591,B16,1,1,1.0
E01028594,B16,2,1,2.0
E01028885,B16,1,1,1.0
E01031358,B16,1,1,1.0
E01031888,B16,1,1,1.0
E01033282,B16,1,1,1.0
E01033420,B16,1,1,1.0
E01033422,B16,1,1,1.0
S01007429,B16,1,1,1.0
S01008730,B16,1,1,1.0
S01009059,B16,1,1,1.0
S01009624,B16,1,1,1.0
S01010004,B16,1,1,1.0
S01012074,B16,1,1,1.0
E01001321,B17,1,1,1.0
E01007820,B17,1,1,1.0
E01007856,B17,1,1,1.0
E01008005,B17,1,1,1.0
E01015225,B17,1,1,1.0
E01015591,B17,1,1,1.0
E01016752,B17,1,1,1.0
E01016834,B17,1,1,1.0
E01018188,B17,1,1,1.0
E01027010,B17,1,1,1.0
S01009075,B17,1,1,1.0
E01000275,B18,1,1,1.0
E01002116,B18,1,1,1.0
E01008407,B18,1,1,1.0
E01009227,B18,1,1,1.0
E01009246,B18,1,1,1.0
E01009767,B18,1,1,1.0
E01011275,B18,1,1,1.0
E01011469,B18,1,1,1.0
E01014017,B18,1,1,1.0
E01015632,B18,2,2,1.0
E01016497,B18,1,1,1.0
E01016783,B18,1,1,1.0
E01017383,B18,1,1,1.0
E01017398,B18,1,1,1.0
E01022158,B18,1,1,1.0
E01023895,B18,1,1,1.0
E01024337,B18,2,1,2.0
E01025179,B18,1,1,1.0
E01026328,B18,1,1,1.0
E01026557,B18,1,1,1.0
E01027168,B18,1,1,1.0
E01030901,B18,1,1,1.0
E01032962,B18,1,1,1.0
E01033500,B18,1,1,1.0
E01033581,B18,1,1,1.0
S01009087,B18,1,1,1.0
W01000774,B18,1,1,1.0
E01000330,B19,1,1,1.0
E01001045,B19,1,1,1.0
E01001321,B19,1,1,1.0
E01001998,B19,1,1,1.0
E01002569,B19,1,1,1.0
