period,LSOA,SHEF_B_CODE,report_count,user_count,average
2015-10,95BB15S1,B13,1,1,1.0
2015-10,95DD19S1,B28,1,1,1.0
2015-10,95GG10S2,B14,1,1,1.0
2015-10,95GG12S2,B16,1,1,1.0
2015-10,95GG34S3,B28,1,1,1.0
2015-10,95GG49S2,B26,1,1,1.0
2015-10,95GG49S3,B17,1,1,1.0
2015-10,95HH06S1,B28,1,1,1.0
2015-10,95HH14W1,B28,1,1,1.0
2015-10,95II03S2,B28,1,1,1.0
2015-10,95II11W1,B28,1,1,1.0
2015-10,95LL23W1,B28,1,1,1.0
2015-10,95WW02S2,B28,1,1,1.0
2015-10,95WW25W1,B26,1,1,1.0
2015-10,95XX18W1,B13,1,1,1.0
2015-10,95YY01W1,B25,1,1,1.0
2015-10,E01000010,B28,1,1,1.0
2015-10,E01000022,B16,1,1,1.0
2015-10,E01000023,B1,1,1,1.0
2015-10,E01000037,B18,1,1,1.0
2015-10,E01000060,B18,3,1,3.0
2015-10,E01000080,B28,1,1,1.0
2015-10,E01000083,B16,1,1,1.0
2015-10,E01000115,B13,3,1,3.0
2015-10,E01000116,B13,2,2,1.0
2015-10,E01000121,B19,1,1,1.0
2015-10,E01000121,B26,1,1,1.0
2015-10,E01000126,B26,2,1,2.0
2015-10,E01000127,B26,1,1,1.0
2015-10,E01000128,B17,1,1,1.0
2015-10,E01000131,B7,1,1,1.0
2015-10,E01000134,B13,1,1,1.0
2015-10,E01000136,B25,1,1,1.0
2015-10,E01000138,B13,1,1,1.0
2015-10,E01000138,B14,2,1,2.0
2015-10,E01000139,B14,2,1,2.0
2015-10,E01000139,B19,1,1,1.0
2015-10,E01000140,B26,1,1,1.0
2015-10,E01000141,B7,2,2,1.0
2015-10,E01000142,B26,1,1,1.0
2015-10,E01000142,B7,1,1,1.0
2015-10,E01000143,B13,1,1,1.0
2015-10,E01000146,B13,1,1,1.0
2015-10,E01000146,B19,2,1,2.0
2015-10,E01000150,B13,3,1,3.0
2015-10,E01000150,B26,2,2,1.0
2015-10,E01000153,B14,1,1,1.0
2015-10,E01000158,B26,1,1,1.0
2015-10,E01000158,B28,1,1,1.0
2015-10,E01000159,B13,1,1,1.0
2015-10,E01000159,B26,1,1,1.0
2015-10,E01000160,B28,1,1,1.0
2015-10,E01000161,B19,1,1,1.0
2015-10,E01000161,B25,1,1,1.0
2015-10,E01000161,B26,1,1,1.0
2015-10,E01000167,B13,1,1,1.0
2015-10,E01000170,B1,1,1,1.0
2015-10,E01000170,B26,1,1,1.0
2015-10,E01000174,B25,1,1,1.0
2015-10,E01000174,B26,2,2,1.0
2015-10,E01000176,B14,1,1,1.0
2015-10,E01000176,B26,1,1,1.0
2015-10,E01000180,B7,1,1,1.0
2015-10,E01000181,B25,1,1,1.0
2015-10,E01000181,B26,1,1,1.0
2015-10,E01000182,B17,1,1,1.0
2015-10,E01000182,B7,2,1,2.0
2015-10,E01000184,B26,2,1,2.0
2015-10,E01000188,B25,1,1,1.0
2015-10,E01000191,B26,1,1,1.0
2015-10,E01000192,B26,1,1,1.0
2015-10,E01000197,B1,1,1,1.0
2015-10,E01000198,B14,1,1,1.0
2015-10,E01000201,B14,1,1,1.0
2015-10,E01000201,B24,1,1,1.0
2015-10,E01000204,B25,1,1,1.0
2015-10,E01000206,B13,1,1,1.0
2015-10,E01000206,B26,1,1,1.0
2015-10,E01000208,B14,1,1,1.0
2015-10,E01000210,B28,1,1,1.0
2015-10,E01000211,B19,1,1,1.0
2015-10,E01000211,B26,3,1,3.0
2015-10,E01000213,B19,1,1,1.0
2015-10,E01000214,B25,2,2,1.0
2015-10,E01000215,B14,1,1,1.0
2015-10,E01000216,B26,1,1,1.0
2015-10,E01000219,B14,1,1,1.0
2015-10,E01000219,B26,1,1,1.0
2015-10,E01000221,B14,5,1,5.0
2015-10,E01000221,B25,1,1,1.0
2015-10,E01000222,B14,1,1,1.0
2015-10,E01000222,B7,1,1,1.0
2015-10,E01000223,B14,2,1,2.0
2015-10,E01000223,B25,1,1,1.0
2015-10,E01000223,B26,1,1,1.0
2015-10,E01000224,B14,1,1,1.0
2015-10,E01000224,B2,1,1,1.0
2015-10,E01000224,B26,5,2,2.5
2015-10,E01000225,B26,1,1,1.0
2015-10,E01000228,B13,2,2,1.0
2015-10,E01000229,B26,1,1,1.0
2015-10,E01000231,B1,1,1,1.0
2015-10,E01000232,B19,2,2,1.0
2015-10,E01000233,B19,1,1,1.0
2015-10,E01000234,B25,1,1,1.0
2015-10,E01000234,B26,1,1,1.0
2015-10,E01000235,B25,2,2,1.0
2015-10,E01000237,B13,1,1,1.0
2015-10,E01000237,B14,6,1,6.0
2015-10,E01000237,B25,1,1,1.0
2015-10,E01000239,B14,1,1,1.0
2015-10,E01000242,B13,1,1,1.0
2015-10,E01000242,B14,1,1,1.0
2015-10,E01000242,B24,1,1,1.0
2015-10,E01000243,B14,1,1,1.0
2015-10,E01000244,B14,3,1,3.0
2015-10,E01000244,B24,1,1,1.0
2015-10,E01000244,B25,2,1,2.0
2015-10,E01000244,B26,1,1,1.0
2015-10,E01000245,B14,1,1,1.0
2015-10,E01000246,B19,1,1,1.0
2015-10,E01000246,B26,2,1,2.0
2015-10,E01000246,B28,1,1,1.0
2015-10,E01000250,B13,1,1,1.0
2015-10,E01000250,B14,1,1,1.0
2015-10,E01000250,B28,1,1,1.0
2015-10,E01000251,B25,1,1,1.0
2015-10,E01000252,B14,1,1,1.0
2015-10,E01000252,B26,1,1,1.0
2015-10,E01000254,B17,1,1,1.0
2015-10,E01000255,B13,1,1,1.0
2015-10,E01000255,B25,1,1,1.0
2015-10,E01000255,B26,1,1,1.0
2015-10,E01000258,B17,1,1,1.0
2015-10,E01000260,B26,3,2,1.5
2015-10,E01000261,B13,1,1,1.0
2015-10,E01000261,B7,1,1,1.0
2015-10,E01000262,B13,1,1,1.0
2015-10,E01000263,B13,1,1,1.0
2015-10,E01000263,B19,1,1,1.0
2015-10,E01000265,B13,1,1,1.0
2015-10,E01000266,B19,1,1,1.0
2015-10,E01000268,B13,1,1,1.0
2015-10,E01000268,B14,1,1,1.0
2015-10,E01000268,B24,1,1,1.0
2015-10,E01000268,B25,3,1,3.0
2015-10,E01000269,B1,2,2,1.0
2015-10,E01000270,B14,1,1,1.0
2015-10,E01000271,B19,1,1,1.0
2015-10,E01000273,B14,2,1,2.0
2015-10,E01000273,B24,1,1,1.0
2015-10,E01000274,B13,1,1,1.0
2015-10,E01000275,B13,1,1,1.0
2015-10,E01000277,B19,2,1,2.0
2015-10,E01000278,B14,1,1,1.0
2015-10,E01000278,B19,1,1,1.0
2015-10,E01000280,B13,1,1,1.0
2015-10,E01000282,B14,2,1,2.0
2015-10,E01000284,B7,1,1,1.0
2015-10,E01000289,B26,1,1,1.0
2015-10,E01000292,B25,1,1,1.0
2015-10,E01000293,B14,2,1,2.0
2015-10,E01000296,B14,3,1,3.0
2015-10,E01000296,B26,1,1,1.0
2015-10,E01000297,B1,1,1,1.0
2015-10,E01000299,B13,1,1,1.0
2015-10,E01000299,B26,3,3,1.0
2015-10,E01000301,B13,1,1,1.0
2015-10,E01000301,B14,2,1,2.0
2015-10,E01000301,B17,1,1,1.0
