period,LSOA,SHEF_B_CODE,report_count,user_count,average
2016-5,,B16,1,1,1.0
2016-5,,B25,1,1,1.0
2016-5,95CC13W1,B25,1,1,1.0
2016-5,95DD14S1,B13,1,1,1.0
2016-5,95JJ08S1,B25,1,1,1.0
2016-5,95LL25S2,B25,1,1,1.0
2016-5,95SS01S1,B13,1,1,1.0
2016-5,95SS28W1,B28,1,1,1.0
2016-5,95WW19S1,B26,1,1,1.0
2016-5,95WW20S2,B16,2,2,1.0
2016-5,95WW25W1,B7,1,1,1.0
2016-5,95ZZ01W1,B26,1,1,1.0
2016-5,E01000003,B1,1,1,1.0
2016-5,E01000008,B14,1,1,1.0
2016-5,E01000030,B18,3,1,3.0
2016-5,E01000032,B1,1,1,1.0
2016-5,E01000038,B18,3,1,3.0
2016-5,E01000040,B26,1,1,1.0
2016-5,E01000042,B26,1,1,1.0
2016-5,E01000044,B16,1,1,1.0
2016-5,E01000050,B25,1,1,1.0
2016-5,E01000052,B19,2,1,2.0
2016-5,E01000063,B28,1,1,1.0
2016-5,E01000065,B16,1,1,1.0
2016-5,E01000067,B17,1,1,1.0
2016-5,E01000068,B1,1,1,1.0
2016-5,E01000068,B26,1,1,1.0
2016-5,E01000071,B25,1,1,1.0
2016-5,E01000072,B26,1,1,1.0
2016-5,E01000116,B19,1,1,1.0
2016-5,E01000117,B26,1,1,1.0
2016-5,E01000118,B13,1,1,1.0
2016-5,E01000118,B26,2,2,1.0
2016-5,E01000120,B19,1,1,1.0
2016-5,E01000126,B17,2,1,2.0
2016-5,E01000126,B19,1,1,1.0
2016-5,E01000126,B26,1,1,1.0
2016-5,E01000126,B7,1,1,1.0
2016-5,E01000128,B1,1,1,1.0
2016-5,E01000128,B26,1,1,1.0
2016-5,E01000131,B26,2,1,2.0
2016-5,E01000135,B26,1,1,1.0
2016-5,E01000136,B25,1,1,1.0
2016-5,E01000136,B26,2,1,2.0
2016-5,E01000138,B19,1,1,1.0
2016-5,E01000138,B26,2,2,1.0
2016-5,E01000139,B19,1,1,1.0
2016-5,E01000141,B26,2,1,2.0
2016-5,E01000142,B19,1,1,1.0
2016-5,E01000142,B26,2,2,1.0
2016-5,E01000146,B26,4,1,4.0
2016-5,E01000150,B26,1,1,1.0
2016-5,E01000152,B26,1,1,1.0
2016-5,E01000154,B13,1,1,1.0
2016-5,E01000157,B1,3,1,3.0
2016-5,E01000159,B13,1,1,1.0
2016-5,E01000161,B17,1,1,1.0
2016-5,E01000164,B1,1,1,1.0
2016-5,E01000167,B26,3,2,1.5
2016-5,E01000170,B25,1,1,1.0
2016-5,E01000173,B26,2,1,2.0
2016-5,E01000175,B25,2,2,1.0
2016-5,E01000175,B28,2,1,2.0
