period,LSOA,SHEF_B,report_count,user_count,average
2017-8,95BB12S2,Pavement /Footway Defects,1,1,1.0
2017-8,95BB15S1,Highways Enquiries,1,1,1.0
2017-8,95BB20S2,Other,1,1,1.0
2017-8,95BB20S2,Street Lights,1,1,1.0
2017-8,95CC09S2,Road Surface Defects,1,1,1.0
2017-8,95GG04S1,Pavement /Footway Defects,1,1,1.0
2017-8,95GG29S1,Dog Fouling,1,1,1.0
2017-8,95GG41S1,Pavement /Footway Defects,1,1,1.0
2017-8,95GG50S2,Rubbish,3,2,1.5
2017-8,95GG50S3,Dog Fouling,1,1,1.0
2017-8,95GG50S3,Rubbish,2,1,2.0
2017-8,95KK06W1,Abandoned Vehicles,1,1,1.0
2017-8,95MM12S1,Rubbish,1,1,1.0
2017-8,95NN21W1,Highways Enquiries,1,1,1.0
2017-8,95NN21W1,Street Lights,1,1,1.0
2017-8,95PP10W1,Highways Enquiries,1,1,1.0
2017-8,95PP10W1,Road Surface Defects,1,1,1.0
2017-8,95SS04S3,Rubbish,1,1,1.0
2017-8,95VV26W1,Pavement /Footway Defects,1,1,1.0
2017-8,95VV27W1,Pavement /Footway Defects,1,1,1.0
2017-8,95VV27W1,Street Lights,1,1,1.0
2017-8,95XX15W1,Abandoned Vehicles,1,1,1.0
2017-8,95YY17W1,Road Surface Defects,1,1,1.0
2017-8,E01000001,Road Safety,1,1,1.0
2017-8,E01000015,Abandoned Vehicles,1,1,1.0
2017-8,E01000015,Highways Enquiries,2,1,2.0
2017-8,E01000015,Rubbish,3,1,3.0
2017-8,E01000015,Street Lights,1,1,1.0
2017-8,E01000023,Abandoned Vehicles,1,1,1.0
2017-8,E01000038,Pavement /Footway Defects,1,1,1.0
2017-8,E01000039,Rubbish,1,1,1.0
2017-8,E01000042,Overgrown/Fallen Veg/Trees,1,1,1.0
2017-8,E01000057,Street Lights,1,1,1.0
2017-8,E01000062,Abandoned Vehicles,1,1,1.0
2017-8,E01000068,Rubbish,1,1,1.0
2017-8,E01000080,Pavement /Footway Defects,1,1,1.0
2017-8,E01000080,Street Lights,1,1,1.0
2017-8,E01000092,Overgrown/Fallen Veg/Trees,1,1,1.0
2017-8,E01000092,Rubbish,1,1,1.0
2017-8,E01000095,Pavement /Footway Defects,1,1,1.0
2017-8,E01000096,Rubbish,1,1,1.0
2017-8,E01000116,Drainage,1,1,1.0
2017-8,E01000117,Pavement /Footway Defects,3,2,1.5
2017-8,E01000118,Highways Enquiries,1,1,1.0
2017-8,E01000118,Pavement /Footway Defects,1,1,1.0
2017-8,E01000118,Rubbish,1,1,1.0
2017-8,E01000119,Pavement /Footway Defects,1,1,1.0
2017-8,E01000125,Dog Fouling,1,1,1.0
2017-8,E01000125,Pavement /Footway Defects,1,1,1.0
2017-8,E01000127,Rubbish,3,1,3.0
2017-8,E01000128,Rubbish,2,1,2.0
2017-8,E01000132,Abandoned Vehicles,1,1,1.0
2017-8,E01000132,Rubbish,3,1,3.0
2017-8,E01000133,Abandoned Vehicles,1,1,1.0
2017-8,E01000133,Highways Enquiries,1,1,1.0
2017-8,E01000133,Rubbish,2,1,2.0
2017-8,E01000138,Rubbish,1,1,1.0
2017-8,E01000142,Abandoned Vehicles,1,1,1.0
2017-8,E01000150,Dog Fouling,1,1,1.0
2017-8,E01000150,Drainage,1,1,1.0
2017-8,E01000150,Pavement /Footway Defects,1,1,1.0
2017-8,E01000150,Rubbish,1,1,1.0
2017-8,E01000155,Road Surface Defects,1,1,1.0
2017-8,E01000155,Rubbish,1,1,1.0
2017-8,E01000156,Rubbish,2,2,1.0
2017-8,E01000157,Abandoned Vehicles,1,1,1.0
2017-8,E01000157,Rubbish,1,1,1.0
2017-8,E01000158,Overgrown/Fallen Veg/Trees,1,1,1.0
2017-8,E01000159,Drainage,1,1,1.0
2017-8,E01000162,Drainage,1,1,1.0
2017-8,E01000164,Abandoned Vehicles,1,1,1.0
2017-8,E01000170,Highways Enquiries,1,1,1.0
2017-8,E01000171,Highways Enquiries,1,1,1.0
2017-8,E01000173,Pavement /Footway Defects,2,2,1.0
2017-8,E01000174,Abandoned Vehicles,2,2,1.0
2017-8,E01000174,Highways Enquiries,1,1,1.0
2017-8,E01000174,Rubbish,1,1,1.0
2017-8,E01000175,Drainage,1,1,1.0
