lsoa,SHEF_C_CODE,reports,unique_users,average_per_user
E01001321,C2,1,1,1.0
E01005732,C2,1,1,1.0
E01007698,C2,1,1,1.0
E01007816,C2,1,1,1.0
E01007820,C2,1,1,1.0
E01007821,C2,1,1,1.0
E01007838,C2,1,1,1.0
E01007856,C2,1,1,1.0
E01008005,C2,1,1,1.0
E01009226,C2,1,1,1.0
E01009247,C2,1,1,1.0
E01010399,C2,1,1,1.0
E01014123,C2,1,1,1.0
E01014428,C2,1,1,1.0
E01014594,C2,1,1,1.0
E01014600,C2,1,1,1.0
E01015225,C2,1,1,1.0
E01015591,C2,1,1,1.0
E01016752,C2,1,1,1.0
E01016834,C2,1,1,1.0
E01018188,C2,1,1,1.0
E01018272,C2,1,1,1.0
E01020539,C2,1,1,1.0
E01022298,C2,1,1,1.0
E01024086,C2,1,1,1.0
E01026743,C2,1,1,1.0
E01027010,C2,1,1,1.0
E01027041,C2,1,1,1.0
E01027973,C2,1,1,1.0
E01031647,C2,1,1,1.0
E01033740,C2,1,1,1.0
S01009075,C2,1,1,1.0
E01000275,C3,1,1,1.0
E01000640,C3,1,1,1.0
E01000700,C3,1,1,1.0
E01001060,C3,1,1,1.0
E01001198,C3,2,1,2.0
E01001199,C3,1,1,1.0
E01001384,C3,1,1,1.0
E01001584,C3,1,1,1.0
E01001720,C3,1,1,1.0
E01001738,C3,1,1,1.0
E01001748,C3,1,1,1.0
E01001840,C3,1,1,1.0
E01001983,C3,1,1,1.0
E01002063,C3,1,1,1.0
E01002551,C3,1,1,1.0
E01002584,C3,1,1,1.0
E01002708,C3,2,1,2.0
E01002710,C3,1,1,1.0
E01002712,C3,2,1,2.0
E01002735,C3,1,1,1.0
E01002903,C3,2,1,2.0
E01003058,C3,1,1,1.0
E01003131,C3,1,1,1.0
E01003341,C3,1,1,1.0
E01003581,C3,1,1,1.0
E01003675,C3,1,1,1.0
E01003746,C3,1,1,1.0
E01003939,C3,1,1,1.0
E01004029,C3,1,1,1.0
E01004151,C3,1,1,1.0
E01004394,C3,1,1,1.0
E01004425,C3,1,1,1.0
E01004498,C3,1,1,1.0
E01004590,C3,1,1,1.0
E01004592,C3,1,1,1.0
E01004697,C3,1,1,1.0
E01004860,C3,1,1,1.0
E01004909,C3,1,1,1.0
E01004923,C3,1,1,1.0
E01005108,C3,1,1,1.0
E01005227,C3,1,1,1.0
E01005246,C3,1,1,1.0
E01005275,C3,1,1,1.0
E01005286,C3,1,1,1.0
E01005310,C3,1,1,1.0
E01005853,C3,1,1,1.0
E01006058,C3,1,1,1.0
E01006379,C3,1,1,1.0
E01006380,C3,2,1,2.0
E01006726,C3,1,1,1.0
E01006791,C3,1,1,1.0
E01007544,C3,1,1,1.0
E01007645,C3,1,1,1.0
E01007669,C3,1,1,1.0
E01007698,C3,1,1,1.0
E01007822,C3,1,1,1.0
E01007832,C3,1,1,1.0
E01007838,C3,1,1,1.0
E01008005,C3,1,1,1.0
E01008016,C3,1,1,1.0
E01008032,C3,1,1,1.0
E01008161,C3,1,1,1.0
E01008455,C3,1,1,1.0
E01008775,C3,1,1,1.0
E01008884,C3,1,1,1.0
E01009615,C3,1,1,1.0
E01010132,C3,1,1,1.0
E01010164,C3,1,1,1.0
E01010327,C3,1,1,1.0
E01010552,C3,1,1,1.0
E01010616,C3,1,1,1.0
E01010715,C3,1,1,1.0
E01010795,C3,1,1,1.0
E01010856,C3,1,1,1.0
E01010860,C3,1,1,1.0
E01010887,C3,1,1,1.0
E01010911,C3,1,1,1.0
E01011154,C3,1,1,1.0
E01011284,C3,1,1,1.0
E01011395,C3,1,1,1.0
E01011507,C3,1,1,1.0
E01011616,C3,1,1,1.0
E01012402,C3,1,1,1.0
