period,LSOA,SHEF_C,report_count,user_count,average
2009,E01000002,Other,1,1,1.0
2009,E01000002,Road Safety & Defects,3,2,1.5
2009,E01000003,Road Safety & Defects,1,1,1.0
2009,E01000005,Road Safety & Defects,1,1,1.0
2009,E01000005,Vehicles,1,1,1.0
2009,E01000006,Road Safety & Defects,1,1,1.0
2009,E01000007,Other,1,1,1.0
2009,E01000007,Road Safety & Defects,5,3,1.6666666666666667
2009,E01000009,Other,1,1,1.0
2009,E01000009,Road Safety & Defects,6,1,6.0
2009,E01000010,Other,1,1,1.0
2009,E01000010,Road Safety & Defects,7,2,3.5
2009,E01000012,Road Safety & Defects,1,1,1.0
2009,E01000013,Road Safety & Defects,1,1,1.0
2009,E01000015,Other,1,1,1.0
2009,E01000019,Environmental Health,2,1,2.0
2009,E01000021,Environmental Disruptions,1,1,1.0
2009,E01000025,Other,1,1,1.0
2009,E01000025,Road Safety & Defects,1,1,1.0
2009,E01000027,Other,1,1,1.0
2009,E01000038,Environmental Health,1,1,1.0
2009,E01000038,Vehicles,1,1,1.0
2009,E01000039,Other,1,1,1.0
2009,E01000039,Road Safety & Defects,1,1,1.0
2009,E01000040,Environmental Health,3,2,1.5
2009,E01000040,Other,1,1,1.0
2009,E01000040,Road Safety & Defects,2,1,2.0
2009,E01000040,Vehicles,1,1,1.0
2009,E01000042,Road Safety & Defects,2,2,1.0
2009,E01000044,Road Safety & Defects,3,2,1.5
2009,E01000046,Environmental Health,1,1,1.0
2009,E01000050,Road Safety & Defects,2,1,2.0
2009,E01000051,Road Safety & Defects,1,1,1.0
2009,E01000052,Road Safety & Defects,1,1,1.0
2009,E01000062,Vehicles,1,1,1.0
2009,E01000069,Environmental Health,1,1,1.0
2009,E01000070,Environmental Disruptions,1,1,1.0
2009,E01000070,Environmental Health,1,1,1.0
2009,E01000070,Road Safety & Defects,1,1,1.0
2009,E01000071,Road Safety & Defects,1,1,1.0
2009,E01000072,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000072,Environmental Health,1,1,1.0
2009,E01000080,Road Safety & Defects,2,2,1.0
2009,E01000083,Other,1,1,1.0
2009,E01000085,Access,1,1,1.0
2009,E01000094,Vehicles,1,1,1.0
2009,E01000096,Road Safety & Defects,1,1,1.0
2009,E01000099,Road Safety & Defects,1,1,1.0
2009,E01000100,Other,1,1,1.0
2009,E01000102,Other,1,1,1.0
2009,E01000105,Other,2,1,2.0
2009,E01000105,Road Safety & Defects,1,1,1.0
2009,E01000106,Vehicles,1,1,1.0
2009,E01000115,Environmental Health,1,1,1.0
2009,E01000115,Other,7,2,3.5
2009,E01000115,Road Safety & Defects,1,1,1.0
2009,E01000116,Other,1,1,1.0
2009,E01000117,Road Safety & Defects,1,1,1.0
2009,E01000119,Road Safety & Defects,2,2,1.0
2009,E01000121,Environmental Health,1,1,1.0
2009,E01000122,Other,1,1,1.0
2009,E01000125,Other,1,1,1.0
2009,E01000126,Other,1,1,1.0
2009,E01000126,Public Space,1,1,1.0
2009,E01000126,Road Safety & Defects,1,1,1.0
2009,E01000128,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000128,Other,2,2,1.0
2009,E01000129,Environmental Health,1,1,1.0
2009,E01000129,Road Safety & Defects,3,1,3.0
2009,E01000133,Road Safety & Defects,1,1,1.0
2009,E01000135,Public Space,1,1,1.0
2009,E01000136,Other,1,1,1.0
2009,E01000136,Road Safety & Defects,1,1,1.0
2009,E01000138,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000138,Road Safety & Defects,1,1,1.0
2009,E01000139,Public Space,1,1,1.0
2009,E01000139,Road Safety & Defects,1,1,1.0
2009,E01000140,Road Safety & Defects,1,1,1.0
2009,E01000141,Environmental Health,3,2,1.5
2009,E01000141,Incivilities,1,1,1.0
2009,E01000141,Road Safety & Defects,3,2,1.5
2009,E01000144,Other,1,1,1.0
2009,E01000144,Road Safety & Defects,1,1,1.0
2009,E01000147,Abandoned Vehicles & Parking,3,1,3.0
2009,E01000147,Environmental Health,1,1,1.0
2009,E01000147,Other,1,1,1.0
2009,E01000147,Road Safety & Defects,2,2,1.0
2009,E01000148,Road Safety & Defects,1,1,1.0
2009,E01000150,Road Safety & Defects,1,1,1.0
2009,E01000151,Other,1,1,1.0
2009,E01000155,Road Safety & Defects,3,3,1.0
2009,E01000155,Vehicles,1,1,1.0
2009,E01000159,Environmental Health,1,1,1.0
2009,E01000159,Road Safety & Defects,1,1,1.0
2009,E01000159,Vehicles,1,1,1.0
2009,E01000160,Environmental Health,8,4,2.0
2009,E01000160,Other,1,1,1.0
2009,E01000160,Road Safety & Defects,3,1,3.0
2009,E01000161,Road Safety & Defects,1,1,1.0
2009,E01000163,Environmental Health,1,1,1.0
2009,E01000164,Environmental Health,1,1,1.0
2009,E01000164,Road Safety & Defects,1,1,1.0
2009,E01000165,Environmental Health,2,1,2.0
2009,E01000166,Environmental Disruptions,1,1,1.0
2009,E01000167,Road Safety & Defects,1,1,1.0
2009,E01000168,Other,2,1,2.0
2009,E01000168,Road Safety & Defects,1,1,1.0
2009,E01000169,Other,1,1,1.0
2009,E01000169,Road Safety & Defects,1,1,1.0
2009,E01000170,Environmental Disruptions,1,1,1.0
2009,E01000170,Other,1,1,1.0
2009,E01000170,Road Safety & Defects,2,2,1.0
2009,E01000171,Abandoned Vehicles & Parking,2,2,1.0
2009,E01000171,Environmental Health,1,1,1.0
2009,E01000171,Incivilities,1,1,1.0
2009,E01000171,Other,3,2,1.5
2009,E01000171,Road Safety & Defects,4,2,2.0
2009,E01000172,Road Safety & Defects,1,1,1.0
2009,E01000173,Environmental Disruptions,1,1,1.0
2009,E01000173,Environmental Health,2,2,1.0
2009,E01000173,Other,1,1,1.0
2009,E01000173,Road Safety & Defects,9,4,2.25
2009,E01000173,Vehicles,1,1,1.0
2009,E01000174,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000174,Road Safety & Defects,1,1,1.0
2009,E01000175,Road Safety & Defects,1,1,1.0
2009,E01000177,Other,1,1,1.0
2009,E01000177,Road Safety & Defects,2,2,1.0
2009,E01000179,Road Safety & Defects,1,1,1.0
2009,E01000180,Other,1,1,1.0
2009,E01000180,Road Safety & Defects,2,2,1.0
2009,E01000181,Environmental Health,1,1,1.0
2009,E01000182,Other,1,1,1.0
2009,E01000182,Road Safety & Defects,1,1,1.0
2009,E01000183,Road Safety & Defects,2,2,1.0
2009,E01000185,Road Safety & Defects,2,2,1.0
2009,E01000188,Environmental Disruptions,3,1,3.0
2009,E01000188,Road Safety & Defects,3,2,1.5
2009,E01000190,Road Safety & Defects,1,1,1.0
2009,E01000191,Road Safety & Defects,2,2,1.0
2009,E01000192,Road Safety & Defects,1,1,1.0
2009,E01000193,Road Safety & Defects,2,2,1.0
2009,E01000194,Other,1,1,1.0
2009,E01000194,Road Safety & Defects,1,1,1.0
2009,E01000196,Road Safety & Defects,1,1,1.0
2009,E01000197,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000197,Environmental Health,3,1,3.0
2009,E01000197,Incivilities,1,1,1.0
2009,E01000197,Road Safety & Defects,2,1,2.0
2009,E01000198,Road Safety & Defects,1,1,1.0
2009,E01000199,Road Safety & Defects,1,1,1.0
2009,E01000201,Road Safety & Defects,1,1,1.0
2009,E01000202,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000202,Road Safety & Defects,1,1,1.0
2009,E01000202,Vehicles,1,1,1.0
2009,E01000203,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000204,Road Safety & Defects,1,1,1.0
2009,E01000206,Other,1,1,1.0
2009,E01000206,Road Safety & Defects,2,2,1.0
2009,E01000207,Road Safety & Defects,2,2,1.0
2009,E01000208,Environmental Health,1,1,1.0
2009,E01000208,Public Space,1,1,1.0
2009,E01000209,Other,1,1,1.0
2009,E01000210,Environmental Health,1,1,1.0
2009,E01000211,Road Safety & Defects,1,1,1.0
2009,E01000211,Vehicles,1,1,1.0
2009,E01000212,Environmental Disruptions,1,1,1.0
2009,E01000212,Road Safety & Defects,1,1,1.0
2009,E01000213,Road Safety & Defects,2,2,1.0
2009,E01000215,Abandoned Vehicles & Parking,3,1,3.0
2009,E01000219,Other,1,1,1.0
2009,E01000221,Environmental Health,1,1,1.0
2009,E01000221,Road Safety & Defects,2,2,1.0
2009,E01000222,Environmental Health,1,1,1.0
2009,E01000226,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000230,Road Safety & Defects,2,2,1.0
2009,E01000233,Road Safety & Defects,1,1,1.0
2009,E01000234,Environmental Health,1,1,1.0
2009,E01000234,Road Safety & Defects,1,1,1.0
2009,E01000235,Environmental Health,4,1,4.0
2009,E01000235,Vehicles,1,1,1.0
2009,E01000238,Environmental Health,2,2,1.0
2009,E01000239,Environmental Health,1,1,1.0
2009,E01000239,Road Safety & Defects,1,1,1.0
2009,E01000241,Vehicles,1,1,1.0
2009,E01000242,Road Safety & Defects,1,1,1.0
2009,E01000243,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000243,Road Safety & Defects,3,3,1.0
2009,E01000244,Road Safety & Defects,1,1,1.0
2009,E01000245,Environmental Health,2,2,1.0
2009,E01000246,Environmental Health,1,1,1.0
2009,E01000249,Road Safety & Defects,1,1,1.0
2009,E01000250,Road Safety & Defects,2,2,1.0
2009,E01000251,Environmental Health,2,2,1.0
2009,E01000251,Incivilities,1,1,1.0
2009,E01000251,Other,1,1,1.0
2009,E01000253,Environmental Health,1,1,1.0
2009,E01000253,Road Safety & Defects,2,2,1.0
2009,E01000255,Environmental Health,1,1,1.0
2009,E01000256,Road Safety & Defects,1,1,1.0
2009,E01000257,Environmental Health,1,1,1.0
2009,E01000257,Road Safety & Defects,1,1,1.0
2009,E01000257,Vehicles,1,1,1.0
2009,E01000258,Road Safety & Defects,2,2,1.0
2009,E01000259,Environmental Health,1,1,1.0
2009,E01000259,Road Safety & Defects,1,1,1.0
2009,E01000260,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000262,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000262,Environmental Health,1,1,1.0
2009,E01000264,Other,1,1,1.0
2009,E01000268,Environmental Health,1,1,1.0
2009,E01000268,Other,1,1,1.0
2009,E01000269,Environmental Health,1,1,1.0
2009,E01000269,Public Space,1,1,1.0
2009,E01000270,Road Safety & Defects,1,1,1.0
2009,E01000273,Environmental Disruptions,1,1,1.0
2009,E01000273,Road Safety & Defects,2,2,1.0
2009,E01000273,Vehicles,1,1,1.0
2009,E01000275,Vehicles,1,1,1.0
2009,E01000276,Environmental Health,1,1,1.0
2009,E01000279,Environmental Health,1,1,1.0
2009,E01000280,Public Space,1,1,1.0
2009,E01000281,Road Safety & Defects,1,1,1.0
2009,E01000282,Environmental Disruptions,1,1,1.0
2009,E01000283,Road Safety & Defects,1,1,1.0
2009,E01000288,Road Safety & Defects,1,1,1.0
2009,E01000290,Other,1,1,1.0
2009,E01000290,Road Safety & Defects,2,2,1.0
2009,E01000293,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000293,Environmental Disruptions,1,1,1.0
2009,E01000293,Other,1,1,1.0
2009,E01000293,Road Safety & Defects,3,3,1.0
2009,E01000294,Environmental Health,1,1,1.0
2009,E01000296,Road Safety & Defects,2,2,1.0
2009,E01000297,Other,1,1,1.0
2009,E01000298,Environmental Health,1,1,1.0
2009,E01000298,Other,2,2,1.0
2009,E01000298,Road Safety & Defects,5,3,1.6666666666666667
2009,E01000298,Vehicles,1,1,1.0
2009,E01000301,Road Safety & Defects,4,2,2.0
2009,E01000302,Other,1,1,1.0
2009,E01000302,Road Safety & Defects,1,1,1.0
2009,E01000303,Other,1,1,1.0
2009,E01000303,Public Space,1,1,1.0
2009,E01000303,Road Safety & Defects,3,2,1.5
2009,E01000304,Road Safety & Defects,6,3,2.0
2009,E01000305,Road Safety & Defects,1,1,1.0
2009,E01000306,Other,1,1,1.0
2009,E01000307,Road Safety & Defects,4,3,1.3333333333333333
2009,E01000309,Vehicles,1,1,1.0
2009,E01000310,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000310,Other,1,1,1.0
2009,E01000310,Road Safety & Defects,1,1,1.0
2009,E01000311,Road Safety & Defects,1,1,1.0
2009,E01000312,Road Safety & Defects,1,1,1.0
2009,E01000314,Environmental Health,1,1,1.0
2009,E01000314,Road Safety & Defects,1,1,1.0
2009,E01000314,Vehicles,1,1,1.0
2009,E01000315,Road Safety & Defects,1,1,1.0
2009,E01000316,Environmental Disruptions,1,1,1.0
2009,E01000316,Environmental Health,1,1,1.0
2009,E01000316,Other,1,1,1.0
2009,E01000316,Road Safety & Defects,4,1,4.0
2009,E01000317,Other,1,1,1.0
2009,E01000317,Vehicles,1,1,1.0
2009,E01000318,Road Safety & Defects,1,1,1.0
2009,E01000320,Environmental Health,1,1,1.0
2009,E01000321,Road Safety & Defects,2,1,2.0
2009,E01000324,Environmental Health,1,1,1.0
2009,E01000324,Other,1,1,1.0
2009,E01000327,Road Safety & Defects,1,1,1.0
2009,E01000328,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000329,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000336,Environmental Health,1,1,1.0
2009,E01000343,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000343,Road Safety & Defects,1,1,1.0
2009,E01000344,Vehicles,1,1,1.0
2009,E01000345,Road Safety & Defects,1,1,1.0
2009,E01000348,Other,1,1,1.0
2009,E01000349,Road Safety & Defects,2,2,1.0
2009,E01000352,Road Safety & Defects,1,1,1.0
2009,E01000352,Vehicles,1,1,1.0
2009,E01000354,Other,1,1,1.0
2009,E01000360,Road Safety & Defects,1,1,1.0
2009,E01000362,Environmental Health,1,1,1.0
2009,E01000362,Road Safety & Defects,1,1,1.0
2009,E01000364,Road Safety & Defects,1,1,1.0
2009,E01000366,Road Safety & Defects,1,1,1.0
2009,E01000370,Road Safety & Defects,1,1,1.0
2009,E01000371,Environmental Disruptions,1,1,1.0
2009,E01000371,Environmental Health,1,1,1.0
2009,E01000372,Road Safety & Defects,1,1,1.0
2009,E01000373,Environmental Health,2,2,1.0
2009,E01000373,Vehicles,2,1,2.0
2009,E01000379,Environmental Health,1,1,1.0
2009,E01000379,Road Safety & Defects,2,2,1.0
2009,E01000383,Other,1,1,1.0
2009,E01000385,Environmental Health,1,1,1.0
2009,E01000388,Road Safety & Defects,1,1,1.0
2009,E01000388,Vehicles,1,1,1.0
2009,E01000401,Environmental Health,3,2,1.5
2009,E01000401,Other,3,1,3.0
2009,E01000401,Road Safety & Defects,2,2,1.0
2009,E01000404,Environmental Disruptions,1,1,1.0
2009,E01000405,Road Safety & Defects,1,1,1.0
2009,E01000407,Other,1,1,1.0
2009,E01000409,Road Safety & Defects,2,1,2.0
2009,E01000410,Other,1,1,1.0
2009,E01000410,Road Safety & Defects,1,1,1.0
2009,E01000410,Vehicles,1,1,1.0
2009,E01000412,Environmental Disruptions,1,1,1.0
2009,E01000412,Road Safety & Defects,2,1,2.0
2009,E01000414,Environmental Health,1,1,1.0
2009,E01000414,Other,1,1,1.0
2009,E01000414,Road Safety & Defects,2,1,2.0
2009,E01000416,Environmental Health,1,1,1.0
2009,E01000417,Environmental Health,1,1,1.0
2009,E01000417,Other,1,1,1.0
2009,E01000417,Public Space,1,1,1.0
2009,E01000417,Vehicles,1,1,1.0
2009,E01000418,Environmental Health,1,1,1.0
2009,E01000419,Road Safety & Defects,1,1,1.0
2009,E01000422,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000423,Road Safety & Defects,1,1,1.0
2009,E01000424,Other,1,1,1.0
2009,E01000427,Vehicles,1,1,1.0
2009,E01000430,Environmental Health,1,1,1.0
2009,E01000431,Environmental Health,1,1,1.0
2009,E01000433,Road Safety & Defects,1,1,1.0
2009,E01000444,Environmental Health,1,1,1.0
2009,E01000444,Road Safety & Defects,1,1,1.0
2009,E01000446,Environmental Health,1,1,1.0
2009,E01000448,Road Safety & Defects,1,1,1.0
2009,E01000455,Environmental Health,1,1,1.0
2009,E01000455,Vehicles,1,1,1.0
2009,E01000457,Other,1,1,1.0
2009,E01000460,Road Safety & Defects,1,1,1.0
2009,E01000462,Road Safety & Defects,1,1,1.0
2009,E01000464,Other,1,1,1.0
2009,E01000465,Road Safety & Defects,2,2,1.0
2009,E01000466,Vehicles,1,1,1.0
2009,E01000469,Incivilities,1,1,1.0
2009,E01000469,Other,1,1,1.0
2009,E01000469,Road Safety & Defects,2,1,2.0
2009,E01000469,Vehicles,1,1,1.0
2009,E01000471,Other,2,1,2.0
2009,E01000471,Vehicles,2,1,2.0
2009,E01000472,Other,1,1,1.0
2009,E01000472,Road Safety & Defects,1,1,1.0
2009,E01000480,Road Safety & Defects,3,3,1.0
2009,E01000486,Environmental Disruptions,1,1,1.0
2009,E01000486,Environmental Health,1,1,1.0
2009,E01000486,Other,1,1,1.0
2009,E01000486,Road Safety & Defects,2,2,1.0
2009,E01000489,Incivilities,2,1,2.0
2009,E01000489,Road Safety & Defects,1,1,1.0
2009,E01000490,Environmental Health,3,3,1.0
2009,E01000490,Incivilities,1,1,1.0
2009,E01000493,Abandoned Vehicles & Parking,1,1,1.0
2009,E01000493,Other,2,1,2.0
2009,E01000493,Road Safety & Defects,2,1,2.0
2009,E01000494,Road Safety & Defects,1,1,1.0
2009,E01000497,Incivilities,1,1,1.0
2009,E01000499,Road Safety & Defects,8,2,4.0
2009,E01000501,Public Space,1,1,1.0
2009,E01000501,Road Safety & Defects,3,2,1.5
2009,E01000502,Vehicles,1,1,1.0
2009,E01000503,Incivilities,2,1,2.0
2009,E01000503,Road Safety & Defects,3,1,3.0
2009,E01000505,Environmental Health,1,1,1.0
2009,E01000505,Incivilities,3,1,3.0
2009,E01000506,Road Safety & Defects,1,1,1.0
2009,E01000507,Incivilities,4,1,4.0
2009,E01000511,Environmental Health,1,1,1.0
2009,E01000512,Incivilities,1,1,1.0
