period,LSOA,SHEF_C_CODE,report_count,user_count,average
2012-6,,C4,1,1,1.0
2012-6,,C7,1,1,1.0
2012-6,E01000001,C3,1,1,1.0
2012-6,E01000006,C7,1,1,1.0
2012-6,E01000009,C7,2,1,2.0
2012-6,E01000010,C3,1,1,1.0
2012-6,E01000010,C7,1,1,1.0
2012-6,E01000012,C7,1,1,1.0
2012-6,E01000032,C3,1,1,1.0
2012-6,E01000044,C7,1,1,1.0
2012-6,E01000082,C7,1,1,1.0
2012-6,E01000094,C8,1,1,1.0
2012-6,E01000116,C2,1,1,1.0
2012-6,E01000118,C7,1,1,1.0
2012-6,E01000118,C8,1,1,1.0
2012-6,E01000123,C8,1,1,1.0
2012-6,E01000126,C3,1,1,1.0
2012-6,E01000127,C2,2,1,2.0
2012-6,E01000132,C8,1,1,1.0
2012-6,E01000139,C7,2,1,2.0
2012-6,E01000141,C2,1,1,1.0
2012-6,E01000141,C7,1,1,1.0
2012-6,E01000148,C7,1,1,1.0
2012-6,E01000150,C3,1,1,1.0
2012-6,E01000160,C2,1,1,1.0
2012-6,E01000168,C2,1,1,1.0
2012-6,E01000176,C7,1,1,1.0
2012-6,E01000177,C7,1,1,1.0
2012-6,E01000181,C7,1,1,1.0
2012-6,E01000182,C3,1,1,1.0
2012-6,E01000182,C7,1,1,1.0
2012-6,E01000184,C7,1,1,1.0
2012-6,E01000186,C2,1,1,1.0
2012-6,E01000188,C7,1,1,1.0
2012-6,E01000191,C7,1,1,1.0
2012-6,E01000196,C7,1,1,1.0
2012-6,E01000197,C3,1,1,1.0
2012-6,E01000197,C7,1,1,1.0
2012-6,E01000198,C7,1,1,1.0
2012-6,E01000201,C7,1,1,1.0
2012-6,E01000213,C2,1,1,1.0
2012-6,E01000213,C7,1,1,1.0
2012-6,E01000213,C8,1,1,1.0
2012-6,E01000216,C3,1,1,1.0
2012-6,E01000217,C7,2,2,1.0
2012-6,E01000219,C7,1,1,1.0
2012-6,E01000221,C7,1,1,1.0
2012-6,E01000222,C7,3,2,1.5
2012-6,E01000226,C3,1,1,1.0
2012-6,E01000226,C7,1,1,1.0
2012-6,E01000228,C3,1,1,1.0
2012-6,E01000231,C3,1,1,1.0
2012-6,E01000238,C7,1,1,1.0
2012-6,E01000242,C7,1,1,1.0
2012-6,E01000244,C3,1,1,1.0
2012-6,E01000247,C2,1,1,1.0
2012-6,E01000247,C8,1,1,1.0
2012-6,E01000261,C7,1,1,1.0
2012-6,E01000264,C3,1,1,1.0
2012-6,E01000265,C3,2,1,2.0
2012-6,E01000275,C3,1,1,1.0
2012-6,E01000275,C7,1,1,1.0
2012-6,E01000280,C7,2,1,2.0
2012-6,E01000281,C3,1,1,1.0
2012-6,E01000282,C3,1,1,1.0
2012-6,E01000282,C7,1,1,1.0
2012-6,E01000286,C7,1,1,1.0
2012-6,E01000298,C3,2,2,1.0
2012-6,E01000299,C7,1,1,1.0
2012-6,E01000301,C7,2,2,1.0
2012-6,E01000303,C3,1,1,1.0
2012-6,E01000309,C3,1,1,1.0
2012-6,E01000314,C3,1,1,1.0
2012-6,E01000371,C8,1,1,1.0
2012-6,E01000372,C7,1,1,1.0
2012-6,E01000404,C7,1,1,1.0
2012-6,E01000430,C3,1,1,1.0
2012-6,E01000481,C3,1,1,1.0
2012-6,E01000485,C3,1,1,1.0
2012-6,E01000498,C3,1,1,1.0
2012-6,E01000499,C2,1,1,1.0
2012-6,E01000499,C3,1,1,1.0
2012-6,E01000499,C7,1,1,1.0
2012-6,E01000528,C3,2,1,2.0
2012-6,E01000531,C3,1,1,1.0
2012-6,E01000554,C3,1,1,1.0
2012-6,E01000581,C3,1,1,1.0
2012-6,E01000585,C3,1,1,1.0
2012-6,E01000588,C3,1,1,1.0
2012-6,E01000590,C7,1,1,1.0
2012-6,E01000605,C7,1,1,1.0
2012-6,E01000620,C3,1,1,1.0
2012-6,E01000622,C3,1,1,1.0
2012-6,E01000636,C7,1,1,1.0
2012-6,E01000637,C3,1,1,1.0
2012-6,E01000640,C3,1,1,1.0
2012-6,E01000641,C3,1,1,1.0
2012-6,E01000642,C3,2,2,1.0
2012-6,E01000667,C3,1,1,1.0
2012-6,E01000670,C7,1,1,1.0
2012-6,E01000674,C7,1,1,1.0
2012-6,E01000697,C7,2,1,2.0
2012-6,E01000698,C7,2,1,2.0
2012-6,E01000705,C3,2,1,2.0
2012-6,E01000711,C7,1,1,1.0
2012-6,E01000712,C3,1,1,1.0
2012-6,E01000714,C3,1,1,1.0
2012-6,E01000720,C7,1,1,1.0
2012-6,E01000725,C7,1,1,1.0
2012-6,E01000728,C1,1,1,1.0
2012-6,E01000728,C7,1,1,1.0
2012-6,E01000730,C7,1,1,1.0
2012-6,E01000731,C7,1,1,1.0
2012-6,E01000740,C2,2,1,2.0
2012-6,E01000740,C3,1,1,1.0
2012-6,E01000741,C2,1,1,1.0
2012-6,E01000743,C3,4,1,4.0
2012-6,E01000746,C3,2,2,1.0
2012-6,E01000746,C7,2,1,2.0
2012-6,E01000763,C1,1,1,1.0
2012-6,E01000771,C3,4,2,2.0
2012-6,E01000780,C7,1,1,1.0
2012-6,E01000781,C7,2,1,2.0
2012-6,E01000784,C7,2,1,2.0
2012-6,E01000786,C3,3,1,3.0
2012-6,E01000787,C2,1,1,1.0
2012-6,E01000790,C7,1,1,1.0
2012-6,E01000797,C3,2,1,2.0
2012-6,E01000799,C3,1,1,1.0
2012-6,E01000799,C7,1,1,1.0
2012-6,E01000800,C8,1,1,1.0
2012-6,E01000809,C1,1,1,1.0
2012-6,E01000840,C7,1,1,1.0
2012-6,E01000856,C7,1,1,1.0
2012-6,E01000870,C2,1,1,1.0
2012-6,E01000870,C3,1,1,1.0
2012-6,E01000870,C8,1,1,1.0
2012-6,E01000871,C7,1,1,1.0
2012-6,E01000872,C7,1,1,1.0
2012-6,E01000874,C7,1,1,1.0
2012-6,E01000882,C8,2,1,2.0
2012-6,E01000883,C7,1,1,1.0
2012-6,E01000884,C7,1,1,1.0
2012-6,E01000895,C3,2,1,2.0
2012-6,E01000897,C2,3,1,3.0
2012-6,E01000897,C3,1,1,1.0
2012-6,E01000900,C3,1,1,1.0
