period,LSOA,SHEF_C,report_count,user_count,average
2013-9,95GG09S1,Incivilities,1,1,1.0
2013-9,95GG13S1,Environmental Health,1,1,1.0
2013-9,95GG13S3,Environmental Health,1,1,1.0
2013-9,95GG13S3,Road Safety & Defects,1,1,1.0
2013-9,95GG21S1,Environmental Health,1,1,1.0
2013-9,95GG49S2,Road Safety & Defects,1,1,1.0
2013-9,95GG49S3,Other,1,1,1.0
2013-9,95LL16S2,Environmental Disruptions,1,1,1.0
2013-9,95LL16S2,Environmental Health,1,1,1.0
2013-9,95MM05W1,Environmental Health,1,1,1.0
2013-9,95VV13S2,Environmental Health,1,1,1.0
2013-9,E01000030,Road Safety & Defects,1,1,1.0
2013-9,E01000031,Road Safety & Defects,1,1,1.0
2013-9,E01000053,Road Safety & Defects,1,1,1.0
2013-9,E01000101,Environmental Health,1,1,1.0
2013-9,E01000117,Road Safety & Defects,2,2,1.0
2013-9,E01000121,Road Safety & Defects,1,1,1.0
2013-9,E01000124,Road Safety & Defects,2,1,2.0
2013-9,E01000125,Environmental Health,3,1,3.0
2013-9,E01000126,Road Safety & Defects,1,1,1.0
2013-9,E01000129,Environmental Health,1,1,1.0
2013-9,E01000132,Road Safety & Defects,1,1,1.0
2013-9,E01000133,Environmental Health,1,1,1.0
2013-9,E01000134,Environmental Health,2,1,2.0
2013-9,E01000141,Environmental Health,1,1,1.0
2013-9,E01000141,Road Safety & Defects,1,1,1.0
2013-9,E01000142,Environmental Health,3,1,3.0
2013-9,E01000147,Road Safety & Defects,1,1,1.0
2013-9,E01000152,Environmental Health,1,1,1.0
2013-9,E01000152,Road Safety & Defects,2,1,2.0
2013-9,E01000153,Environmental Health,1,1,1.0
2013-9,E01000154,Environmental Health,1,1,1.0
2013-9,E01000160,Environmental Health,2,1,2.0
2013-9,E01000160,Road Safety & Defects,1,1,1.0
2013-9,E01000162,Road Safety & Defects,1,1,1.0
2013-9,E01000170,Road Safety & Defects,2,1,2.0
2013-9,E01000171,Road Safety & Defects,1,1,1.0
2013-9,E01000173,Road Safety & Defects,1,1,1.0
2013-9,E01000176,Road Safety & Defects,1,1,1.0
2013-9,E01000177,Environmental Health,1,1,1.0
2013-9,E01000180,Environmental Disruptions,1,1,1.0
2013-9,E01000182,Road Safety & Defects,1,1,1.0
2013-9,E01000194,Road Safety & Defects,1,1,1.0
2013-9,E01000197,Environmental Health,5,2,2.5
2013-9,E01000198,Road Safety & Defects,1,1,1.0
2013-9,E01000205,Environmental Health,1,1,1.0
2013-9,E01000212,Road Safety & Defects,1,1,1.0
2013-9,E01000216,Incivilities,1,1,1.0
2013-9,E01000223,Road Safety & Defects,1,1,1.0
2013-9,E01000226,Road Safety & Defects,2,1,2.0
2013-9,E01000228,Road Safety & Defects,1,1,1.0
2013-9,E01000232,Environmental Health,2,1,2.0
2013-9,E01000235,Road Safety & Defects,1,1,1.0
2013-9,E01000238,Road Safety & Defects,1,1,1.0
2013-9,E01000242,Environmental Disruptions,1,1,1.0
2013-9,E01000250,Environmental Health,1,1,1.0
2013-9,E01000258,Environmental Health,1,1,1.0
2013-9,E01000260,Road Safety & Defects,2,1,2.0
2013-9,E01000272,Road Safety & Defects,1,1,1.0
2013-9,E01000281,Road Safety & Defects,2,2,1.0
2013-9,E01000282,Road Safety & Defects,1,1,1.0
2013-9,E01000283,Environmental Health,2,1,2.0
2013-9,E01000292,Road Safety & Defects,1,1,1.0
2013-9,E01000295,Road Safety & Defects,1,1,1.0
2013-9,E01000298,Road Safety & Defects,1,1,1.0
2013-9,E01000301,Environmental Disruptions,1,1,1.0
2013-9,E01000301,Incivilities,1,1,1.0
2013-9,E01000312,Road Safety & Defects,1,1,1.0
2013-9,E01000313,Environmental Health,1,1,1.0
2013-9,E01000315,Environmental Health,1,1,1.0
2013-9,E01000320,Environmental Health,1,1,1.0
2013-9,E01000323,Environmental Health,1,1,1.0
2013-9,E01000323,Road Safety & Defects,1,1,1.0
2013-9,E01000325,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01000329,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01000365,Road Safety & Defects,1,1,1.0
2013-9,E01000374,Environmental Disruptions,1,1,1.0
2013-9,E01000374,Environmental Health,1,1,1.0
2013-9,E01000380,Environmental Disruptions,2,1,2.0
2013-9,E01000385,Road Safety & Defects,1,1,1.0
2013-9,E01000398,Road Safety & Defects,1,1,1.0
2013-9,E01000414,Environmental Health,1,1,1.0
2013-9,E01000429,Environmental Health,1,1,1.0
2013-9,E01000444,Road Safety & Defects,1,1,1.0
2013-9,E01000455,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01000468,Environmental Health,1,1,1.0
2013-9,E01000488,Environmental Health,2,1,2.0
2013-9,E01000489,Environmental Health,1,1,1.0
2013-9,E01000492,Environmental Health,2,1,2.0
2013-9,E01000520,Environmental Health,1,1,1.0
2013-9,E01000521,Environmental Health,1,1,1.0
2013-9,E01000538,Environmental Health,1,1,1.0
2013-9,E01000541,Road Safety & Defects,1,1,1.0
2013-9,E01000550,Environmental Health,1,1,1.0
2013-9,E01000553,Environmental Health,1,1,1.0
2013-9,E01000556,Environmental Health,1,1,1.0
2013-9,E01000556,Road Safety & Defects,1,1,1.0
2013-9,E01000561,Road Safety & Defects,1,1,1.0
2013-9,E01000586,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01000588,Environmental Health,3,2,1.5
2013-9,E01000608,Environmental Health,1,1,1.0
2013-9,E01000610,Environmental Health,1,1,1.0
2013-9,E01000611,Environmental Health,1,1,1.0
2013-9,E01000612,Road Safety & Defects,1,1,1.0
2013-9,E01000635,Road Safety & Defects,1,1,1.0
