period,LSOA,SHEF_C,report_count,user_count,average
2015-12,95BB12S2,Road Safety & Defects,1,1,1.0
2015-12,95BB21S2,Road Safety & Defects,1,1,1.0
2015-12,95GG13S3,Other,1,1,1.0
2015-12,95HH09W1,Road Safety & Defects,1,1,1.0
2015-12,95II19S1,Road Safety & Defects,2,1,2.0
2015-12,95LL02S1,Road Safety & Defects,1,1,1.0
2015-12,95LL19S2,Road Safety & Defects,1,1,1.0
2015-12,95LL23W1,Road Safety & Defects,1,1,1.0
2015-12,95PP10W1,Road Safety & Defects,1,1,1.0
2015-12,95PP17W1,Road Safety & Defects,1,1,1.0
2015-12,95QQ13W1,Road Safety & Defects,1,1,1.0
2015-12,95SS06S1,Environmental Health,1,1,1.0
2015-12,95SS07S2,Road Safety & Defects,1,1,1.0
2015-12,95SS10S2,Road Safety & Defects,1,1,1.0
2015-12,95SS23S1,Road Safety & Defects,1,1,1.0
2015-12,95VV05S2,Road Safety & Defects,1,1,1.0
2015-12,E01000010,Environmental Health,2,2,1.0
2015-12,E01000010,Road Safety & Defects,1,1,1.0
2015-12,E01000040,Environmental Health,2,1,2.0
2015-12,E01000040,Road Safety & Defects,1,1,1.0
2015-12,E01000042,Road Safety & Defects,1,1,1.0
2015-12,E01000044,Road Safety & Defects,1,1,1.0
2015-12,E01000050,Abandoned Vehicles & Parking,1,1,1.0
2015-12,E01000050,Road Safety & Defects,1,1,1.0
2015-12,E01000053,Road Safety & Defects,1,1,1.0
2015-12,E01000061,Abandoned Vehicles & Parking,1,1,1.0
2015-12,E01000068,Environmental Health,2,1,2.0
2015-12,E01000091,Public Space,1,1,1.0
2015-12,E01000091,Road Safety & Defects,1,1,1.0
2015-12,E01000092,Vehicles,1,1,1.0
2015-12,E01000095,Road Safety & Defects,1,1,1.0
2015-12,E01000115,Road Safety & Defects,2,2,1.0
2015-12,E01000116,Road Safety & Defects,3,3,1.0
2015-12,E01000117,Environmental Health,1,1,1.0
2015-12,E01000121,Environmental Health,2,2,1.0
2015-12,E01000121,Vehicles,1,1,1.0
2015-12,E01000123,Environmental Health,1,1,1.0
2015-12,E01000124,Environmental Health,1,1,1.0
2015-12,E01000125,Road Safety & Defects,1,1,1.0
2015-12,E01000127,Incivilities,1,1,1.0
2015-12,E01000128,Environmental Health,1,1,1.0
2015-12,E01000128,Road Safety & Defects,1,1,1.0
2015-12,E01000129,Environmental Disruptions,1,1,1.0
2015-12,E01000129,Environmental Health,1,1,1.0
2015-12,E01000129,Road Safety & Defects,1,1,1.0
2015-12,E01000132,Environmental Health,9,1,9.0
2015-12,E01000133,Environmental Health,3,1,3.0
2015-12,E01000137,Vehicles,1,1,1.0
2015-12,E01000139,Road Safety & Defects,2,2,1.0
2015-12,E01000140,Environmental Health,1,1,1.0
2015-12,E01000142,Road Safety & Defects,1,1,1.0
2015-12,E01000144,Environmental Health,1,1,1.0
2015-12,E01000146,Road Safety & Defects,2,2,1.0
2015-12,E01000150,Environmental Health,6,2,3.0
2015-12,E01000155,Environmental Health,1,1,1.0
2015-12,E01000157,Environmental Health,1,1,1.0
2015-12,E01000158,Environmental Health,1,1,1.0
2015-12,E01000159,Road Safety & Defects,1,1,1.0
2015-12,E01000160,Environmental Health,1,1,1.0
2015-12,E01000160,Road Safety & Defects,1,1,1.0
2015-12,E01000162,Road Safety & Defects,2,1,2.0
2015-12,E01000162,Vehicles,1,1,1.0
2015-12,E01000170,Road Safety & Defects,1,1,1.0
2015-12,E01000171,Environmental Health,1,1,1.0
2015-12,E01000175,Environmental Health,1,1,1.0
2015-12,E01000176,Environmental Health,1,1,1.0
2015-12,E01000177,Environmental Health,1,1,1.0
2015-12,E01000177,Road Safety & Defects,1,1,1.0
2015-12,E01000178,Environmental Health,1,1,1.0
2015-12,E01000180,Road Safety & Defects,1,1,1.0
2015-12,E01000181,Vehicles,1,1,1.0
2015-12,E01000182,Environmental Disruptions,1,1,1.0
2015-12,E01000185,Road Safety & Defects,1,1,1.0
2015-12,E01000188,Vehicles,1,1,1.0
2015-12,E01000192,Road Safety & Defects,1,1,1.0
2015-12,E01000193,Environmental Health,1,1,1.0
2015-12,E01000194,Environmental Disruptions,1,1,1.0
2015-12,E01000194,Environmental Health,1,1,1.0
2015-12,E01000194,Incivilities,3,1,3.0
2015-12,E01000196,Environmental Health,1,1,1.0
2015-12,E01000196,Road Safety & Defects,2,2,1.0
2015-12,E01000197,Environmental Health,1,1,1.0
2015-12,E01000201,Environmental Health,1,1,1.0
2015-12,E01000202,Vehicles,1,1,1.0
2015-12,E01000203,Environmental Health,1,1,1.0
2015-12,E01000203,Road Safety & Defects,1,1,1.0
2015-12,E01000206,Road Safety & Defects,1,1,1.0
2015-12,E01000207,Road Safety & Defects,2,2,1.0
2015-12,E01000214,Road Safety & Defects,2,2,1.0
2015-12,E01000221,Environmental Health,2,2,1.0
2015-12,E01000222,Environmental Health,4,1,4.0
2015-12,E01000223,Environmental Health,6,2,3.0
